League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-12 21:02:39,2026-01-12 19:12,Cleveland Cavaliers,Utah Jazz,No,1569.1,Yes,-72.2,-120.0,190.0,-253.6,-61.5,-121.0,East,Central,West,Northwest,106,-140,190,-250,102,-136,-120,-110,180,-238,-125,-105,-118,-115,180.0,-245.0,,,-111.0,-125.0,190.0,-250.0,-118.0,-118.0,-118.0,-110.0,210.0,-285.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-12 21:02:39,2026-01-12 19:42,Indiana Pacers,Boston Celtics,No,807.3,Yes,-114.6,-115.2,-187.0,120.6,-118.5,-62.25,East,Central,East,Atlantic,-114,-114,-310,230,-136,102,-110,-120,-250,190,-115,-115,-121,-113,-240.0,180.0,,,-118.0,-111.0,165.0,-222.0,-118.0,-111.0,-110.0,-118.0,-300.0,225.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-12 21:02:39,2026-01-12 19:42,Toronto Raptors,Philadelphia 76ers,Yes,337.5,Yes,-119.4,-111.0,1633.33,-6833.33,-113.25,-115.25,East,Atlantic,East,Atlantic,-128,-104,1500,-7000,-102,-130,-115,-115,1400,-3500,-115,-115,-118,-115,,,,,-118.0,-111.0,,,-111.0,-111.0,-118.0,-110.0,2000.0,-10000.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-12 21:02:39,2026-01-12 20:41,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-121.0,-110.0,-277.6,207.0,-114.25,-113.25,West,Southwest,East,Atlantic,-130,-102,-280,210,-118,-112,-125,-105,-298,220,-110,-120,-114,-120,-265.0,195.0,,,-111.0,-118.0,-250.0,190.0,-111.0,-111.0,-125.0,-105.0,-295.0,220.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-12 21:02:39,2026-01-12 22:10,Sacramento Kings,Los Angeles Lakers,Yes,361.1,Yes,-109.67,-109.89,295.22,-375.67,-109.5,-109.75,West,Pacific,West,Pacific,-110,-110,315,-400,-110,-110,-112,-108,300,-380,-108,-112,-109,-115,295.0,-400.0,,,-110.0,-110.0,280.0,-370.0,-110.0,-110.0,-110.0,-110.0,300.0,-375.0,-105.0,-115.0,-110.0,-110.0,296.0,-370.0,-113.0,-107.0,-106.0,-106.0,301.0,-366.0,-110.0,-104.0,-110.0,-110.0,290.0,-360.0,-110.0,-110.0,-110.0,-110.0,280.0,-360.0,-110.0,-110.0
NBA,2026-01-12 21:02:39,2026-01-12 22:40,Los Angeles Clippers,Charlotte Hornets,No,2127.1,Yes,-109.5,-110.12,-196.89,165.0,-107.88,-111.38,West,Pacific,East,Southeast,-110,-110,-210,176,-110,-110,-105,-115,-192,160,-105,-115,-115,-110,-200.0,160.0,,,-110.0,-110.0,-200.0,161.0,-110.0,-110.0,,,-200.0,165.0,-105.0,-115.0,-110.0,-110.0,-190.0,165.0,-108.0,-112.0,-106.0,-106.0,-190.0,166.0,-105.0,-109.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0,-110.0,-110.0,-195.0,165.0,-110.0,-110.0
NBA,2026-01-12 21:02:39,2026-01-13 19:40,Miami Heat,Phoenix Suns,No,1981.5,Yes,-113.67,-105.83,-105.0,-115.0,-109.8,-109.0,East,Southeast,West,Pacific,-114,-106,-104,-112,-112,-108,-115,-105,-105,-115,-110,-110,-112,-113,-106.0,-118.0,,,,,,,,,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-12 21:02:39,2026-01-13 20:10,Houston Rockets,Chicago Bulls,No,940.2,Yes,-110.67,-109.0,-615.0,438.33,-110.4,-108.4,West,Southwest,East,Central,-110,-110,-600,450,-110,-110,-115,-105,-575,425,-115,-105,-113,-113,-670.0,440.0,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-12 21:02:39,2026-01-13 20:10,New Orleans Pelicans,Denver Nuggets,No,1081.8,Yes,-109.67,-110.0,132.67,-160.67,-111.4,-107.4,West,Southwest,West,Northwest,-110,-110,136,-162,-115,-105,-110,-110,130,-155,-115,-105,-112,-114,132.0,-165.0,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-12 21:02:39,2026-01-13 20:10,Milwaukee Bucks,Minnesota Timberwolves,No,298.5,Yes,-110.33,-109.33,-140.0,116.33,-110.4,-108.4,East,Central,West,Northwest,-112,-108,-142,120,-110,-110,-110,-110,-135,114,-115,-105,-114,-112,-143.0,115.0,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
