League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-14 16:27:23,2026-01-14 19:10,Philadelphia 76ers,Cleveland Cavaliers,No,359.4,Yes,-86.22,-111.33,-113.0,-106.89,-110.62,-109.62,East,Atlantic,East,Central,-106,-114,-110,-108,-108,-112,-104.0,-108.0,-112.0,-104.0,-107.0,-107.0,-108.0,-112.0,-114.0,-106.0,-110.0,-110.0,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,100.0,-120.0,-115.0,-105.0,-112.0,-108.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-113.0,-113.0,-107.0,-117.0,,,-110.0,-110.0,-118.0,-102.0,-118.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-14 19:10,Indiana Pacers,Toronto Raptors,No,440.8,Yes,-111.56,-108.22,-37.44,-115.56,-110.38,-108.88,East,Central,East,Atlantic,-115,-105,100,-118,-114,-106,-106.0,-106.0,-103.0,-113.0,-107.0,-107.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-109.0,-112.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,-112.0,-108.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-113.0,-113.0,100.0,-122.0,,,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-14 20:10,New Orleans Pelicans,Brooklyn Nets,No,1169.5,Yes,-86.33,-111.22,-116.33,-36.56,-110.12,-109.25,West,Southwest,East,Atlantic,-106,-114,-112,-104,-110,-110,-108.0,-104.0,-118.0,102.0,-113.0,-102.0,-112.0,-108.0,-120.0,100.0,-115.0,-105.0,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,102.0,-122.0,-118.0,-102.0,-108.0,-112.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-118.0,-108.0,-110.0,-113.0,,,-105.0,-115.0,-118.0,-102.0,-105.0,-115.0
NBA,2026-01-14 16:27:23,2026-01-14 20:10,Chicago Bulls,Utah Jazz,No,1258.5,Yes,-110.56,-109.22,-184.67,154.89,-112.12,-107.25,East,Central,West,Northwest,-108,-112,-180,152,-114,-106,-108.0,-104.0,-180.0,158.0,-113.0,-102.0,-112.0,-108.0,-180.0,157.0,-115.0,-105.0,-110.0,-110.0,-192.0,154.0,-110.0,-110.0,-110.0,-110.0,-185.0,154.0,-115.0,-105.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-117.0,-109.0,-190.0,150.0,,,-110.0,-110.0,-185.0,150.0,-110.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-14 21:40,Dallas Mavericks,Denver Nuggets,No,662.5,Yes,-110.0,-109.78,-136.67,115.11,-109.38,-109.88,West,Southwest,West,Northwest,-108,-112,-138,118,-110,-110,-108.0,-104.0,-138.0,122.0,-107.0,-107.0,-112.0,-108.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-137.0,112.0,-110.0,-110.0,-110.0,-110.0,-135.0,114.0,-108.0,-112.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-112.0,-114.0,-137.0,110.0,,,-110.0,-110.0,-140.0,115.0,-110.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-14 22:10,Sacramento Kings,New York Knicks,No,2506.3,Yes,-110.44,-109.22,367.78,-491.56,-110.38,-109.0,West,Pacific,East,Atlantic,-115,-105,370,-480,-105,-115,-101.0,-111.0,370.0,-464.0,-113.0,-102.0,-105.0,-115.0,364.0,-470.0,-115.0,-105.0,-110.0,-110.0,356.0,-500.0,-110.0,-110.0,-118.0,-102.0,360.0,-470.0,-110.0,-110.0,-110.0,-110.0,345.0,-440.0,-110.0,-110.0,-105.0,-115.0,360.0,-500.0,-110.0,-110.0,-115.0,-110.0,360.0,-500.0,,,-115.0,-105.0,425.0,-600.0,-110.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-14 22:40,Los Angeles Clippers,Washington Wizards,No,2308.1,Yes,-108.89,-110.89,-543.78,400.67,-109.12,-110.12,West,Pacific,East,Southeast,-110,-110,-510,390,-106,-114,-101.0,-111.0,-523.0,411.0,-107.0,-107.0,-105.0,-115.0,-530.0,403.0,-110.0,-110.0,-110.0,-110.0,-556.0,392.0,-110.0,-110.0,-110.0,-110.0,-520.0,390.0,-110.0,-110.0,-115.0,-105.0,-530.0,410.0,-110.0,-110.0,-105.0,-115.0,-500.0,360.0,-110.0,-110.0,-114.0,-112.0,-625.0,425.0,,,-110.0,-110.0,-600.0,425.0,-110.0,-110.0
NBA,2026-01-14 16:27:23,2026-01-15 14:10,Orlando Magic,Memphis Grizzlies,No,682.5,No,-109.0,-110.6,-193.67,159.33,-110.5,-108.0,East,Southeast,West,Southwest,-112,-108,-190,160,-115,-105,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,-110.0,-110.0,-205.0,170.0,-110.0,-110.0,,,,,,,,,,,,,-117.0,-109.0,-186.0,148.0,,,,,,,,
NBA,2026-01-14 16:27:23,2026-01-15 19:40,Miami Heat,Boston Celtics,No,1255.4,Yes,-111.0,-109.0,106.0,-126.5,-105.0,-115.0,East,Southeast,East,Atlantic,-112,-108,108,-126,-105,-115,,,,,,,,,,,,,-110.0,-110.0,104.0,-127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 16:27:23,2026-01-15 19:40,Houston Rockets,Oklahoma City Thunder,No,413.2,Yes,-106.0,-111.33,144.0,-172.0,-107.33,-110.67,West,Southwest,West,Northwest,-110,-110,144,-172,-105,-115,-102.0,-110.0,,,-107.0,-107.0,-106.0,-114.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
