League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-14 23:06:27,2026-01-14 21:43,Dallas Mavericks,Denver Nuggets,No,662.5,Yes,-115.6,-114.0,507.0,-866.0,-120.0,-59.75,West,Southwest,West,Northwest,-130,-102,600,-1100,-132.0,100.0,-105.0,-118.0,550.0,-1000.0,-118.0,-111.0,-120.0,-110.0,500.0,-810.0,-120.0,-110.0,-105.0,-125.0,425.0,-650.0,-110.0,-118.0,-118.0,-115.0,460.0,-770.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 23:06:27,2026-01-14 22:11,Sacramento Kings,New York Knicks,No,2506.3,Yes,-115.0,-114.4,-215.6,165.2,-113.0,-115.75,West,Pacific,East,Atlantic,-125,-106,-240,182,-114.0,-114.0,-105.0,-118.0,-200.0,160.0,-118.0,-111.0,-115.0,-115.0,-238.0,180.0,-110.0,-120.0,-115.0,-115.0,-200.0,154.0,-110.0,-118.0,-115.0,-118.0,-200.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 23:06:27,2026-01-14 22:41,Los Angeles Clippers,Washington Wizards,No,2308.1,Yes,-114.6,-114.2,-1589.4,740.0,-120.0,-58.5,West,Pacific,East,Southeast,-108,-122,-1800,800,-136.0,102.0,-111.0,-111.0,-1667.0,725.0,-111.0,-111.0,-115.0,-115.0,-1450.0,750.0,-115.0,-115.0,-125.0,-105.0,-1600.0,775.0,-118.0,-110.0,-114.0,-118.0,-1430.0,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 23:06:27,2026-01-15 14:10,Orlando Magic,Memphis Grizzlies,No,682.5,No,-109.11,-110.67,-194.11,162.56,-109.0,-110.25,East,Southeast,West,Southwest,-114,-106,-198,166,-110.0,-110.0,-110.0,-110.0,-204.0,165.0,-110.0,-110.0,-110.0,-110.0,-205.0,170.0,-105.0,-115.0,-110.0,-110.0,-200.0,165.0,-110.0,-110.0,-117.0,-109.0,-200.0,155.0,,,-101.0,-111.0,-185.0,162.0,-107.0,-107.0,-105.0,-115.0,-185.0,161.0,-110.0,-110.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-105.0,-115.0,-185.0,160.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 19:10,Detroit Pistons,Phoenix Suns,No,1690.2,Yes,-110.44,-109.33,-254.89,207.22,-108.38,-110.88,East,Central,West,Pacific,-110,-110,-240,198,-110.0,-110.0,-110.0,-110.0,-263.0,205.0,-110.0,-110.0,-115.0,-105.0,-258.0,210.0,-105.0,-115.0,-110.0,-110.0,-250.0,200.0,-105.0,-115.0,-113.0,-113.0,-265.0,205.0,,,-106.0,-106.0,-248.0,210.0,-107.0,-107.0,-110.0,-110.0,-250.0,207.0,-110.0,-110.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-110.0,-110.0,-270.0,220.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 19:40,Miami Heat,Boston Celtics,No,1255.4,Yes,-111.11,-108.67,106.89,-127.11,-109.62,-109.62,East,Southeast,East,Atlantic,-112,-108,108,-126,-110.0,-110.0,-110.0,-110.0,105.0,-128.0,-110.0,-110.0,-118.0,-102.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,105.0,-125.0,-110.0,-110.0,-114.0,-112.0,102.0,-127.0,,,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-105.0,-115.0,115.0,-135.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 19:40,Houston Rockets,Oklahoma City Thunder,No,413.2,Yes,-111.89,-107.89,142.78,-170.56,-111.0,-108.38,West,Southwest,West,Northwest,-114,-106,150,-178,-105.0,-115.0,-110.0,-110.0,139.0,-172.0,-110.0,-110.0,-115.0,-105.0,154.0,-185.0,-110.0,-110.0,-115.0,-105.0,145.0,-180.0,-110.0,-110.0,-117.0,-109.0,143.0,-180.0,,,-106.0,-106.0,141.0,-160.0,-113.0,-102.0,-110.0,-110.0,140.0,-160.0,-115.0,-105.0,-110.0,-110.0,138.0,-160.0,-115.0,-105.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 20:10,San Antonio Spurs,Milwaukee Bucks,No,1105.6,Yes,-110.0,-109.78,-291.11,234.78,-109.75,-109.5,West,Southwest,East,Central,-110,-110,-275,225,-106.0,-114.0,-110.0,-110.0,-303.0,234.0,-110.0,-110.0,-110.0,-110.0,-290.0,235.0,-115.0,-105.0,-110.0,-110.0,-295.0,230.0,-110.0,-110.0,-114.0,-112.0,-295.0,225.0,,,-106.0,-106.0,-282.0,237.0,-107.0,-107.0,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 20:40,Dallas Mavericks,Utah Jazz,No,999.4,Yes,-110.0,-110.0,-131.5,109.0,,,West,Southwest,West,Northwest,-110,-110,-118,100,,,-110.0,-110.0,-145.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 23:06:27,2026-01-15 22:10,Portland Trail Blazers,Atlanta Hawks,No,2171.8,Yes,-107.57,-111.86,145.71,-173.0,-109.5,-109.5,West,Northwest,East,Southeast,-110,-110,146,-174,-110.0,-110.0,,,,,,,-105.0,-115.0,145.0,-175.0,-110.0,-110.0,-102.0,-118.0,145.0,-175.0,-110.0,-110.0,-110.0,-114.0,140.0,-177.0,,,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,,,,,,,-110.0,-110.0,145.0,-170.0,-110.0,-110.0
NBA,2026-01-14 23:06:27,2026-01-15 22:10,Golden State Warriors,New York Knicks,No,2570.6,Yes,-111.67,-110.33,-205.0,167.67,-107.5,-112.5,West,Pacific,East,Atlantic,-112,-108,-225,188,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-160.0,135.0,-105.0,-115.0,-113.0,-113.0,-230.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 23:06:27,2026-01-15 22:40,Los Angeles Lakers,Charlotte Hornets,No,2121.4,Yes,-108.38,-111.25,-187.25,157.62,-109.57,-109.57,West,Pacific,East,Southeast,-106,-114,-196,164,-108.0,-112.0,,,,,,,-105.0,-115.0,-192.0,160.0,-112.0,-108.0,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-110.0,-115.0,-210.0,165.0,,,-106.0,-106.0,-175.0,154.0,-107.0,-107.0,-110.0,-110.0,-175.0,153.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0
