League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-01 17:24:52,2026-02-01 15:43,5c0746ce9061a650f053a42e255e9c56,Boston Celtics,Milwaukee Bucks,No,857.9,No,East,Atlantic,East,Central,-113.4,-117.6,-17.4,17.4,-50000.0,3500.0,-112.0,-119.8,190.4,-102,-130,-50000,3500,-104,-128,-118,-111,,,-111,-125,-110.0,-120.0,,,-115.0,-115.0,-125.0,-105.0,,,-115.0,-110.0,-112.0,-122.0,,,-115.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2026-02-01 17:24:52,2026-02-01 18:10,d2cc88f351d8b29d40d8a8cfbe724ad1,Detroit Pistons,Brooklyn Nets,No,484.4,No,East,Central,East,Atlantic,-109.38,-111.38,-13.5,13.5,-704.25,490.38,-110.25,-110.5,213.88,-108,-112,-700,500,-106,-114,-110,-110,-714.0,468.0,-110,-110,-110.0,-110.0,-700.0,500.0,-115.0,-105.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-112.0,-114.0,-770.0,500.0,-114.0,-112.0,-110.0,-110.0,-700.0,505.0,-107.0,-113.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-105.0,-115.0,-650.0,450.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 18:10,dbc4aeceedac7c3d49e0d34601e550c4,Miami Heat,Chicago Bulls,No,1189.0,No,East,Southeast,East,Central,-110.12,-110.5,-5.44,5.44,-215.75,178.62,-109.88,-110.88,234.38,-108,-112,-205,172,-112,-108,-110,-110,-213.0,172.0,-110,-110,-105.0,-115.0,-218.0,180.0,-105.0,-115.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-113.0,-112.0,-215.0,170.0,-112.0,-114.0,-115.0,-105.0,-210.0,180.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-110.0,-110.0,-235.0,195.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 18:10,0210ab755a18ffa716e3e74460b0600d,Washington Wizards,Sacramento Kings,No,2378.6,No,East,Southeast,West,Pacific,-112.62,-83.12,1.31,-1.31,-26.12,-119.12,-110.0,-110.75,227.56,-112,-108,-104,-112,-110,-110,-110,-110,-104.0,-118.0,-110,-110,-115.0,-105.0,-102.0,-118.0,-108.0,-112.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-114.0,-112.0,-107.0,-117.0,-112.0,-114.0,-110.0,-110.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-120.0,100.0,110.0,-130.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 18:10,007cc4ad87ae4f21fa2e95d659fa0832,Toronto Raptors,Utah Jazz,No,1669.8,No,East,Atlantic,West,Northwest,-109.12,-111.62,-10.19,10.19,-411.25,316.12,-110.12,-110.62,234.5,-106,-114,-430,340,-108,-112,-110,-110,-385.0,295.0,-110,-110,-115.0,-105.0,-395.0,310.0,-112.0,-108.0,-105.0,-115.0,-400.0,300.0,-110.0,-110.0,-114.0,-112.0,-480.0,350.0,-113.0,-113.0,-108.0,-112.0,-375.0,299.0,-108.0,-112.0,-110.0,-110.0,-375.0,300.0,-110.0,-110.0,-105.0,-115.0,-450.0,335.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 19:10,738c1334fcfb5a8dfb1149f4cdc3ffa4,New York Knicks,Los Angeles Lakers,No,2452.9,Yes,East,Atlantic,West,Pacific,-109.25,-111.38,-5.12,5.12,-196.88,163.88,-110.38,-110.38,228.94,-110,-110,-198,166,-114,-106,-110,-110,-200.0,160.0,-110,-110,-105.0,-115.0,-192.0,160.0,-105.0,-115.0,-102.0,-118.0,-190.0,155.0,-105.0,-115.0,-112.0,-113.0,-200.0,160.0,-114.0,-112.0,-115.0,-105.0,-195.0,170.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-115.0,-105.0
NBA,2026-02-01 17:24:52,2026-02-01 20:10,234f77cf5691a918e9951eccf534878a,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,West,Pacific,West,Pacific,-112.38,-108.25,-1.88,1.88,-130.5,108.75,-109.88,-110.75,210.62,-110,-110,-132,112,-110,-110,-110,-110,-130.0,106.0,-110,-110,-118.0,-102.0,-130.0,110.0,-105.0,-115.0,-118.0,-102.0,-135.0,110.0,-110.0,-110.0,-113.0,-112.0,-132.0,107.0,-112.0,-113.0,-110.0,-110.0,-130.0,110.0,-112.0,-108.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 21:10,b4985acd1a9b9f1b6530bed611bfce81,Portland Trail Blazers,Cleveland Cavaliers,No,2055.0,Yes,West,Northwest,East,Central,-109.25,-111.5,2.88,-2.88,127.25,-152.25,-109.75,-111.0,229.5,-112,-108,130,-154,-108,-112,-110,-110,124.0,-153.0,-110,-110,-105.0,-115.0,124.0,-148.0,-108.0,-112.0,-105.0,-115.0,125.0,-150.0,-110.0,-110.0,-112.0,-114.0,123.0,-155.0,-112.0,-114.0,-115.0,-105.0,128.0,-148.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 21:10,642a194513f0ec5b24011af9806a397c,San Antonio Spurs,Orlando Magic,No,1033.6,Yes,West,Southwest,East,Southeast,-111.12,-84.62,-2.06,2.06,-136.25,115.0,-109.12,-111.62,223.25,-110,-110,-136,116,-108,-112,-110,-110,-137.0,113.0,-110,-110,-102.0,-118.0,-135.0,114.0,-108.0,-112.0,-120.0,100.0,-135.0,115.0,-105.0,-115.0,-117.0,-109.0,-137.0,112.0,-112.0,-114.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-115.0,-105.0,-140.0,120.0,-110.0,-110.0
NBA,2026-02-01 17:24:52,2026-02-01 21:40,1c9f0b84a617632c33b94135b8101897,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-108.75,-111.75,7.0,-7.0,202.88,-247.5,-111.62,-109.12,224.56,-106,-114,215,-260,-114,-106,-110,-110,200.0,-250.0,-110,-110,-105.0,-115.0,200.0,-245.0,-112.0,-108.0,-105.0,-115.0,195.0,-235.0,-110.0,-110.0,-109.0,-115.0,205.0,-265.0,-114.0,-112.0,-115.0,-105.0,200.0,-240.0,-113.0,-107.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0,-110.0,-110.0,205.0,-245.0,-110.0,-110.0
