League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-07 13:36:39,2026-02-07 15:10,b321b271a38a3a225bb32d4cda89c2ca,Brooklyn Nets,Washington Wizards,No,203.5,No,East,Atlantic,East,Southeast,-110.44,-109.33,-6.0,6.0,-230.56,189.67,-108.78,-111.22,218.72,-114,-106,-245,200,-108,-112,-110,-110,-227,182,-110,-110,-102,-118,-230,190,-108,-112,-110,-110,-225,189,-107,-113,-106,-106,-223,191,-104,-110,-118,-102,-225,185,-110,-110,-110,-110,-225,190,-110,-110,-114,-112,-245,190,-112,-114,-110,-110,-230,190,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 15:40,734128222c2a03269132090adb3c593d,Oklahoma City Thunder,Houston Rockets,No,413.2,No,West,Northwest,West,Southwest,-110.0,-109.78,-4.5,4.5,-180.89,151.56,-110.44,-109.56,213.89,-112,-108,-184,154,-114,-106,-110,-110,-179,146,-110,-110,-115,-105,-185,154,-115,-105,-105,-115,-180,157,-110,-110,-101,-111,-180,158,-107,-107,-110,-110,-185,150,-105,-115,-110,-110,-180,155,-110,-110,-112,-114,-190,150,-113,-113,-115,-105,-165,140,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 18:10,b69d85cac76c01181ada3299bc50ed54,San Antonio Spurs,Dallas Mavericks,Yes,251.0,No,West,Southwest,West,Southwest,-109.89,-109.89,-9.67,9.67,-412.0,317.78,-109.89,-110.11,233.06,-114,-106,-430,340,-110,-110,-110,-110,-417,310,-110,-110,-110,-110,-410,320,-110,-110,-110,-110,-390,310,-110,-110,-106,-106,-386,315,-107,-107,-110,-110,-400,310,-110,-110,-110,-110,-380,305,-110,-110,-114,-112,-480,340,-112,-114,-105,-115,-415,310,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 19:10,a54af649958eb60284f57114fdeeb472,Orlando Magic,Utah Jazz,No,1918.5,Yes,East,Southeast,West,Northwest,-110.56,-109.22,-7.44,7.44,-288.0,232.89,-109.78,-110.22,236.22,-110,-110,-295,240,-110,-110,-110,-110,-270,212,-110,-110,-110,-110,-290,235,-112,-108,-115,-105,-285,234,-110,-110,-111,-101,-282,237,-107,-107,-110,-110,-300,240,-105,-115,-110,-110,-285,238,-110,-110,-114,-112,-305,230,-114,-112,-105,-115,-280,230,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 19:40,05cf7fd60949a0c52340284b261ae851,Atlanta Hawks,Charlotte Hornets,Yes,226.8,Yes,East,Southeast,East,Southeast,-110.56,-109.22,1.83,-1.83,107.0,-128.22,-109.78,-110.22,231.44,-110,-110,110,-130,-110,-110,-110,-110,101,-123,-110,-110,-112,-108,120,-142,-108,-112,-112,-108,100,-120,-110,-110,-108,-104,102,-118,-107,-107,-110,-110,105,-130,-110,-110,-110,-110,105,-125,-110,-110,-113,-113,110,-136,-113,-113,-110,-110,110,-130,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 20:10,e9a14346272a3fc89154cc1bf1c5da1b,Chicago Bulls,Denver Nuggets,No,918.9,Yes,East,Central,West,Northwest,-108.0,-111.67,5.56,-5.56,181.0,-218.78,-109.44,-110.56,233.0,-106,-114,198,-240,-110,-110,-110,-110,173,-217,-110,-110,-105,-115,180,-218,-105,-115,-105,-115,183,-215,-110,-110,-101,-111,185,-214,-107,-107,-105,-115,180,-220,-110,-110,-110,-110,180,-210,-110,-110,-115,-110,170,-215,-113,-113,-115,-105,180,-220,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 20:40,076f5eadf0573f4dd2ace4f26ae28ef2,Los Angeles Lakers,Golden State Warriors,Yes,345.4,Yes,West,Pacific,West,Pacific,-108.0,-111.67,-2.28,2.28,-136.0,114.56,-110.89,-109.11,222.72,-105,-115,-134,114,-112,-108,-110,-110,-136,112,-110,-110,-102,-118,-135,114,-112,-108,-112,-108,-135,115,-110,-110,-108,-104,-133,117,-107,-107,-105,-115,-140,115,-115,-105,-110,-110,-135,115,-110,-110,-115,-110,-141,114,-112,-114,-105,-115,-135,115,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 21:10,a809adbd88558364e25c834bbb5a88f0,Phoenix Suns,Philadelphia 76ers,No,2081.8,Yes,West,Pacific,East,Atlantic,-110.11,-109.67,-1.56,1.56,-124.67,104.78,-110.44,-109.44,224.28,-110,-110,-122,104,-110,-110,-110,-110,-122,100,-110,-110,-110,-110,-125,105,-108,-112,-113,-107,-125,105,-112,-108,-109,-103,-123,107,-109,-105,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-110,-110,-114,-112,-125,102,-115,-110,-105,-115,-130,110,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 22:10,7b28a8f5733ef01c824181e1b5a42341,Sacramento Kings,Cleveland Cavaliers,No,2102.2,Yes,West,Pacific,East,Central,-109.56,-110.22,12.11,-12.11,463.0,-646.89,-111.11,-108.89,234.78,-106,-114,460,-620,-110,-110,-110,-110,444,-667,-110,-110,-115,-105,470,-650,-115,-105,-105,-115,476,-650,-110,-110,-101,-111,487,-640,-107,-107,-115,-105,475,-650,-115,-105,-110,-110,475,-650,-110,-110,-114,-112,450,-670,-113,-113,-110,-110,430,-625,-110,-110
NBA,2026-02-07 13:36:39,2026-02-07 22:10,e4c99c288d8e1b1baf8bd7af1678ddb5,Portland Trail Blazers,Memphis Grizzlies,No,1849.4,Yes,West,Northwest,West,Southwest,-108.89,-110.89,-8.56,8.56,-344.33,273.11,-111.22,-108.78,234.5,-106,-114,-335,270,-114,-106,-110,-110,-357,271,-110,-110,-110,-110,-345,275,-110,-110,-110,-110,-345,278,-113,-107,-106,-106,-342,282,-110,-104,-110,-110,-350,280,-110,-110,-110,-110,-335,272,-110,-110,-113,-113,-360,265,-114,-112,-105,-115,-330,265,-110,-110
