League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-02-08 17:27:43,2026-02-08 15:11,9a4bb2e3bc9fd308b6e40f29e43ab2f1,Toronto Raptors,Indiana Pacers,No,440.8,No,East,Atlantic,East,Central,-71.8,-81.0,-19.9,19.9,,,34.67,-137.0,228.5,110,-146,,,104,-138,-133.0,100.0,,,-105.0,-133.0,-125.0,-105.0,,,,,-106,-129,,,,,-105.0,-125.0,,,105.0,-140.0
NBA,2026-02-08 17:27:43,2026-02-08 15:13,8864122f2c28fd6b7621c0ee000c41fc,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,No,West,Northwest,West,Pacific,-30.0,-123.2,21.4,-21.4,,,-75.4,-117.6,207.4,104,-138,,,104,-138,-105.0,-133.0,,,-118.0,-118.0,-125.0,-105.0,,,-125.0,-105.0,-124,-110,,,-120.0,-117.0,100.0,-130.0,,,-118.0,-110.0
NBA,2026-02-08 17:27:43,2026-02-09 19:10,28ed7bb63c7bfb49becafe83b0b89e75,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-109.67,-112.0,2.67,-2.67,120.67,-145.33,-111.67,-110.0,223.67,-106,-114,120.0,-142.0,-110,-110,,,,,,,-110.0,-110.0,130.0,-155.0,-110.0,-110.0,-113,-112,112.0,-139.0,-115.0,-110.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 19:40,1c83af4e3fb93fe6584ef5a9e1351f2b,Brooklyn Nets,Chicago Bulls,No,717.1,Yes,East,Atlantic,East,Central,-113.5,-109.5,3.25,-3.25,126.5,-153.5,-112.0,-110.0,222.25,-110,-110,128.0,-152.0,-110,-110,,,,,,,,,,,,,-117,-109,125.0,-155.0,-114.0,-110.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 19:40,87c446233100a0e10c8a9ae223b3d859,Miami Heat,Utah Jazz,No,2089.6,Yes,East,Southeast,West,Northwest,-111.0,-111.0,-8.83,8.83,-348.33,273.33,-110.67,-111.33,244.5,-110,-110,-370.0,295.0,-110,-110,,,,,,,-110.0,-110.0,-360.0,285.0,-110.0,-110.0,-113,-113,-315.0,240.0,-112.0,-114.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 19:40,d7da0d0be9b38cafad30bd7ed2a6c674,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-111.0,-111.0,-9.5,9.5,-413.33,316.67,-110.67,-111.33,218.67,-110,-110,-390.0,310.0,-110,-110,,,,,,,-110.0,-110.0,-395.0,310.0,-110.0,-110.0,-113,-113,-455.0,330.0,-112.0,-114.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 20:10,b664e9dae2af4118d7572e95a333b93e,Minnesota Timberwolves,Atlanta Hawks,No,907.2,Yes,West,Northwest,East,Southeast,-113.5,-109.0,-6.0,6.0,-235.0,189.5,-111.5,-111.5,235.25,-112,-108,-235.0,194.0,-110,-110,,,,,,,,,,,,,-115,-110,-235.0,185.0,-113.0,-113.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 20:10,f3e4369053da36c11257f3b1498bd0e6,New Orleans Pelicans,Sacramento Kings,No,1883.0,Yes,West,Southwest,West,Pacific,-112.5,-110.5,-5.5,5.5,-222.5,179.5,-114.0,-109.0,232.75,-112,-108,-220.0,184.0,-114,-106,,,,,,,,,,,,,-113,-113,-225.0,175.0,-114.0,-112.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 21:10,55ce3994bdb669f780eb1021014461cf,Denver Nuggets,Cleveland Cavaliers,No,1228.2,Yes,West,Northwest,East,Central,-111.0,-112.0,1.5,-1.5,2.5,-123.5,-110.0,-112.0,233.25,-108,-112,108.0,-126.0,-106,-114,,,,,,,,,,,,,-114,-112,-103.0,-121.0,-114.0,-110.0,,,,,,
NBA,2026-02-08 17:27:43,2026-02-09 22:10,52fefc6f39b3b91682e5f266233d1088,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,West,Pacific,West,Southwest,-110.0,-112.0,-7.17,7.17,-261.33,210.0,-111.33,-110.67,225.83,-106,-114,-260.0,215.0,-110,-110,,,,,,,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,-114,-112,-286.0,220.0,-114.0,-112.0,,,,,,
