League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-09 17:35:52,2026-02-09 19:10,28ed7bb63c7bfb49becafe83b0b89e75,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-107.33,-112.44,2.5,-2.5,122.78,-145.11,-110.11,-109.67,221.56,-106,-114,124,-146,-114,-106,-110,-110,122,-149,-110,-110,-109,-117,120,-148,-110,-114,-108,-112,120,-142,-110,-110,-105,-115,125,-150,-110,-110,-102,-110,123,-140,-107,-107,-106,-114,121,-141,-110,-110,-110,-110,125,-145,-110,-110,-110,-110,125,-145,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 19:40,1c83af4e3fb93fe6584ef5a9e1351f2b,Brooklyn Nets,Chicago Bulls,No,717.1,Yes,East,Atlantic,East,Central,-109.22,-110.56,3.67,-3.67,144.33,-171.78,-109.44,-112.22,217.83,-112,-108,146,-174,-106,-114,-110,-110,138,-172,-119,-115,-113,-113,143,-180,-113,-113,-105,-115,145,-175,-110,-110,-110,-110,145,-175,-110,-110,-102,-110,146,-165,-102,-113,-106,-114,145,-165,-105,-115,-110,-110,146,-170,-110,-110,-115,-105,145,-170,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 19:40,87c446233100a0e10c8a9ae223b3d859,Miami Heat,Utah Jazz,No,2089.6,Yes,East,Southeast,West,Northwest,-107.67,-112.0,-6.5,6.5,-264.0,214.33,-111.44,-108.56,239.78,-105,-115,-260,215,-115,-105,-110,-110,-270,211,-110,-110,-115,-110,-275,210,-114,-112,-108,-112,-258,210,-112,-108,-105,-115,-275,220,-115,-105,-101,-111,-258,218,-107,-107,-105,-115,-260,215,-110,-110,-110,-110,-250,210,-110,-110,-110,-110,-270,220,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 19:40,d7da0d0be9b38cafad30bd7ed2a6c674,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-110.33,-109.44,-9.94,9.94,-428.33,328.11,-108.78,-111.22,220.39,-110,-110,-430,340,-106,-114,-110,-110,-435,322,-110,-110,-109,-117,-480,340,-112,-114,-118,-102,-410,320,-108,-112,-115,-105,-425,320,-110,-110,-106,-106,-415,336,-105,-109,-110,-110,-420,330,-108,-112,-110,-110,-420,330,-110,-110,-105,-115,-420,315,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 20:10,b664e9dae2af4118d7572e95a333b93e,Minnesota Timberwolves,Atlanta Hawks,No,907.2,Yes,West,Northwest,East,Southeast,-111.11,-108.56,-8.44,8.44,-330.78,263.44,-110.56,-109.44,237.56,-112,-108,-310,250,-110,-110,-110,-110,-370,283,-110,-110,-117,-108,-335,250,-114,-112,-110,-110,-340,270,-110,-110,-110,-110,-325,260,-110,-110,-106,-106,-327,271,-109,-105,-110,-110,-330,267,-112,-108,-110,-110,-320,260,-110,-110,-115,-105,-320,260,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 20:10,f3e4369053da36c11257f3b1498bd0e6,New Orleans Pelicans,Sacramento Kings,No,1883.0,Yes,West,Southwest,West,Pacific,-108.11,-111.56,-9.22,9.22,-392.89,303.67,-108.78,-111.33,230.61,-114,-106,-400,315,-110,-110,-110,-110,-385,287,-110,-110,-110,-115,-420,300,-112,-114,-102,-118,-395,310,-110,-110,-102,-118,-400,310,-110,-110,-108,-104,-376,308,-102,-113,-112,-108,-380,303,-105,-115,-110,-110,-370,295,-110,-110,-105,-115,-410,305,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 21:10,55ce3994bdb669f780eb1021014461cf,Denver Nuggets,Cleveland Cavaliers,No,1228.2,Yes,West,Northwest,East,Central,-87.44,-88.0,-0.33,0.33,-110.78,-108.78,-109.22,-110.78,239.33,-118,-104,-110,-106,-108,-112,-110,-110,-111,-110,-110,-110,-110,-115,-115,-108,-113,-113,-120,100,-112,-108,-105,-115,-102,-118,-110,-110,-110,-110,101,-113,-106,-110,-107,-107,-103,-117,-108,-112,-110,-110,-110,-110,-115,-105,-110,-110,-115,-105,-110,-110,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 22:10,52fefc6f39b3b91682e5f266233d1088,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,West,Pacific,West,Southwest,-109.0,-110.67,-9.28,9.28,-393.33,305.56,-108.78,-111.11,218.72,-112,-108,-375,300,-112,-108,-110,-110,-400,298,-110,-110,-112,-113,-420,310,-110,-114,-105,-115,-395,310,-110,-110,-105,-115,-425,320,-110,-110,-109,-103,-380,311,-102,-113,-113,-107,-385,306,-105,-115,-110,-110,-380,305,-110,-110,-105,-115,-380,290,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 22:10,fe43ece4642dde1bcd2610c18f0cfc27,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-109.33,-110.44,7.06,-7.06,209.11,-257.33,-110.11,-109.89,222.0,-110,-110,215,-260,-110,-110,-110,-110,218,-278,-110,-110,-113,-113,210,-275,-112,-114,-115,-105,205,-250,-112,-108,-115,-105,200,-250,-110,-110,-101,-111,206,-243,-107,-107,-105,-115,203,-245,-110,-110,-110,-110,205,-245,-110,-110,-105,-115,220,-270,-110,-110
NBA,2026-02-09 17:35:52,2026-02-09 22:10,7c8edd09283c5268205c6029a589798f,Portland Trail Blazers,Philadelphia 76ers,No,2412.5,Yes,West,Northwest,East,Atlantic,-109.33,-110.33,2.67,-2.67,121.78,-143.78,-109.56,-110.44,230.61,-114,-106,124,-146,-110,-110,-110,-110,118,-145,-110,-110,-110,-115,117,-143,-114,-112,-108,-112,120,-142,-110,-110,-105,-115,125,-150,-105,-115,-104,-108,122,-138,-107,-107,-108,-112,120,-140,-110,-110,-110,-110,125,-145,-110,-110,-115,-105,125,-145,-110,-110
