League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-10 17:39:55,2026-02-10 19:30,029d9c1b39d0cd27d90931850a1f0bbd,New York Knicks,Indiana Pacers,No,646.0,Yes,East,Atlantic,East,Central,-110.22,-109.56,-11.72,11.72,-602.11,434.78,-110.0,-110.0,225.44,-105,-115,-590,440,-110,-110,-110.0,-110.0,-588.0,405.0,-110.0,-110.0,-110.0,-110.0,-575.0,425.0,-110.0,-110.0,-110.0,-102.0,-576.0,446.0,-107.0,-107.0,-114.0,-106.0,-585.0,437.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-115.0,-105.0,-585.0,445.0,-110.0,-110.0,-113.0,-113.0,-670.0,440.0,-113.0,-113.0,-105.0,-115.0,-650.0,450.0,-110.0,-110.0
NBA,2026-02-10 17:39:55,2026-02-10 20:00,402d3274a70ecdf3f3441bd2730e9a86,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,West,Southwest,West,Pacific,-110.89,-108.78,-8.83,8.83,-325.22,260.44,-109.44,-110.44,212.28,-108,-112,-330,265,-110,-110,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-118.0,-102.0,-310.0,250.0,-108.0,-112.0,-104.0,-108.0,-317.0,263.0,-107.0,-107.0,-108.0,-112.0,-320.0,260.0,-110.0,-110.0,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-315.0,258.0,-110.0,-110.0,-115.0,-110.0,-345.0,265.0,-110.0,-115.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0
NBA,2026-02-10 17:39:55,2026-02-10 21:00,a431f33f9135f054bfd08b6f0d341497,Phoenix Suns,Dallas Mavericks,No,885.4,Yes,West,Pacific,West,Southwest,-108.11,-111.67,-8.44,8.44,-331.89,263.44,-109.22,-110.78,227.5,-108,-112,-330,265,-108,-112,-110.0,-110.0,-360.0,273.0,-110.0,-110.0,-108.0,-112.0,-340.0,270.0,-105.0,-115.0,-102.0,-110.0,-307.0,256.0,-107.0,-107.0,-106.0,-114.0,-310.0,252.0,-110.0,-110.0,-110.0,-110.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0,-109.0,-117.0,-375.0,275.0,-113.0,-113.0,-110.0,-110.0,-330.0,265.0,-110.0,-110.0
NBA,2026-02-10 17:39:55,2026-02-10 22:30,3abaf28550da137114cba0daec6fe134,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,West,Pacific,West,Southwest,-108.0,-111.78,12.78,-12.78,436.44,-596.44,-111.11,-108.89,223.28,-110,-110,450,-600,-114,-106,-110.0,-110.0,400.0,-556.0,-110.0,-110.0,-102.0,-118.0,425.0,-575.0,-115.0,-105.0,-101.0,-111.0,440.0,-567.0,-107.0,-107.0,-105.0,-115.0,431.0,-575.0,-110.0,-110.0,-110.0,-110.0,475.0,-650.0,-110.0,-110.0,-110.0,-110.0,422.0,-545.0,-110.0,-110.0,-114.0,-112.0,475.0,-715.0,-114.0,-112.0,-110.0,-110.0,410.0,-585.0,-110.0,-110.0
NBA,2026-02-10 17:39:55,2026-02-11 19:00,786e38c6d2a209bb12801b30f17e9ef2,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-108.0,-114.0,-10.17,10.17,-473.33,353.33,-110.0,-111.67,220.5,-110,-110,-450,350,-110,-110,,,,,,,-102.0,-118.0,-470.0,360.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-114.0,-500.0,350.0,-110.0,-115.0,,,,,,
NBA,2026-02-10 17:39:55,2026-02-11 19:10,1e29ea38e9c7789166418c9a3544bff9,Cleveland Cavaliers,Washington Wizards,No,305.1,Yes,East,Central,East,Southeast,-111.0,-109.0,-18.0,18.0,-1525.0,875.0,-111.0,-109.0,235.5,-110,-110,-1600,900,-112,-108,,,,,,,-112.0,-108.0,-1450.0,850.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-10 17:39:55,2026-02-11 19:30,c09c552bcc0d68d3e96c860980ae1563,Toronto Raptors,Detroit Pistons,No,206.8,Yes,East,Atlantic,East,Central,-110.33,-111.33,1.67,-1.67,106.67,-128.33,-110.67,-111.33,223.5,-106,-114,110,-130,-110,-110,,,,,,,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-115.0,-110.0,105.0,-130.0,-112.0,-114.0,,,,,,
NBA,2026-02-10 17:39:55,2026-02-11 19:30,fa53065fb88985857fe9cfe5372477dc,Philadelphia 76ers,New York Knicks,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-111.33,-110.67,1.67,-1.67,103.0,-124.0,-111.0,-111.0,223.5,-110,-110,102,-120,-110,-110,,,,,,,-112.0,-108.0,100.0,-120.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-114.0,107.0,-132.0,-113.0,-113.0,,,,,,
NBA,2026-02-10 17:39:55,2026-02-11 19:40,fe5025ebf8e01fd991276b32c2720ea7,Boston Celtics,Chicago Bulls,No,852.9,Yes,East,Atlantic,East,Central,-109.67,-112.33,-13.33,13.33,-630.0,450.0,-112.67,-109.33,226.83,-110,-110,-620,460,-110,-110,,,,,,,-105.0,-115.0,-600.0,440.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-670.0,450.0,-113.0,-113.0,,,,,,
NBA,2026-02-10 17:39:55,2026-02-11 20:10,3313a32e931557302ee2526858b86060,New Orleans Pelicans,Miami Heat,No,669.6,Yes,West,Southwest,East,Southeast,-108.0,-112.0,-2.0,2.0,-124.0,106.0,-115.0,-105.0,229.5,-108,-112,-124,106,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
