League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-02-11 05:45:33,2026-02-11 19:00,786e38c6d2a209bb12801b30f17e9ef2,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-108.67,-111.11,-10.22,10.22,-489.78,368.44,-110.11,-109.89,220.44,-110,-110,-450,350,-110,-110,-105,-115,-485,370,-112,-108,-117,-109,-530,370,-112,-114,-110,-110,-500,383,-110,-110,-106,-106,-493,390,-107,-107,-105,-115,-500,375,-110,-110,-110.0,-110.0,-470.0,370.0,-110.0,-110.0,-105,-115,-480,350,-110,-110,-110,-110,-500,358,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:10,7c66ba90233d458cdf37f776c8a9f406,Charlotte Hornets,Atlanta Hawks,Yes,226.8,Yes,East,Southeast,East,Southeast,-108.11,-111.67,-5.39,5.39,-205.78,171.44,-110.0,-110.0,232.72,-110,-110,-205,172,-110,-110,-108,-112,-198,164,-110,-110,-114,-112,-215,170,-113,-113,-105,-115,-205,177,-110,-110,-101,-111,-204,179,-107,-107,-105,-115,-210,170,-110,-110,-105.0,-115.0,-205.0,175.0,-110.0,-110.0,-115,-105,-210,175,-110,-110,-110,-110,-200,161,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:10,1e29ea38e9c7789166418c9a3544bff9,Cleveland Cavaliers,Washington Wizards,No,305.1,Yes,East,Central,East,Southeast,-111.44,-108.33,-17.83,17.83,-1566.44,857.44,-110.78,-109.11,238.06,-112,-108,-1600,900,-112,-108,-112,-108,-1600,900,-110,-110,-113,-113,-1667,800,-113,-112,-110,-110,-1500,874,-110,-110,-106,-106,-1464,910,-107,-107,-115,-105,-1600,875,-110,-110,-110.0,-110.0,-1400.0,825.0,-110.0,-110.0,-115,-105,-1600,800,-115,-105,-110,-110,-1667,833,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:30,c09c552bcc0d68d3e96c860980ae1563,Toronto Raptors,Detroit Pistons,No,206.8,Yes,East,Atlantic,East,Central,-112.0,-107.67,1.5,-1.5,78.33,-120.78,-110.78,-109.22,223.06,-114,-106,100,-118,-110,-110,-112,-108,100,-120,-118,-102,-115,-110,-103,-122,-112,-114,-113,-107,102,-122,-110,-110,-109,-103,104,-120,-107,-107,-110,-110,100,-120,-110,-110,-115.0,-105.0,100.0,-120.0,-110.0,-110.0,-110,-110,100,-120,-110,-110,-110,-110,102,-125,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:30,fa53065fb88985857fe9cfe5372477dc,Philadelphia 76ers,New York Knicks,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-106.22,-113.44,-2.39,2.39,-135.78,114.33,-110.44,-109.56,221.89,-108,-112,-144,122,-112,-108,-105,-115,-135,114,-108,-112,-112,-113,-132,107,-112,-114,-105,-115,-135,115,-110,-110,-101,-111,-133,117,-107,-107,-105,-115,-140,115,-115,-105,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-105,-115,-135,115,-110,-110,-110,-110,-133,109,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:40,fe5025ebf8e01fd991276b32c2720ea7,Boston Celtics,Chicago Bulls,No,852.9,Yes,East,Atlantic,East,Central,-110.44,-109.33,-13.44,13.44,-741.67,516.56,-111.22,-108.89,225.5,-114,-106,-700,500,-110,-110,-115,-105,-700,500,-110,-110,-114,-112,-670,450,-113,-113,-110,-110,-800,561,-115,-105,-106,-106,-786,576,-113,-102,-110,-110,-750,525,-110,-110,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-105,-115,-800,525,-110,-110,-110,-110,-769,512,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 19:40,8cdd1f682ca6ed36e908ecf3b00f01bc,Brooklyn Nets,Indiana Pacers,No,646.8,Yes,East,Atlantic,East,Central,-110.78,-109.0,-4.94,4.94,-182.44,153.11,-110.11,-109.89,214.67,-108,-112,-184,154,-106,-114,-105,-115,-180,150,-110,-110,-117,-109,-182,145,-113,-113,-113,-107,-185,161,-110,-110,-109,-103,-185,162,-107,-107,-105,-115,-185,150,-115,-105,-115.0,-105.0,-185.0,159.0,-110.0,-110.0,-115,-105,-180,155,-110,-110,-110,-110,-176,142,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 20:10,eb36e00b7d03160ba917374db994fae4,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,West,Southwest,West,Pacific,-85.62,-109.12,-8.75,8.75,-353.75,278.75,-110.88,-109.25,209.5,-110,-110,-360,290,-106,-114,100,-120,-355,280,-110,-110,-114,-112,-385,285,-113,-113,-115,-105,-350,280,-115,-105,-111,-101,-345,285,-113,-102,-115,-105,-350,280,-110,-110,,,,,,,-110,-110,-340,270,-110,-110,-110,-110,-345,260,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 20:10,3313a32e931557302ee2526858b86060,New Orleans Pelicans,Miami Heat,No,669.6,Yes,West,Southwest,East,Southeast,-108.67,-111.11,-1.5,1.5,-120.12,25.0,-110.11,-109.89,232.44,-110,-110,-118,100,-110,-110,-110,-110,-122,102,-110,-110,-112,-114,-122,-103,-114,-112,-110,-110,-123,103,-110,-110,-106,-106,-121,105,-107,-107,-105,-115,-118,-102,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-105,-115,-115,-105,-110,-110,-110,-110,-122,100,-110,-110
NBA,2026-02-11 05:45:33,2026-02-11 20:10,3acad36c997423e34f7d485f9598a106,Minnesota Timberwolves,Portland Trail Blazers,Yes,1426.0,Yes,West,Northwest,West,Northwest,-111.11,-108.67,-7.5,7.5,-301.11,241.89,-110.0,-110.0,237.67,-112,-108,-290,235,-108,-112,-115,-105,-305,245,-112,-108,-112,-114,-315,235,-113,-113,-110,-110,-290,237,-110,-110,-106,-106,-287,241,-107,-107,-110,-110,-300,240,-110,-110,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-115,-105,-310,255,-110,-110,-110,-110,-313,239,-110,-110
