League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds
NBA,2026-02-16 05:45:04,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-109.5,-112.0,2.5,-2.5,114.5,-139.0,-111.0,-111.0,233.5,-109.0,-114.0,115.0,-143.0,-112.0,-112.0,-110.0,-110.0,114.0,-135.0,-110.0,-110.0,,,,,,
NBA,2026-02-16 05:45:04,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-111.67,-109.67,-4.83,4.83,-195.0,160.33,-111.0,-110.0,235.5,-112.0,-112.0,-195.0,155.0,-113.0,-110.0,-115.0,-105.0,-192.0,160.0,-110.0,-110.0,-108.0,-112.0,-198.0,166.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-111.67,-109.33,-13.5,13.5,-811.67,545.0,-110.0,-111.33,226.17,-113.0,-110.0,-835.0,525.0,-112.0,-112.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-112.0,-108.0,-800.0,560.0,-108.0,-112.0
NBA,2026-02-16 05:45:04,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-111.67,-109.0,2.33,-2.33,114.0,-136.33,-110.0,-111.0,214.83,-112.0,-110.0,114.0,-141.0,-110.0,-113.0,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-108.0,-112.0,118.0,-138.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-110.33,-110.33,-2.83,2.83,-153.67,128.0,-112.33,-108.67,222.0,-115.0,-107.0,-157.0,128.0,-113.0,-110.0,-110.0,-110.0,-148.0,124.0,-110.0,-110.0,-106.0,-114.0,-156.0,132.0,-114.0,-106.0
NBA,2026-02-16 05:45:04,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-110.67,-110.67,4.5,-4.5,154.67,-188.67,-111.0,-110.0,230.5,-112.0,-112.0,150.0,-190.0,-113.0,-110.0,-110.0,-110.0,160.0,-192.0,-110.0,-110.0,-110.0,-110.0,154.0,-184.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-112.67,-108.33,-6.5,6.5,-268.33,215.0,-111.0,-110.0,225.5,-114.0,-109.0,-275.0,210.0,-113.0,-110.0,-110.0,-110.0,-270.0,220.0,-110.0,-110.0,-114.0,-106.0,-260.0,215.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-110.67,-110.67,3.33,-3.33,134.0,-161.33,-111.0,-110.0,223.5,-112.0,-112.0,130.0,-162.0,-113.0,-110.0,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,-110.0,-110.0,132.0,-156.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-111.0,-110.0,11.5,-11.5,433.33,-600.0,-110.0,-111.0,223.5,-113.0,-110.0,410.0,-590.0,-110.0,-113.0,-110.0,-110.0,470.0,-650.0,-110.0,-110.0,-110.0,-110.0,420.0,-560.0,-110.0,-110.0
NBA,2026-02-16 05:45:04,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-110.67,-110.67,3.5,-3.5,133.33,-160.67,-111.33,-110.0,225.5,-112.0,-112.0,130.0,-162.0,-112.0,-112.0,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-110.0,-110.0,134.0,-158.0,-112.0,-108.0
NBA,2026-02-16 05:45:04,2026-02-20 19:10,79eb6c4e1c2997c28d23ce515d513081,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-106.0,-114.0,2.5,-2.5,126.0,-148.0,-110.0,-110.0,234.5,,,,,,,,,,,,,-106.0,-114.0,126.0,-148.0,-110.0,-110.0
