League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-02-16 13:44:05,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-108.75,-112.0,2.5,-2.5,118.5,-143.25,-110.0,-110.75,234.5,-106,-114,128,-152,-110,-110,-109.0,-114.0,114.0,-141.0,-110.0,-113.0,-110.0,-110.0,114.0,-135.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-110.75,-110.0,-4.62,4.62,-191.5,156.5,-110.5,-110.5,235.5,-108,-112,-194,162,-110,-110,-115.0,-108.0,-190.0,150.0,-112.0,-112.0,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,154.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-111.25,-109.5,-13.5,13.5,-808.75,546.25,-110.0,-111.0,226.38,-112,-108,-800,560,-108,-112,-113.0,-110.0,-835.0,525.0,-112.0,-112.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-112.75,-108.0,2.38,-2.38,112.0,-135.0,-110.75,-110.0,214.5,-108,-112,114,-134,-110,-110,-113.0,-110.0,114.0,-141.0,-113.0,-110.0,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-3.5,-117.25,-3.38,3.38,-159.25,132.75,-112.0,-108.75,222.0,-106,-114,-156,132,-114,-106,-110.0,-113.0,-159.0,128.0,-114.0,-109.0,102.0,-122.0,-162.0,136.0,-110.0,-110.0,100.0,-120.0,-160.0,135.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-111.25,-109.5,4.62,-4.62,156.0,-190.25,-109.75,-111.0,230.5,-110,-110,154,-184,-110,-110,-115.0,-108.0,155.0,-195.0,-109.0,-114.0,-110.0,-110.0,160.0,-192.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-111.5,-109.5,-6.5,6.5,-269.5,216.25,-110.5,-110.5,225.5,-114,-106,-260,215,-110,-110,-112.0,-112.0,-265.0,200.0,-112.0,-112.0,-110.0,-110.0,-278.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,225.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-111.75,-109.0,3.38,-3.38,133.5,-161.0,-110.5,-110.0,223.5,-114,-106,134,-158,-110,-110,-113.0,-110.0,120.0,-150.0,-112.0,-110.0,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,-110.0,-110.0,140.0,-170.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-109.25,-111.5,11.0,-11.0,390.0,-527.5,-110.75,-110.0,223.38,-112,-108,420,-560,-110,-110,-115.0,-108.0,410.0,-590.0,-113.0,-110.0,-105.0,-115.0,370.0,-485.0,-110.0,-110.0,-105.0,-115.0,360.0,-475.0,-110.0,-110.0
NBA,2026-02-16 13:44:05,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-110.5,-110.5,3.5,-3.5,134.25,-162.5,-110.5,-110.25,225.5,-110,-110,134,-158,-112,-108,-112.0,-112.0,132.0,-165.0,-110.0,-113.0,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0
