League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-18 17:33:18,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-107.62,-111.75,3.69,-3.69,137.57,-163.0,-109.38,-110.25,232.88,-110,-110,138,-164,-105,-115,-115,-108,138,-175,-113,-110,-105,-115,140,-166,-110,-110,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-101.0,-111.0,139.0,-158.0,-107.0,-107.0,-105.0,-115.0,138.0,-158.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-108.71,-110.57,-2.43,2.43,-133.17,112.0,-110.0,-109.71,236.14,-110,-110,-132,112,-114,-106,-110,-113,-137,112,-112,-112,-110,-110,-135,114,-112,-108,-105.0,-115.0,-135.0,110.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,-129.0,113.0,-107.0,-107.0,-110.0,-110.0,-131.0,111.0,-110.0,-110.0,,,,,,
NBA,2026-02-18 17:33:18,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-109.38,-110.12,-16.12,16.12,-1098.86,688.14,-110.0,-109.62,229.94,-112,-108,-1100,700,-108,-112,-112,-112,-1115,650,-110,-113,-105,-115,-1100,700,-115,-105,-105.0,-115.0,-1100.0,675.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,-1077.0,733.0,-107.0,-107.0,-110.0,-110.0,-1100.0,709.0,-110.0,-110.0,-115.0,-105.0,-1100.0,650.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-109.14,-110.14,4.5,-4.5,158.33,-189.33,-109.29,-110.29,216.79,-110,-110,162,-194,-108,-112,-108,-115,150,-190,-113,-110,-110,-110,160,-192,-112,-108,-110.0,-110.0,155.0,-190.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,162.0,-185.0,-107.0,-107.0,-110.0,-110.0,161.0,-185.0,-110.0,-110.0,,,,,,
NBA,2026-02-18 17:33:18,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-109.12,-110.25,-4.38,4.38,-182.0,153.29,-109.5,-110.12,223.62,-108,-112,-180,152,-112,-108,-114,-109,-195,155,-110,-113,-105,-115,-180,150,-112,-108,-105.0,-115.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-111.0,-101.0,-177.0,156.0,-107.0,-107.0,-115.0,-105.0,-177.0,155.0,-110.0,-110.0,-105.0,-115.0,-180.0,155.0,-105.0,-115.0
NBA,2026-02-18 17:33:18,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-110.62,-108.75,5.5,-5.5,171.0,-204.29,-110.25,-109.38,233.94,-112,-108,168,-200,-110,-110,-110,-113,170,-215,-113,-110,-112,-108,170,-205,-112,-108,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,175.0,-200.0,-107.0,-107.0,-110.0,-110.0,174.0,-200.0,-110.0,-110.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-110.5,-108.88,-8.31,8.31,-334.43,266.71,-111.25,-108.5,227.06,-110,-110,-340,275,-114,-106,-115,-108,-335,245,-110,-113,-108,-112,-345,275,-108,-112,-110.0,-110.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,-336.0,278.0,-113.0,-102.0,-110.0,-110.0,-340.0,274.0,-115.0,-105.0,-115.0,-105.0,-320.0,260.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-110.12,-109.25,2.69,-2.69,120.43,-142.29,-109.38,-110.12,217.38,-112,-108,118,-138,-108,-112,-115,-108,118,-148,-112,-110,-108,-112,120,-142,-108,-112,-110.0,-110.0,120.0,-145.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,122.0,-138.0,-107.0,-107.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-109.62,-109.75,8.69,-8.69,296.71,-378.71,-108.75,-111.0,223.81,-110,-110,285,-360,-108,-112,-113,-110,285,-385,-110,-113,-108,-112,310,-395,-110,-110,-110.0,-110.0,300.0,-375.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,301.0,-366.0,-102.0,-113.0,-110.0,-110.0,296.0,-370.0,-105.0,-115.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-108.88,-110.5,4.38,-4.38,152.57,-181.29,-109.38,-110.25,225.88,-108,-112,152,-180,-105,-115,-110,-113,150,-190,-113,-110,-112,-108,150,-180,-105,-115,-110.0,-110.0,150.0,-185.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,156.0,-177.0,-107.0,-107.0,-110.0,-110.0,155.0,-177.0,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0
NBA,2026-02-18 17:33:18,2026-02-20 19:10,fde066653cf72796682157aeae55c1e3,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,West,Southwest,West,Northwest,-108.0,-113.0,-4.33,4.33,-173.67,142.67,-109.0,-112.33,241.5,-105,-115,-174,146,-105,-115,-114,-109,-177,140,-112,-112,-105,-115,-170,142,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
