League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-19 05:39:14,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-111.11,-86.11,3.28,-3.28,128.44,-152.0,-109.0,-110.67,232.94,-115,-105,126,-148,-105,-115,-109,-114,125,-157,-109,-114,-120,100,124,-148,-110,-110,-115.0,-105.0,125.0,-150.0,-110.0,-110.0,-110.0,-110.0,130.0,-161.0,-110.0,-110.0,-106.0,-106.0,132.0,-149.0,-107.0,-107.0,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-105.0,-115.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,134.0,-155.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-107.44,-112.11,-1.28,1.28,-117.67,-35.67,-112.11,-107.67,236.78,-110,-110,-118,100,-110,-110,-112,-112,-124,100,-113,-110,-102,-118,-118,-102,-108,-112,-102.0,-118.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-118.0,-104.0,-110.0,-110.0,-106.0,-106.0,-113.0,-103.0,-113.0,-102.0,-110.0,-110.0,-115.0,-105.0,-115.0,-105.0,-105.0,-115.0,-120.0,100.0,-115.0,-105.0,-110.0,-110.0,-115.0,-105.0,-115.0,-105.0
NBA,2026-02-19 05:39:14,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-107.78,-111.78,-16.22,16.22,-1099.0,687.44,-109.33,-110.33,230.11,-112,-108,-1100,700,-114,-106,-112,-112,-1115,650,-110,-113,-105,-115,-1050,675,-108,-112,-105.0,-115.0,-1100.0,675.0,-105.0,-115.0,-110.0,-110.0,-1000.0,618.0,-110.0,-110.0,-101.0,-111.0,-1126.0,757.0,-107.0,-107.0,-105.0,-115.0,-1150.0,732.0,-110.0,-110.0,-110.0,-110.0,-1100.0,650.0,-110.0,-110.0,-110.0,-110.0,-1150.0,730.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-112.78,-106.67,4.5,-4.5,156.56,-186.56,-111.67,-108.11,216.28,-110,-110,164,-196,-108,-112,-114,-109,155,-195,-114,-109,-115,-105,154,-185,-110,-110,-115.0,-105.0,154.0,-190.0,-110.0,-110.0,-110.0,-110.0,153.0,-189.0,-110.0,-110.0,-111.0,-101.0,161.0,-183.0,-113.0,-102.0,-115.0,-105.0,160.0,-183.0,-115.0,-105.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0,-115.0,-105.0,158.0,-183.0,-115.0,-105.0
NBA,2026-02-19 05:39:14,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-110.22,-64.78,-4.11,4.11,-174.89,146.78,-110.22,-109.33,223.5,-106,-114,-174,146,-112,-108,-110,-113,-186,148,-113,-109,-105,-115,-175,145,-110,-110,-105.0,-115.0,-180.0,145.0,-110.0,-110.0,-110.0,-110.0,-175.0,142.0,-110.0,-110.0,-116.0,104.0,-167.0,148.0,-107.0,-107.0,-120.0,100.0,-167.0,147.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-109.78,-109.67,5.5,-5.5,174.33,-210.0,-110.56,-109.11,233.11,-112,-108,176,-210,-110,-110,-108,-115,170,-215,-113,-110,-112,-108,180,-218,-115,-105,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-110.0,-110.0,167.0,-208.0,-110.0,-110.0,-106.0,-106.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,177.0,-205.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-111.78,-107.67,-7.44,7.44,-295.67,239.56,-111.0,-108.67,227.39,-112,-108,-295,240,-114,-106,-113,-110,-315,245,-109,-113,-110,-110,-290,235,-108,-112,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-294.0,228.0,-110.0,-110.0,-111.0,-101.0,-287.0,241.0,-113.0,-102.0,-115.0,-105.0,-290.0,237.0,-115.0,-105.0,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-109.78,-109.67,5.44,-5.44,177.67,-215.0,-110.0,-109.67,213.39,-110,-110,164,-196,-110,-110,-110,-113,180,-230,-113,-110,-112,-108,170,-205,-110,-110,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,161.0,-200.0,-110.0,-110.0,-106.0,-106.0,188.0,-219.0,-107.0,-107.0,-110.0,-110.0,186.0,-220.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-109.33,-110.11,8.72,-8.72,302.78,-387.89,-109.44,-110.22,224.0,-110,-110,315,-405,-108,-112,-110,-113,320,-435,-110,-113,-108,-112,300,-380,-105,-115,-110.0,-110.0,300.0,-375.0,-115.0,-105.0,-110.0,-110.0,282.0,-370.0,-110.0,-110.0,-106.0,-106.0,304.0,-371.0,-107.0,-107.0,-110.0,-110.0,299.0,-375.0,-110.0,-110.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0,-110.0,-110.0,305.0,-380.0,-110.0,-110.0
NBA,2026-02-19 05:39:14,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-111.44,-85.78,4.39,-4.39,150.0,-178.33,-110.78,-109.0,225.94,-108,-112,152,-180,-115,-105,-113,-110,148,-186,-112,-112,-112,-108,150,-180,-108,-112,-115.0,-105.0,145.0,-175.0,-115.0,-105.0,-110.0,-110.0,151.0,-189.0,-110.0,-110.0,-113.0,101.0,150.0,-170.0,-107.0,-107.0,-117.0,-103.0,149.0,-170.0,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0
