League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-20 17:26:35,2026-02-20 19:10,a46a8c080be565bedbcd2c0d313895c3,Charlotte Hornets,Cleveland Cavaliers,No,435.0,Yes,East,Southeast,East,Central,-110.44,-109.11,5.5,-5.5,177.67,-213.44,-109.0,-110.67,228.83,-112,-108,184,-220,-115,-105,-110.0,-110.0,179.0,-224.0,-110.0,-110.0,-108,-112,180,-218,-105,-115,-112,-112,170,-215,-109,-114,-109.0,-103.0,179.0,-204.0,-107.0,-107.0,-113.0,-107.0,177.0,-205.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0,-110.0,-110.0,175.0,-210.0,-105.0,-115.0
NBA,2026-02-20 17:26:35,2026-02-20 19:10,fde066653cf72796682157aeae55c1e3,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,West,Southwest,West,Northwest,-109.67,-109.67,-2.5,2.5,-139.11,116.89,-109.44,-110.22,237.0,-108,-112,-136,116,-105,-115,-110.0,-110.0,-139.0,113.0,-110.0,-110.0,-110,-110,-142,120,-115,-105,-113,-109,-141,112,-109,-114,-106.0,-106.0,-136.0,120.0,-109.0,-105.0,-110.0,-110.0,-138.0,118.0,-112.0,-108.0,-110.0,-110.0,-145.0,118.0,-105.0,-115.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-20 19:15,79eb6c4e1c2997c28d23ce515d513081,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-108.67,-110.67,-1.33,1.33,-117.62,-2.25,-109.78,-109.78,228.83,-108,-112,-116,-102,-112,-108,-110.0,-110.0,-114.0,-108.0,-110.0,-110.0,-105,-115,-118,-102,-115,-105,-109,-113,-115,-108,-109,-113,-106.0,-106.0,-118.0,102.0,-107.0,-107.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-20 19:40,ee1817e78a163b03482df446b3c7ab4b,Atlanta Hawks,Miami Heat,Yes,604.6,Yes,East,Southeast,East,Southeast,-109.78,-109.67,3.28,-3.28,124.22,-147.0,-111.11,-108.44,243.83,-112,-108,126,-148,-108,-112,-110.0,-110.0,120.0,-147.0,-110.0,-110.0,-112,-108,120,-142,-112,-108,-113,-110,125,-157,-112,-110,-101.0,-111.0,127.0,-144.0,-110.0,-104.0,-105.0,-115.0,125.0,-145.0,-113.0,-107.0,-115.0,-105.0,125.0,-150.0,-115.0,-105.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-20 19:40,8b76ff37aae273884a7ea6ce7f8d1aa6,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,West,Northwest,West,Southwest,-108.89,-110.56,-14.28,14.28,-774.56,532.11,-109.56,-110.22,239.5,-110,-110,-720,520,-110,-110,-110.0,-110.0,-714.0,483.0,-110.0,-110.0,-108,-112,-750,525,-112,-108,-114,-109,-1000,600,-112,-112,-102.0,-110.0,-737.0,547.0,-107.0,-107.0,-106.0,-114.0,-750.0,534.0,-110.0,-110.0,-110.0,-110.0,-750.0,525.0,-110.0,-110.0,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-110.0,-110.0,-800.0,525.0,-105.0,-115.0
NBA,2026-02-20 17:26:35,2026-02-20 20:10,54cc75499ddb956880d076296b5be376,Oklahoma City Thunder,Brooklyn Nets,No,1328.4,Yes,West,Northwest,East,Atlantic,-110.44,-109.11,-17.11,17.11,-1388.78,798.44,-110.22,-109.56,214.33,-108,-112,-1600,900,-110,-110,-110.0,-110.0,-1429.0,740.0,-110.0,-110.0,-108,-112,-1350,800,-108,-112,-112,-112,-1250,700,-112,-112,-111.0,-101.0,-1270.0,826.0,-107.0,-107.0,-115.0,-105.0,-1300.0,795.0,-110.0,-110.0,-105.0,-115.0,-1400.0,825.0,-110.0,-110.0,-110.0,-110.0,-1500.0,850.0,-110.0,-110.0,-115.0,-105.0,-1400.0,750.0,-115.0,-105.0
NBA,2026-02-20 17:26:35,2026-02-20 20:10,2007c2367cb16289e11f34463016e147,New Orleans Pelicans,Milwaukee Bucks,No,910.9,Yes,West,Southwest,East,Central,-108.56,-111.0,-4.22,4.22,-175.78,148.33,-110.22,-109.44,223.56,-112,-108,-180,152,-114,-106,-110.0,-110.0,-175.0,142.0,-110.0,-110.0,-105,-115,-180,150,-108,-112,-112,-112,-177,143,-109,-114,-111.0,-101.0,-175.0,154.0,-109.0,-105.0,-107.0,-113.0,-175.0,153.0,-112.0,-108.0,-105.0,-115.0,-175.0,145.0,-110.0,-110.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0,-105.0,-115.0,-175.0,150.0,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-20 22:10,8ffd722305f0b211039cb60cbbe150e0,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,West,Northwest,West,Northwest,-108.11,-111.33,-1.17,1.17,-117.22,-35.89,-110.44,-109.22,239.89,-110,-110,-116,-102,-110,-110,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,-105,-115,-118,-102,-112,-108,-108,-115,-113,-110,-110,-113,-108.0,-104.0,-115.0,-101.0,-107.0,-107.0,-112.0,-108.0,-117.0,-103.0,-110.0,-110.0,-105.0,-115.0,-120.0,100.0,-115.0,-105.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-105.0,-115.0,-120.0,100.0,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-20 22:10,f0c5e19ea41dbbe28f060e1fa9b20628,Los Angeles Lakers,Los Angeles Clippers,Yes,8.5,Yes,West,Pacific,West,Pacific,-108.38,-111.0,-7.06,7.06,-266.62,216.88,-110.33,-109.44,225.22,-108,-112,-260,215,-108,-112,-110.0,-110.0,-270.0,212.0,-110.0,-110.0,-118,-102,-270,220,-108,-112,-109,-114,-295,230,-109,-114,-103.0,-109.0,-258.0,218.0,-113.0,-102.0,-107.0,-113.0,-260.0,215.0,-115.0,-105.0,-102.0,-118.0,-275.0,220.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,,,,,-110.0,-110.0
NBA,2026-02-20 17:26:35,2026-02-21 20:40,2b618167ad8113aa71a54a28f177f2d3,New York Knicks,Houston Rockets,No,1420.7,Yes,East,Atlantic,West,Southwest,-110.33,-110.67,-2.67,2.67,-146.0,121.0,-111.33,-109.33,213.0,-108,-112,-148,126,-112,-108,,,,,,,-108,-112,-142,120,-112,-108,-115,-108,-148,117,-110,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
