League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2026-02-22 05:21:21,2026-02-22 13:10,969b50e347f472c863d142252f2a47b1,Oklahoma City Thunder,Cleveland Cavaliers,No,951.7,No,West,Northwest,East,Central,-109.78,-109.67,3.5,-3.5,135.33,-160.22,-107.67,-112.11,226.06,-112,-108,138,-164,-110,-110,-110,-110,130,-159,-110,-110,-110,-110,136,-162,-112,-108,-104,-108,141,-160,-102,-113,-108,-112,140,-160,-105,-115,-110.0,-110.0,135.0,-160.0,-105.0,-115.0,-110,-110,138,-160,-105,-115,-110,-110,135,-160,-110,-110,-114,-109,125,-157,-110,-113
NBA,2026-02-22 05:21:21,2026-02-22 15:40,8cfa733d2c4b4d6bc9b588892a933983,Atlanta Hawks,Brooklyn Nets,No,746.3,No,East,Southeast,East,Atlantic,-112.67,-106.78,-8.61,8.61,-372.89,290.78,-108.33,-111.44,229.67,-114,-106,-370,295,-110,-110,-110,-110,-385,285,-110,-110,-115,-105,-360,285,-110,-110,-111,-101,-366,301,-102,-113,-115,-105,-370,296,-105,-115,-115.0,-105.0,-375.0,290.0,-110.0,-110.0,-115,-105,-360,290,-105,-115,-110,-110,-410,305,-110,-110,-109,-114,-360,270,-113,-110
NBA,2026-02-22 05:21:21,2026-02-22 15:40,782bd538baddbe08fa942761254729cf,Golden State Warriors,Denver Nuggets,No,947.0,No,West,Pacific,West,Northwest,-109.44,-110.0,5.56,-5.56,178.89,-215.56,-109.67,-110.0,229.89,-110,-110,176,-210,-108,-112,-110,-110,171,-213,-110,-110,-105,-115,180,-218,-112,-108,-104,-108,185,-214,-107,-107,-108,-112,183,-215,-110,-110,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110,-110,180,-210,-110,-110,-115,-105,190,-230,-110,-110,-113,-110,165,-210,-110,-113
NBA,2026-02-22 05:21:21,2026-02-22 15:40,7b90ac67ff251c150cfaec7dad0c57fb,Milwaukee Bucks,Toronto Raptors,No,432.0,No,East,Central,East,Atlantic,-111.33,-108.11,3.11,-3.11,130.33,-154.0,-109.33,-110.33,222.22,-110,-110,128,-152,-108,-112,-110,-110,120,-147,-110,-110,-118,-102,130,-155,-110,-110,-106,-106,136,-155,-107,-107,-110,-110,135,-155,-110,-110,-118.0,-102.0,135.0,-160.0,-105.0,-115.0,-110,-110,134,-155,-110,-110,-110,-110,130,-150,-110,-110,-110,-113,125,-157,-114,-109
NBA,2026-02-22 05:21:21,2026-02-22 17:10,c58609240b6495b450250cabc147e1ac,Indiana Pacers,Dallas Mavericks,No,763.9,No,East,Central,West,Southwest,-112.38,-106.88,1.94,-1.94,107.0,-127.38,-108.62,-111.25,232.19,-112,-108,106,-124,-110,-110,-110,-110,109,-133,-110,-110,-108,-112,105,-125,-115,-105,-111,-101,107,-123,-102,-113,-115,-105,105,-125,-105,-115,,,,,,,-115,-105,115,-135,-105,-115,-115,-105,105,-125,-110,-110,-113,-109,104,-129,-112,-112
NBA,2026-02-22 05:21:21,2026-02-22 18:10,a347a356427b6eb7be0785a1fe56c0ef,Washington Wizards,Charlotte Hornets,Yes,329.6,No,East,Southeast,East,Southeast,-110.44,-109.0,11.56,-11.56,418.11,-574.78,-109.44,-110.11,226.78,-112,-108,430,-590,-106,-114,-110,-110,425,-625,-110,-110,-112,-108,410,-550,-110,-110,-106,-106,408,-518,-107,-107,-110,-110,400,-525,-110,-110,-110.0,-110.0,425.0,-600.0,-110.0,-110.0,-110,-110,425,-550,-110,-110,-110,-110,430,-625,-110,-110,-114,-109,410,-590,-112,-110
NBA,2026-02-22 05:21:21,2026-02-22 18:40,17acdc05db1e8ba29fd2f420dcdf9bcc,Los Angeles Lakers,Boston Celtics,No,2597.9,No,West,Pacific,East,Atlantic,-109.78,-109.67,1.83,-1.83,107.78,-128.56,-110.56,-109.0,228.0,-114,-106,108,-126,-110,-110,-110,-110,105,-128,-110,-110,-105,-115,110,-130,-115,-105,-108,-104,112,-128,-107,-107,-112,-108,110,-130,-110,-110,-105.0,-115.0,110.0,-135.0,-110.0,-110.0,-110,-110,110,-130,-110,-110,-115,-105,105,-125,-110,-110,-109,-114,100,-125,-113,-109
NBA,2026-02-22 05:21:21,2026-02-22 19:10,439a6986fb7fa87228b403c29d22f4b6,Minnesota Timberwolves,Philadelphia 76ers,No,987.1,Yes,West,Northwest,East,Atlantic,-112.67,-106.78,-8.61,8.61,-352.44,278.0,-109.56,-110.11,237.83,-110,-110,-350,280,-114,-106,-110,-110,-357,272,-110,-110,-115,-105,-345,275,-105,-115,-111,-101,-345,285,-107,-107,-115,-105,-350,280,-110,-110,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-115,-105,-350,280,-110,-110,-110,-110,-350,275,-110,-110,-113,-110,-375,275,-110,-113
NBA,2026-02-22 05:21:21,2026-02-22 20:10,ded265e6250d4401a3786f34c967bc8b,Chicago Bulls,New York Knicks,No,715.3,Yes,East,Central,East,Atlantic,-109.62,-109.75,10.5,-10.5,374.38,-496.62,-110.5,-109.25,231.62,-108,-112,380,-490,-110,-110,-110,-110,357,-500,-110,-110,-110,-110,370,-485,-115,-105,-106,-106,390,-493,-107,-107,-110,-110,383,-500,-110,-110,,,,,,,-110,-110,390,-500,-110,-110,-110,-110,375,-525,-110,-110,-113,-110,350,-480,-112,-112
NBA,2026-02-22 05:21:21,2026-02-22 20:10,14255f77d428aeeedddf9c964b461b3d,Phoenix Suns,Portland Trail Blazers,No,1006.0,Yes,West,Pacific,West,Northwest,-109.78,-109.67,3.5,-3.5,136.22,-160.67,-109.56,-110.22,223.22,-110,-110,136,-162,-114,-106,-110,-110,131,-161,-110,-110,-112,-108,140,-166,-108,-112,-106,-106,141,-160,-107,-107,-110,-110,140,-160,-110,-110,-110.0,-110.0,135.0,-160.0,-105.0,-115.0,-110,-110,138,-160,-110,-110,-110,-110,130,-150,-110,-110,-110,-113,135,-167,-112,-112
NBA,2026-02-22 05:21:21,2026-02-22 21:10,e553a415ff6fd8af818c5f4bc50fe23d,Los Angeles Clippers,Orlando Magic,No,2206.9,Yes,West,Pacific,East,Southeast,-109.0,-110.56,-3.78,3.78,-159.78,134.67,-110.67,-109.0,215.56,-108,-112,-164,138,-114,-106,-110,-110,-169,137,-110,-110,-115,-105,-155,130,-112,-108,-101,-111,-155,136,-107,-107,-105,-115,-155,135,-110,-110,-115.0,-105.0,-160.0,135.0,-110.0,-110.0,-105,-115,-155,134,-110,-110,-110,-110,-160,135,-110,-110,-112,-112,-165,132,-113,-110
