League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-22 17:24:51,2026-02-22 15:40,8cfa733d2c4b4d6bc9b588892a933983,Atlanta Hawks,Brooklyn Nets,No,746.3,No,East,Southeast,East,Atlantic,-71.67,-129.33,-2.83,2.83,-189.5,77.17,-117.83,-81.5,232.17,-108,-122,-138,108,-102,-130,130,-182,-286.0,225.0,-143,105,-105,-125,-125,-105,-110,-120,-115,-115,-135,105,-115,-115,-120,-110,-335,240,-115,-115,-112,-122,-118.0,-110.0,-122,-114,,,,,,,,,,,,,,,,,,
NBA,2026-02-22 17:24:51,2026-02-22 15:42,7b90ac67ff251c150cfaec7dad0c57fb,Milwaukee Bucks,Toronto Raptors,No,432.0,No,East,Central,East,Atlantic,-116.5,-114.17,16.08,-16.08,2100.0,-13125.0,-136.17,-67.83,218.92,-120,-110,2200,-20000,-118,-112,-125,-105,,,-222,155,-105,-125,3000,-20000,-120,-110,-115,-115,2200,-10000,-125,-105,-120,-110,1000,-2500,-115,-115,-114,-120,,,-117,-120,,,,,,,,,,,,,,,,,,
NBA,2026-02-22 17:24:51,2026-02-22 15:46,782bd538baddbe08fa942761254729cf,Golden State Warriors,Denver Nuggets,No,947.0,No,West,Pacific,West,Northwest,-77.17,-121.0,4.5,-4.5,191.67,-258.0,-119.67,-77.83,259.17,110,-146,200,-265,-132,100,-118,-111,230.0,-333.0,-118,-111,-115,-115,175,-230,-120,-110,-105,-125,185,-235,-118,-110,-115,-115,190,-260,-115,-115,-120,-114,170.0,-225.0,-115,-121,,,,,,,,,,,,,,,,,,
NBA,2026-02-22 17:24:51,2026-02-22 17:10,c58609240b6495b450250cabc147e1ac,Indiana Pacers,Dallas Mavericks,No,763.9,No,East,Central,West,Southwest,-111.88,-114.38,0.75,-0.75,-5.25,-121.38,-115.38,-85.88,240.88,-110,-120,106,-136,-138,104,-118,-111,105.0,-133.0,-111,-111,-110,-120,-120,-110,-110,-120,-115,-110,100,-130,-115,-110,-120,-110,-115,-115,-115,-115,-113,-121,-117.0,-112.0,-117,-118,-101.0,-111.0,102.0,-118.0,-107.0,-107.0,-108.0,-112.0,-103.0,-117.0,-110.0,-110.0,,,,,,
NBA,2026-02-22 17:24:51,2026-02-22 18:10,a347a356427b6eb7be0785a1fe56c0ef,Washington Wizards,Charlotte Hornets,Yes,329.6,No,East,Southeast,East,Southeast,-110.22,-109.22,11.06,-11.06,414.11,-563.33,-109.89,-109.78,226.06,-110,-110,385,-500,-110,-110,-110,-110,414.0,-588.0,-110,-110,-110,-110,425,-575,-112,-108,-118,-102,425,-600,-110,-110,-105,-115,390,-550,-110,-110,-109,-114,410.0,-590.0,-110,-113,-108.0,-104.0,423.0,-542.0,-107.0,-107.0,-112.0,-108.0,415.0,-550.0,-110.0,-110.0,-110.0,-110.0,440.0,-575.0,-110.0,-110.0
NBA,2026-02-22 17:24:51,2026-02-22 18:40,17acdc05db1e8ba29fd2f420dcdf9bcc,Los Angeles Lakers,Boston Celtics,No,2597.9,No,West,Pacific,East,Atlantic,-112.89,-84.33,1.11,-1.11,-106.0,-113.67,-109.0,-110.56,230.17,-112,-108,-104,-112,-106,-114,-110,-110,-108.0,-114.0,-110,-110,-120,100,-108,-112,-105,-115,-118,-102,-105,-115,-110,-110,-110,-110,-105,-115,-110,-110,-110,-113,-105.0,-118.0,-113,-109,-111.0,-101.0,-106.0,-110.0,-107.0,-107.0,-115.0,-105.0,-108.0,-112.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2026-02-22 17:24:51,2026-02-22 19:10,439a6986fb7fa87228b403c29d22f4b6,Minnesota Timberwolves,Philadelphia 76ers,No,987.1,Yes,West,Northwest,East,Atlantic,-109.22,-110.22,-9.17,9.17,-366.11,286.89,-109.56,-110.11,239.33,-110,-110,-360,290,-106,-114,-110,-110,-385.0,287.0,-110,-110,-102,-118,-360,285,-110,-110,-105,-115,-375,290,-110,-110,-115,-105,-370,285,-110,-110,-115,-108,-400.0,300.0,-113,-110,-106.0,-106.0,-345.0,285.0,-107.0,-107.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2026-02-22 17:24:51,2026-02-22 20:10,ded265e6250d4401a3786f34c967bc8b,Chicago Bulls,New York Knicks,No,715.3,Yes,East,Central,East,Atlantic,-112.0,-107.44,10.22,-10.22,347.67,-457.67,-109.11,-110.44,233.22,-112,-108,340,-430,-106,-114,-110,-110,338.0,-455.0,-110,-110,-118,-102,350,-455,-110,-110,-118,-102,350,-475,-110,-110,-110,-110,350,-480,-110,-110,-114,-109,340.0,-480.0,-109,-113,-106.0,-106.0,356.0,-444.0,-107.0,-107.0,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,-110.0,-110.0,355.0,-450.0,-110.0,-110.0
NBA,2026-02-22 17:24:51,2026-02-22 20:10,14255f77d428aeeedddf9c964b461b3d,Phoenix Suns,Portland Trail Blazers,No,1006.0,Yes,West,Pacific,West,Northwest,-107.33,-112.11,3.39,-3.39,133.56,-158.89,-110.44,-110.11,222.33,-106,-114,138,-164,-108,-112,-110,-110,130.0,-161.0,-110,-110,-110,-110,130,-155,-110,-110,-105,-115,140,-170,-110,-118,-110,-110,135,-160,-115,-105,-109,-114,135.0,-167.0,-114,-109,-101.0,-111.0,133.0,-151.0,-107.0,-107.0,-105.0,-115.0,132.0,-152.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0
NBA,2026-02-22 17:24:51,2026-02-22 21:10,e553a415ff6fd8af818c5f4bc50fe23d,Los Angeles Clippers,Orlando Magic,No,2206.9,Yes,West,Pacific,East,Southeast,-108.0,-111.44,-1.94,1.94,-126.22,105.11,-108.89,-110.78,215.06,-106,-114,-126,108,-106,-114,-110,-110,-128.0,104.0,-110,-110,-112,-108,-125,105,-112,-108,-110,-110,-130,105,-105,-115,-105,-115,-120,100,-110,-110,-113,-110,-134.0,107.0,-110,-113,-101.0,-111.0,-123.0,107.0,-107.0,-107.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
