League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-02-23 17:41:03,2026-02-23 19:10,a9dd69be152e9e5ad8597c9b96f16a53,Detroit Pistons,San Antonio Spurs,No,1236.1,Yes,East,Central,West,Southwest,-108.44,-111.11,-1.5,1.5,-122.11,102.22,-109.67,-110.11,232.5,-106,-114,-120,102,-108,-112,-110,-110,-122,102,-110,-110,-112.0,-112.0,-122.0,100.0,-112.0,-112.0,-103.0,-109.0,-121.0,105.0,-107.0,-107.0,-110.0,-110.0,-123.0,103.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-105.0,-115.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-126.0,103.0,-110.0,-110.0
NBA,2026-02-23 17:41:03,2026-02-23 20:10,f21cba43c1660e818758a990b2912830,Memphis Grizzlies,Sacramento Kings,No,1750.1,Yes,West,Southwest,West,Pacific,-107.78,-111.67,-3.11,3.11,-146.78,124.0,-109.22,-110.44,232.61,-110,-110,-148,126,-108,-112,-102,-118,-148,124,-112,-108,-115.0,-108.0,-152.0,123.0,-110.0,-113.0,-106.0,-106.0,-144.0,127.0,-105.0,-109.0,-110.0,-110.0,-145.0,125.0,-108.0,-112.0,-102.0,-118.0,-150.0,125.0,-110.0,-110.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-149.0,121.0,-110.0,-110.0
NBA,2026-02-23 17:41:03,2026-02-23 21:40,b283b125c7b26126854be1e5ad045f3f,Houston Rockets,Utah Jazz,No,1201.1,Yes,West,Southwest,West,Northwest,-111.0,-108.33,-12.94,12.94,-786.22,540.11,-111.11,-108.78,228.78,-110,-110,-820,570,-110,-110,-118,-102,-800,550,-105,-115,-109.0,-113.0,-770.0,500.0,-112.0,-112.0,-105.0,-107.0,-760.0,561.0,-113.0,-102.0,-109.0,-111.0,-775.0,546.0,-115.0,-105.0,-118.0,-102.0,-800.0,550.0,-115.0,-105.0,-110.0,-110.0,-800.0,525.0,-110.0,-110.0,-110.0,-110.0,-775.0,545.0,-110.0,-110.0,-110.0,-110.0,-776.0,514.0,-110.0,-110.0
NBA,2026-02-23 17:41:03,2026-02-24 19:10,56d8ed44cdc3ee05a77edd2ecb4a516b,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-109.33,-111.67,8.83,-8.83,293.33,-376.67,-110.0,-111.0,235.17,-106,-114,295,-370,-106,-114,-108,-112,295,-375,-110,-110,-114.0,-109.0,290.0,-385.0,-114.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 19:40,9b47a98c27ee6ad7706c0e3a34887d12,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-111.0,-109.67,-13.0,13.0,-721.67,501.67,-110.0,-111.0,237.5,-105,-115,-700,500,-110,-110,-115,-105,-750,525,-110,-110,-113.0,-109.0,-715.0,480.0,-110.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 19:40,ba1cbfef82b196c39c27c0a78d2f22f4,Brooklyn Nets,Dallas Mavericks,No,1374.0,Yes,East,Atlantic,West,Southwest,-108.0,-112.0,1.5,-1.5,104.0,-123.0,-105.0,-115.0,225.0,-106,-114,106,-124,-105,-115,-110,-110,102,-122,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 19:40,9309db11d70c5cca506e8df2ce5e1fb3,Toronto Raptors,Oklahoma City Thunder,No,1117.4,Yes,East,Atlantic,West,Northwest,-112.67,-108.33,1.33,-1.33,-103.33,-117.67,-111.0,-110.0,218.17,-110,-110,-102,-116,-110,-110,-115,-105,-105,-115,-110,-110,-113.0,-110.0,-103.0,-122.0,-113.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 20:10,afa313a4ac57c385b346c4d1b4912e3c,Chicago Bulls,Charlotte Hornets,No,589.3,Yes,East,Central,East,Southeast,-111.0,-109.0,7.5,-7.5,227.5,-280.0,-110.0,-110.0,231.0,-112,-108,225,-275,-110,-110,-110,-110,230,-285,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 20:10,a4f9fe2c493fda08ff19d7c349948824,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-111.33,-109.67,-3.67,3.67,-167.67,138.33,-110.67,-110.0,229.0,-110,-110,-174,146,-110,-110,-110,-110,-162,136,-110,-110,-114.0,-109.0,-167.0,133.0,-112.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-23 17:41:03,2026-02-24 20:10,eeaef64ecae77969994ee0b8b56da256,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,West,Southwest,West,Pacific,-110.33,-110.67,2.33,-2.33,112.0,-135.0,-109.0,-112.33,226.0,-108,-112,114,-134,-105,-115,-110,-110,114,-135,-110,-110,-113.0,-110.0,108.0,-136.0,-112.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
