League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-24 05:44:15,2026-02-24 19:10,56d8ed44cdc3ee05a77edd2ecb4a516b,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-114.67,6.33,9.33,-9.33,315.44,-409.67,-109.56,-110.11,233.67,-106,-114,315,-400,-106,-114,-120,100,310,-395,-110,-110,-115,-108,310,-435,-113,-110,-116,104,321,-395,-107,-107,-120,100,316,-400,-110,-110,-120,100,325,-425,-110,-110,-110,-110,307,-417,-110,-110,-120,100,320.0,-400.0,-110,-110,-105,-115,315,-420,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 19:40,9b47a98c27ee6ad7706c0e3a34887d12,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-109.33,-110.11,-13.22,13.22,-787.67,539.22,-109.33,-110.33,236.39,-105,-115,-650,480,-114,-106,-105,-115,-800,550,-105,-115,-113,-110,-770,510,-113,-110,-111,-101,-786,576,-107,-107,-115,-105,-800,561,-110,-110,-105,-115,-800,550,-105,-115,-110,-110,-833,526,-110,-110,-110,-110,-800.0,550.0,-110,-110,-110,-110,-850,550,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 19:40,ba1cbfef82b196c39c27c0a78d2f22f4,Brooklyn Nets,Dallas Mavericks,No,1374.0,Yes,East,Atlantic,West,Southwest,-110.11,-109.33,1.61,-1.61,104.56,-125.33,-109.22,-110.44,224.17,-106,-114,108,-126,-110,-110,-110,-110,102,-122,-108,-112,-114,-109,102,-127,-113,-110,-106,-106,107,-123,-107,-107,-110,-110,105,-125,-110,-110,-110,-110,105,-130,-105,-115,-110,-110,102,-125,-110,-110,-110,-110,105.0,-125.0,-110,-110,-115,-105,105,-125,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 19:40,a4f9fe2c493fda08ff19d7c349948824,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-109.11,-110.33,-4.11,4.11,-171.0,144.44,-111.78,-85.89,232.0,-110,-110,-174,146,-112,-108,-102,-118,-170,142,-110,-110,-114,-109,-177,143,-112,-112,-106,-106,-167,148,-115,100,-110,-110,-167,147,-117,-103,-105,-115,-170,140,-110,-110,-110,-110,-169,138,-110,-110,-115,-105,-170.0,146.0,-110,-110,-110,-110,-175,150,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 19:40,9309db11d70c5cca506e8df2ce5e1fb3,Toronto Raptors,Oklahoma City Thunder,No,1117.4,Yes,East,Atlantic,West,Northwest,-109.33,-110.22,-0.56,0.56,-112.62,-107.25,-109.11,-110.56,218.22,-106,-114,-116,-102,-110,-110,-105,-115,-112,-108,-105,-115,-117,-107,-112,-112,-110,-113,-106,-106,-113,-103,-107,-107,-110,-110,-115,-105,-110,-110,-110,-110,-102,-118,-110,-110,-110,-110,-116,-105,-110,-110,-110,-110,,,-110,-110,-110,-110,-115,-105,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 20:10,afa313a4ac57c385b346c4d1b4912e3c,Chicago Bulls,Charlotte Hornets,No,589.3,Yes,East,Central,East,Southeast,-110.11,-109.44,8.61,-8.61,266.44,-334.89,-110.22,-109.44,229.67,-108,-112,270,-335,-110,-110,-110,-110,270,-340,-115,-105,-112,-112,265,-345,-110,-113,-106,-106,263,-317,-107,-107,-110,-110,260,-320,-110,-110,-110,-110,260,-325,-110,-110,-110,-110,270,-357,-110,-110,-110,-110,265.0,-325.0,-110,-110,-115,-105,275,-350,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 20:10,eeaef64ecae77969994ee0b8b56da256,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,West,Southwest,West,Pacific,-112.0,-107.44,1.56,-1.56,81.56,-123.78,-110.44,-109.22,224.28,-108,-112,106,-124,-112,-108,-110,-110,105,-125,-112,-108,-114,-109,102,-125,-113,-110,-111,-101,107,-123,-107,-107,-115,-105,105,-125,-110,-110,-115,-105,105,-125,-110,-110,-110,-110,-101,-122,-110,-110,-115,-105,105.0,-125.0,-110,-110,-110,-110,100,-120,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 20:10,d8b8e015e358036b0f8e3758c263ae24,Milwaukee Bucks,Miami Heat,No,1267.8,Yes,East,Central,East,Southeast,-108.44,-111.0,5.44,-5.44,182.56,-220.67,-111.67,-108.22,228.28,-110,-110,184,-220,-110,-110,-110,-110,185,-225,-110,-110,-115,-108,180,-230,-112,-112,-101,-111,185,-214,-113,-102,-105,-115,183,-215,-115,-105,-110,-110,180,-220,-110,-110,-110,-110,178,-222,-110,-110,-110,-110,183.0,-215.0,-115,-105,-105,-115,185,-225,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 21:10,0bd210b80d8411885dccc7164a922234,Phoenix Suns,Boston Celtics,No,2299.7,Yes,West,Pacific,East,Atlantic,-113.56,-39.22,6.78,-6.78,206.89,-252.89,-109.11,-110.56,209.33,-108,-112,210,-255,-106,-114,-110,-110,205,-250,-110,-110,-113,-110,215,-278,-109,-114,-116,104,210,-248,-107,-107,-120,100,207,-250,-110,-110,-110,-110,200,-250,-110,-110,-110,-110,200,-250,-110,-110,-120,100,210.0,-250.0,-110,-110,-115,-105,205,-245,-110,-110
NBA,2026-02-24 05:44:15,2026-02-24 22:10,f1b2d64d6f68c92256c27ebe3868b62a,Portland Trail Blazers,Minnesota Timberwolves,Yes,1426.0,Yes,West,Northwest,West,Northwest,-40.0,-112.89,5.78,-5.78,189.56,-229.78,-108.44,-111.22,233.5,-112,-108,184,-220,-110,-110,-115,-105,195,-238,-112,-108,-112,-112,188,-240,-112,-110,104,-116,191,-223,-102,-113,100,-120,189,-225,-105,-115,-105,-115,190,-235,-110,-110,-110,-110,174,-217,-110,-110,100,-120,190.0,-225.0,-105,-115,-110,-110,205,-245,-110,-110
