League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-26 05:41:33,2026-02-26 19:10,c1ff99354847ec708fa5aa95791dd292,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,East,Central,East,Southeast,-109.56,-110.0,12.61,-12.61,538.25,-788.62,-108.33,-111.22,229.22,-108,-112,490,-670,-108,-112,-105,-115,550,-800,-105,-115,-110,-110,529,-833,-110,-110,-112,-112,500,-770,-110,-112,-106,-106,576,-786,-107,-107,-110,-110,561,-800,-110,-110,-110,-110,550,-800,-105,-115,-110.0,-110.0,,,-110.0,-110.0,-115.0,-105.0,550.0,-850.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 19:10,68aa69753fe0692c00bca7343fd61b8b,Philadelphia 76ers,Miami Heat,No,1015.4,Yes,East,Atlantic,East,Southeast,-111.11,-108.22,-2.0,2.0,-134.5,112.88,-109.67,-110.0,240.5,-114,-106,-134,114,-110,-110,-102,-118,-135,114,-110,-110,-110,-110,-132,108,-110,-110,-115,-107,-143,116,-110,-113,-106,-106,-130,114,-107,-107,-110,-110,-132,112,-110,-110,-118,-102,-135,110,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-115.0,-105.0,-135.0,115.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 19:40,e7ec27a7927c90d32cc2fb2ebdd76585,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-110.0,-109.44,-11.5,11.5,-617.25,445.25,-109.89,-109.67,234.0,-112,-108,-600,450,-115,-105,-108,-112,-625,455,-105,-115,-110,-110,-588,408,-110,-110,-114,-109,-625,430,-112,-110,-106,-106,-620,475,-107,-107,-110,-110,-630,464,-110,-110,-110,-110,-625,450,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-625.0,430.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 19:40,985b660bc6ae0521de793dacdc666b6f,Brooklyn Nets,San Antonio Spurs,No,1581.1,Yes,East,Atlantic,West,Southwest,-111.11,-108.33,12.94,-12.94,512.5,-739.62,-109.11,-110.67,224.78,-112,-108,520,-720,-108,-112,-108,-112,525,-750,-110,-110,-110,-110,510,-769,-110,-110,-109,-114,480,-770,-112,-112,-111,-101,539,-723,-107,-107,-115,-105,526,-735,-110,-110,-105,-115,525,-750,-105,-115,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,475.0,-700.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 19:40,57e97a356eae8b74d10b09eb58962542,Orlando Magic,Houston Rockets,No,848.7,Yes,East,Southeast,West,Southwest,-107.44,-112.0,2.39,-2.39,119.38,-141.5,-108.78,-111.0,216.06,-106,-114,116,-136,-110,-110,-105,-115,110,-130,-105,-115,-110,-110,114,-139,-110,-110,-110,-113,115,-143,-112,-112,-101,-111,127,-144,-107,-107,-105,-115,125,-145,-110,-110,-110,-110,118,-145,-105,-115,-105.0,-115.0,,,-110.0,-110.0,-115.0,-105.0,130.0,-150.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 20:10,3c630cc42d5e0712a9317980a2a35a21,Chicago Bulls,Portland Trail Blazers,No,1756.4,Yes,East,Central,West,Northwest,-110.44,-109.0,4.11,-4.11,151.38,-180.88,-109.89,-109.78,235.61,-110,-110,160,-190,-110,-110,-118,-102,150,-180,-112,-108,-110,-110,141,-175,-110,-110,-110,-113,140,-177,-110,-113,-106,-106,158,-180,-107,-107,-110,-110,157,-180,-110,-110,-115,-105,150,-185,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 20:40,ab0ac3191351854638bfb2c653e7408b,Dallas Mavericks,Sacramento Kings,No,1439.9,Yes,West,Southwest,West,Pacific,-109.75,-109.62,-6.81,6.81,-273.88,220.62,-109.62,-110.0,234.0,-114,-106,-270,220,-112,-108,-115,-105,-270,220,-110,-110,-110,-110,-278,217,-110,-110,-113,-110,-295,225,-113,-110,-101,-111,-258,218,-107,-107,-105,-115,-260,215,-110,-110,-115,-105,-285,225,-105,-115,,,,,,,-105.0,-115.0,-275.0,225.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 21:10,e1602b5cfe2adbc7eeb741f4aa40e1dd,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,West,Pacific,West,Pacific,-108.78,-110.67,4.5,-4.5,165.12,-197.62,-109.44,-110.22,217.56,-108,-112,166,-198,-108,-112,-105,-115,160,-192,-110,-110,-110,-110,159,-196,-110,-110,-110,-113,155,-195,-110,-113,-106,-106,171,-195,-107,-107,-110,-110,170,-195,-110,-110,-110,-110,170,-210,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 21:10,e981f4f0dfb4d08b3260300b922334fe,Utah Jazz,New Orleans Pelicans,No,1434.3,Yes,West,Northwest,West,Southwest,-108.11,-111.44,4.5,-4.5,152.12,-182.0,-110.44,-109.22,240.39,-108,-112,156,-186,-114,-106,-108,-112,154,-185,-110,-110,-110,-110,152,-189,-110,-110,-112,-112,148,-186,-113,-110,-103,-109,154,-175,-107,-107,-107,-113,153,-175,-110,-110,-110,-110,150,-185,-110,-110,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,150.0,-175.0,-110,-110
NBA,2026-02-26 05:41:33,2026-02-26 22:10,2678ac16f4dad43d27dd570fb7a64577,Los Angeles Clippers,Minnesota Timberwolves,No,1532.5,Yes,West,Pacific,West,Northwest,-110.0,-109.38,5.5,-5.5,170.57,-206.0,-110.44,-109.22,226.89,-112,-108,168,-200,-112,-108,-108,-112,170,-205,-112,-108,-110,-110,175,-217,-110,-110,-114,-109,170,-220,-113,-110,-106,-106,171,-195,-107,-107,-110,-110,170,-195,-110,-110,-110,-110,170,-210,-110,-110,-110.0,-110.0,,,-110.0,-110.0,,,,,-110,-110
