League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-01 17:24:20,2026-03-01 15:40,ab2357087428a9fee8c8a747eed1fced,Brooklyn Nets,Cleveland Cavaliers,No,406.4,No,East,Atlantic,East,Central,-75.67,-122.0,6.92,-6.92,369.17,-577.17,-38.67,-128.33,210.08,-114,-114,320,-460,102,-136,115,-154,500,-833,125,-167,-115,-115,325,-475,-120,-110,-120,-114,295,-420,-114,-122,-110,-115,275,-375,-115,-115,-110,-120,500,-900,-110,-120,,,,,,,,,,,,,,,,,,
NBA,2026-03-01 17:24:20,2026-03-01 15:40,cc2edd23c90efdc9ac05b2dda6db0710,Chicago Bulls,Milwaukee Bucks,Yes,81.3,No,East,Central,East,Central,-84.17,-113.33,-0.58,0.58,-67.0,16.33,-115.0,-116.17,231.5,-130,-102,-210,162,-125,-106,-118,-111,250,-333,-105,-125,100,-130,-200,154,-110,-120,-112,-122,-182,140,-115,-121,-125,-105,-190,145,-125,-105,-120,-110,130,-170,-110,-120,,,,,,,,,,,,,,,,,,
NBA,2026-03-01 17:24:20,2026-03-01 15:45,25a45928a3d4b8a0d492283f6f434421,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,No,West,Northwest,West,Northwest,-117.5,-113.0,6.25,-6.25,229.17,-321.67,-115.33,-115.33,234.08,-130,-102,230,-310,-114,-114,-118,-111,140,-182,-118,-111,-115,-115,220,-298,-110,-120,-117,-117,325,-500,-120,-117,-110,-118,280,-400,-115,-115,-115,-115,180,-240,-115,-115,,,,,,,,,,,,,,,,,,
NBA,2026-03-01 17:24:20,2026-03-01 17:11,1ac567e2d0cf71fd4c1de0ff58cb9a0a,Indiana Pacers,Memphis Grizzlies,No,384.1,No,East,Central,West,Southwest,-115.38,-86.75,-0.12,0.12,-90.0,-61.12,-114.5,-112.75,241.81,-138,104,-136,106,-122,-108,-111,-118,115,-143,-111,-118,-115,-115,-130,100,-115,-115,-114,-120,-127,-103,-117,-120,-110,-118,-115,-110,-118,-110,-115,-115,-115,-115,-110,-120,-112.0,-108.0,-107.0,-113.0,-113.0,-107.0,-108.0,-104.0,-105.0,-111.0,-110.0,-104.0,,,,,,
NBA,2026-03-01 17:24:20,2026-03-01 18:10,36b7acd903108abf04b18bf6449f45b3,Atlanta Hawks,Portland Trail Blazers,No,2171.8,No,East,Southeast,West,Northwest,-109.67,-109.78,-6.5,6.5,-234.78,192.22,-110.67,-109.11,235.67,-112,-108,-230,190,-110,-110,-110,-110,-244,192,-110,-110,-110,-110,-230,190,-112,-108,-115,-108,-265,205,-112,-112,-110,-110,-235,190,-115,-105,-110,-110,-230,190,-110,-110,-107.0,-113.0,-230.0,192.0,-110.0,-110.0,-103.0,-109.0,-228.0,195.0,-107.0,-107.0,-110.0,-110.0,-221.0,186.0,-110.0,-110.0
NBA,2026-03-01 17:24:20,2026-03-01 18:10,4d40482f62b199752b8b264572ff8460,Orlando Magic,Detroit Pistons,No,956.1,No,East,Southeast,East,Central,-110.56,-108.89,5.06,-5.06,173.0,-207.56,-108.56,-111.11,224.28,-106,-114,176,-210,-106,-114,-110,-110,162,-200,-110,-110,-105,-115,180,-218,-108,-112,-108,-115,165,-210,-110,-113,-115,-105,170,-210,-110,-110,-110,-110,175,-210,-110,-110,-115.0,-105.0,174.0,-200.0,-108.0,-112.0,-111.0,-101.0,175.0,-200.0,-105.0,-109.0,-115.0,-105.0,180.0,-210.0,-110.0,-110.0
NBA,2026-03-01 17:24:20,2026-03-01 20:10,7129ee2856df2237632c277ccbc657f7,Boston Celtics,Philadelphia 76ers,Yes,273.6,Yes,East,Atlantic,East,Atlantic,-109.11,-110.22,-9.44,9.44,-366.22,287.89,-109.44,-110.22,220.17,-110,-110,-355,285,-108,-112,-110,-110,-385,289,-110,-110,-108,-112,-360,285,-105,-115,-114,-108,-400,300,-110,-113,-110,-110,-350,280,-115,-105,-110,-110,-380,290,-110,-110,-107.0,-113.0,-360.0,289.0,-110.0,-110.0,-103.0,-109.0,-356.0,293.0,-107.0,-107.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2026-03-01 17:24:20,2026-03-01 20:10,3d268484ec4724f35d87620826643242,Dallas Mavericks,Oklahoma City Thunder,No,188.6,Yes,West,Southwest,West,Northwest,-110.44,-109.0,16.28,-16.28,709.44,-1167.44,-110.22,-109.44,235.28,-112,-108,810,-1350,-112,-108,-110,-110,683,-1250,-110,-110,-115,-105,700,-1100,-110,-110,-110,-113,750,-1430,-113,-110,-115,-105,725,-1200,-110,-110,-110,-110,625,-1000,-110,-110,-108.0,-112.0,709.0,-1100.0,-110.0,-110.0,-104.0,-108.0,733.0,-1077.0,-107.0,-107.0,-110.0,-110.0,650.0,-1000.0,-110.0,-110.0
NBA,2026-03-01 17:24:20,2026-03-01 21:10,7ef96743c87da2d41e5269fb5d3ac078,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,West,Pacific,West,Southwest,-109.67,-109.78,-7.5,7.5,-295.33,239.11,-110.11,-109.56,224.17,-112,-108,-300,245,-110,-110,-110,-110,-303,238,-110,-110,-110,-110,-298,240,-115,-105,-109,-114,-305,230,-114,-109,-110,-110,-300,240,-105,-115,-110,-110,-300,250,-110,-110,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-106.0,-106.0,-282.0,237.0,-107.0,-107.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0
NBA,2026-03-01 17:24:20,2026-03-01 21:40,517d3f658ed7692ebe7eaea81aa3c1ef,Los Angeles Lakers,Sacramento Kings,Yes,361.1,Yes,West,Pacific,West,Pacific,-109.44,-110.0,-12.17,12.17,-645.0,463.78,-111.22,-108.56,234.44,-110,-110,-650,480,-110,-110,-110,-110,-625,432,-110,-110,-105,-115,-625,455,-110,-110,-109,-114,-715,475,-113,-110,-105,-115,-650,475,-110,-110,-110,-110,-675,460,-110,-110,-115.0,-105.0,-625.0,461.0,-115.0,-105.0,-111.0,-101.0,-615.0,471.0,-113.0,-102.0,-110.0,-110.0,-625.0,465.0,-110.0,-110.0
