League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-03 05:35:06,2026-03-03 19:10,2213458a287cb0b1ffa4d46d3ed430b3,Charlotte Hornets,Dallas Mavericks,No,930.9,Yes,East,Southeast,West,Southwest,-112.25,-82.12,-12.31,12.31,-649.62,466.62,-111.88,-82.88,230.81,-112,-108,-600,450,-110,-110,-110,-110,-650,470,-105,-115,-114,102,-640,487,-115,100,-118,-102,-650,476,-117,-103,-110,-110,-625,450,-110,-110,-114,-109,-715,475,-113,-110,-110,-110,-650,475,-115,-105,-110,-110,-667,450,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 19:10,b6df29b0fdf2fd3b00b97b1e81870cca,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,Yes,East,Central,East,Central,-108.5,-111.0,1.69,-1.69,108.75,-129.75,-110.38,-109.25,226.62,-110,-110,108,-126,-106,-114,-105,-115,110,-130,-112,-108,-106,-106,112,-128,-107,-107,-110,-110,110,-130,-110,-110,-105,-115,110,-135,-115,-105,-112,-112,105,-130,-113,-110,-110,-110,110,-130,-110,-110,-110,-110,105,-129,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 19:10,7a292e434c91c398eb8db7bf1008b671,Orlando Magic,Washington Wizards,Yes,756.6,Yes,East,Southeast,East,Southeast,-109.75,-109.75,-15.5,15.5,-1199.88,738.62,-110.0,-109.62,227.44,-110,-110,-1100,700,-110,-110,-110,-110,-1200,750,-110,-110,-106,-106,-1174,781,-107,-107,-110,-110,-1200,754,-110,-110,-110,-110,-1200,750,-110,-110,-112,-112,-1250,700,-113,-110,-110,-110,-1200,750,-110,-110,-110,-110,-1275,724,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 19:40,637bb875ffdc47533ca3ed42d7bbcaa7,Miami Heat,Brooklyn Nets,No,1087.4,Yes,East,Southeast,East,Atlantic,-109.25,-110.12,-13.06,13.06,-757.62,524.5,-110.5,-109.0,226.56,-108,-112,-800,560,-108,-112,-102,-118,-700,500,-115,-105,-106,-106,-727,541,-107,-107,-110,-110,-740,528,-110,-110,-115,-105,-750,525,-115,-105,-113,-110,-835,525,-109,-113,-110,-110,-740,520,-110,-110,-110,-110,-769,497,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 19:40,6e039621e88bb0b022d5b0d3eafd9596,Toronto Raptors,New York Knicks,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-107.25,-112.12,2.5,-2.5,121.75,-144.88,-110.12,-109.5,224.0,-110,-110,124,-146,-108,-112,-108,-112,124,-148,-108,-112,-101,-111,127,-144,-107,-107,-105,-115,125,-145,-110,-110,-110,-110,118,-145,-115,-105,-109,-114,115,-143,-113,-110,-105,-115,125,-145,-110,-110,-110,-110,116,-143,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 20:10,6178a340912ea77ebb5169a9c65f3ec7,Chicago Bulls,Oklahoma City Thunder,No,691.4,Yes,East,Central,West,Northwest,-110.62,-108.75,10.38,-10.38,339.0,-441.12,-110.5,-109.12,226.94,-110,-110,360,-460,-112,-108,-115,-105,330,-425,-110,-110,-106,-106,336,-415,-107,-107,-110,-110,330,-420,-110,-110,-115,-105,340,-450,-115,-105,-109,-114,350,-480,-110,-113,-110,-110,330,-420,-110,-110,-110,-110,336,-459,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 20:10,5b3a7e855054866a44f6443710ea000b,Minnesota Timberwolves,Memphis Grizzlies,No,700.0,Yes,West,Northwest,West,Southwest,-109.38,-110.0,-13.88,13.88,-881.5,585.75,-109.38,-110.12,238.0,-110,-110,-800,560,-110,-110,-115,-105,-850,575,-115,-105,-101,-111,-883,631,-105,-109,-105,-115,-900,613,-108,-112,-115,-105,-900,600,-105,-115,-114,-109,-910,550,-112,-110,-105,-115,-900,600,-110,-110,-110,-110,-909,557,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 20:10,fe9fbae6e69b1684995b2fa8f45fb691,Philadelphia 76ers,San Antonio Spurs,No,1502.4,Yes,East,Atlantic,West,Southwest,-106.62,-112.75,7.69,-7.69,255.88,-320.62,-110.0,-109.62,232.38,-110,-110,235,-290,-110,-110,-102,-118,250,-310,-110,-110,-101,-111,267,-322,-109,-105,-105,-115,263,-325,-112,-108,-102,-118,260,-325,-110,-110,-113,-110,250,-335,-109,-114,-110,-110,265,-325,-110,-110,-110,-110,257,-333,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 22:40,63d7f24774bdc95465206323a257aa73,Los Angeles Lakers,New Orleans Pelicans,No,1673.5,Yes,West,Pacific,West,Southwest,-108.12,-111.25,-8.56,8.56,-342.62,272.12,-111.5,-108.25,239.38,-108,-112,-330,265,-110,-110,-108,-112,-345,275,-110,-110,-106,-106,-331,274,-113,-102,-110,-110,-335,270,-115,-105,-105,-115,-350,280,-110,-110,-108,-115,-345,260,-109,-114,-110,-110,-335,272,-115,-105,-110,-110,-370,281,-110,-110
NBA,2026-03-03 05:35:06,2026-03-03 23:10,1da265a6a1035935a4d2f806af7c3a74,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,West,Pacific,West,Pacific,-109.75,-109.75,10.5,-10.5,362.75,-476.12,-111.0,-108.62,224.94,-110,-110,370,-480,-114,-106,-110,-110,360,-470,-108,-112,-106,-106,370,-464,-107,-107,-110,-110,364,-470,-110,-110,-110,-110,350,-475,-115,-105,-112,-112,350,-480,-114,-109,-110,-110,370,-470,-110,-110,-110,-110,368,-500,-110,-110
