League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-03 17:28:57,2026-03-03 19:10,2213458a287cb0b1ffa4d46d3ed430b3,Charlotte Hornets,Dallas Mavericks,No,930.9,Yes,East,Southeast,West,Southwest,-109.78,-109.78,-13.28,13.28,-703.22,494.89,-109.0,-110.78,227.78,-114,-106,-750,530,-114,-106,-110.0,-110.0,-675.0,490.0,-110.0,-110.0,-104.0,-108.0,-650.0,493.0,-102.0,-113.0,-108.0,-112.0,-660.0,482.0,-105.0,-115.0,-110.0,-110.0,-700.0,500.0,-105.0,-115.0,-112.0,-112.0,-770.0,500.0,-110.0,-113.0,-110.0,-110.0,-660.0,480.0,-110.0,-110.0,-110.0,-110.0,-750.0,500.0,-115.0,-105.0,-110.0,-110.0,-714.0,479.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 19:10,b6df29b0fdf2fd3b00b97b1e81870cca,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,Yes,East,Central,East,Central,-107.56,-112.0,2.56,-2.56,123.78,-146.44,-111.11,-108.67,228.0,-110,-110,128,-152,-108,-112,-105.0,-115.0,124.0,-148.0,-118.0,-102.0,-101.0,-111.0,130.0,-147.0,-107.0,-107.0,-105.0,-115.0,128.0,-148.0,-110.0,-110.0,-105.0,-115.0,125.0,-150.0,-110.0,-110.0,-112.0,-112.0,112.0,-139.0,-112.0,-112.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-115.0,-105.0,-110.0,-110.0,117.0,-144.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 19:10,7a292e434c91c398eb8db7bf1008b671,Orlando Magic,Washington Wizards,Yes,756.6,Yes,East,Southeast,East,Southeast,-110.67,-108.89,-16.28,16.28,-1392.56,790.56,-109.67,-110.0,227.44,-110,-110,-1500,870,-110,-110,-108.0,-112.0,-1350.0,800.0,-110.0,-110.0,-111.0,-101.0,-1270.0,826.0,-107.0,-107.0,-115.0,-105.0,-1300.0,795.0,-110.0,-110.0,-110.0,-110.0,-1400.0,800.0,-110.0,-110.0,-112.0,-112.0,-1430.0,700.0,-110.0,-113.0,-110.0,-110.0,-1300.0,780.0,-110.0,-110.0,-110.0,-110.0,-1300.0,725.0,-110.0,-110.0,-110.0,-110.0,-1683.0,819.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 19:40,637bb875ffdc47533ca3ed42d7bbcaa7,Miami Heat,Brooklyn Nets,No,1087.4,Yes,East,Southeast,East,Atlantic,-110.0,-109.44,-12.61,12.61,-688.67,489.44,-111.33,-108.22,225.61,-108,-112,-650,480,-112,-108,-112.0,-108.0,-675.0,490.0,-115.0,-105.0,-108.0,-104.0,-679.0,511.0,-105.0,-109.0,-112.0,-108.0,-690.0,500.0,-108.0,-112.0,-110.0,-110.0,-700.0,500.0,-115.0,-105.0,-110.0,-113.0,-715.0,475.0,-112.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,-675.0,460.0,-115.0,-105.0,-110.0,-110.0,-714.0,489.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 19:40,6e039621e88bb0b022d5b0d3eafd9596,Toronto Raptors,New York Knicks,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-106.56,-112.89,2.61,-2.61,121.22,-143.44,-109.67,-110.11,221.61,-114,-106,120,-142,-110,-110,-105.0,-115.0,120.0,-142.0,-110.0,-110.0,-101.0,-111.0,126.0,-143.0,-107.0,-107.0,-105.0,-115.0,124.0,-144.0,-108.0,-112.0,-105.0,-115.0,120.0,-145.0,-110.0,-110.0,-109.0,-114.0,116.0,-143.0,-112.0,-112.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,120.0,-147.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 20:10,6178a340912ea77ebb5169a9c65f3ec7,Chicago Bulls,Oklahoma City Thunder,No,691.4,Yes,East,Central,West,Northwest,-109.0,-110.44,9.83,-9.83,310.67,-400.78,-109.89,-109.89,230.94,-110,-110,330,-420,-112,-108,-105.0,-115.0,320.0,-410.0,-110.0,-110.0,-111.0,-101.0,311.0,-380.0,-106.0,-108.0,-115.0,-105.0,306.0,-385.0,-109.0,-111.0,-105.0,-115.0,310.0,-400.0,-110.0,-110.0,-110.0,-113.0,310.0,-420.0,-112.0,-112.0,-110.0,-110.0,308.0,-385.0,-110.0,-110.0,-105.0,-115.0,295.0,-390.0,-110.0,-110.0,-110.0,-110.0,306.0,-417.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 20:10,5b3a7e855054866a44f6443710ea000b,Minnesota Timberwolves,Memphis Grizzlies,No,700.0,Yes,West,Northwest,West,Southwest,-111.11,-108.33,-15.11,15.11,-925.67,603.67,-110.89,-109.0,237.06,-112,-108,-950,640,-118,-104,-108.0,-112.0,-900.0,600.0,-115.0,-105.0,-111.0,-101.0,-906.0,644.0,-107.0,-107.0,-115.0,-105.0,-925.0,624.0,-110.0,-110.0,-105.0,-115.0,-900.0,600.0,-105.0,-115.0,-114.0,-109.0,-1000.0,575.0,-113.0,-110.0,-115.0,-105.0,-850.0,580.0,-110.0,-110.0,-110.0,-110.0,-900.0,575.0,-110.0,-110.0,-110.0,-110.0,-1000.0,595.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 20:10,fe9fbae6e69b1684995b2fa8f45fb691,Philadelphia 76ers,San Antonio Spurs,No,1502.4,Yes,East,Atlantic,West,Southwest,-109.33,-110.11,8.11,-8.11,259.22,-323.33,-110.11,-109.56,231.94,-110,-110,250,-310,-108,-112,-118.0,-102.0,250.0,-310.0,-108.0,-112.0,-101.0,-111.0,271.0,-327.0,-107.0,-107.0,-105.0,-115.0,267.0,-330.0,-110.0,-110.0,-115.0,-105.0,260.0,-325.0,-115.0,-105.0,-110.0,-113.0,255.0,-335.0,-113.0,-110.0,-110.0,-110.0,270.0,-330.0,-110.0,-110.0,-105.0,-115.0,265.0,-330.0,-110.0,-110.0,-110.0,-110.0,245.0,-313.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 22:40,63d7f24774bdc95465206323a257aa73,Los Angeles Lakers,New Orleans Pelicans,No,1673.5,Yes,West,Pacific,West,Southwest,-110.44,-109.0,-8.5,8.5,-347.0,275.0,-110.56,-109.22,242.44,-112,-108,-360,290,-114,-106,-108.0,-112.0,-345.0,275.0,-112.0,-108.0,-106.0,-106.0,-336.0,278.0,-107.0,-107.0,-110.0,-110.0,-340.0,274.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-113.0,-110.0,-335.0,255.0,-112.0,-112.0,-110.0,-110.0,-340.0,275.0,-110.0,-110.0,-115.0,-105.0,-360.0,280.0,-110.0,-110.0,-110.0,-110.0,-357.0,273.0,-110.0,-110.0
NBA,2026-03-03 17:28:57,2026-03-03 23:10,1da265a6a1035935a4d2f806af7c3a74,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,West,Pacific,West,Pacific,-110.33,-109.11,9.67,-9.67,305.56,-395.56,-109.67,-110.11,223.5,-114,-106,310,-390,-108,-112,-105.0,-115.0,310.0,-395.0,-110.0,-110.0,-111.0,-101.0,311.0,-380.0,-107.0,-107.0,-115.0,-105.0,306.0,-385.0,-110.0,-110.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0,-108.0,-115.0,310.0,-435.0,-112.0,-112.0,-110.0,-110.0,308.0,-385.0,-110.0,-110.0,-110.0,-110.0,295.0,-390.0,-110.0,-110.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0
