League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-05 17:32:16,2026-03-05 19:10,9433b263c495c0f5968b95317cc639f6,Orlando Magic,Dallas Mavericks,No,963.1,Yes,East,Southeast,West,Southwest,-111.67,-107.78,-7.67,7.67,-329.44,262.22,-108.89,-110.89,230.28,-114,-106,-330,265,-110,-110,-105.0,-115.0,-355.0,280.0,-112.0,-108.0,-111.0,-101.0,-322.0,267.0,-101.0,-114.0,-115.0,-105.0,-325.0,263.0,-104.0,-116.0,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-115.0,-108.0,-315.0,245.0,-113.0,-110.0,-115.0,-105.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-323.0,245.0,-110.0,-110.0,-105.0,-115.0,-350.0,275.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 19:10,bc0cdadc5e95e588b0a1ea210243fa52,Washington Wizards,Utah Jazz,No,1847.5,Yes,East,Southeast,West,Northwest,-111.56,-107.89,-4.22,4.22,-173.56,146.0,-110.44,-109.33,240.67,-115,-105,-168,142,-108,-112,-108.0,-112.0,-175.0,145.0,-108.0,-112.0,-111.0,-101.0,-170.0,150.0,-113.0,-102.0,-115.0,-105.0,-170.0,149.0,-115.0,-105.0,-110.0,-110.0,-175.0,145.0,-110.0,-110.0,-115.0,-108.0,-177.0,140.0,-110.0,-113.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0,-110.0,-110.0,-182.0,147.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 19:40,9096d55ba6f3120da3126b404e48d023,Miami Heat,Brooklyn Nets,No,1087.4,Yes,East,Southeast,East,Atlantic,-109.67,-109.78,-12.67,12.67,-819.78,554.33,-110.33,-109.33,224.56,-108,-112,-850,590,-112,-108,-110.0,-110.0,-850.0,575.0,-110.0,-110.0,-106.0,-106.0,-770.0,567.0,-107.0,-107.0,-110.0,-110.0,-825.0,574.0,-110.0,-110.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-113.0,-110.0,-835.0,510.0,-114.0,-109.0,-110.0,-110.0,-780.0,540.0,-110.0,-110.0,-110.0,-110.0,-918.0,583.0,-110.0,-110.0,-110.0,-110.0,-750.0,500.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 19:40,f7585c5c396d85403879fd5cd3097302,Houston Rockets,Golden State Warriors,No,1643.9,Yes,West,Southwest,West,Pacific,-109.89,-109.56,-8.56,8.56,-367.78,287.56,-108.33,-111.44,213.28,-110,-110,-360,290,-106,-114,-110.0,-110.0,-360.0,285.0,-105.0,-115.0,-106.0,-106.0,-351.0,289.0,-107.0,-107.0,-110.0,-110.0,-355.0,285.0,-110.0,-110.0,-110.0,-110.0,-375.0,290.0,-105.0,-115.0,-113.0,-110.0,-400.0,290.0,-112.0,-112.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-110.0,-110.0,-374.0,286.0,-110.0,-110.0,-110.0,-110.0,-390.0,295.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 20:10,405300ced4b3e611f8d6cc145e5cc9da,San Antonio Spurs,Detroit Pistons,No,1236.1,Yes,West,Southwest,East,Central,-106.78,-112.67,-3.5,3.5,-160.22,135.33,-110.89,-108.78,228.67,-105,-115,-158,134,-112,-108,-105.0,-115.0,-155.0,130.0,-110.0,-110.0,-101.0,-111.0,-160.0,141.0,-109.0,-105.0,-105.0,-115.0,-160.0,140.0,-112.0,-108.0,-105.0,-115.0,-160.0,135.0,-115.0,-105.0,-110.0,-113.0,-162.0,130.0,-110.0,-113.0,-110.0,-110.0,-160.0,138.0,-110.0,-110.0,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-110.0,-110.0,-160.0,135.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 20:10,0aac7c0b9b7350238d921ab4c6faf26d,Minnesota Timberwolves,Toronto Raptors,No,694.2,Yes,West,Northwest,East,Atlantic,-86.78,-110.44,-4.72,4.72,-205.0,171.11,-109.44,-110.33,224.78,-115,-105,-205,172,-106,-114,-112.0,-108.0,-205.0,170.0,-115.0,-105.0,-111.0,-101.0,-200.0,175.0,-107.0,-107.0,-115.0,-105.0,-200.0,174.0,-110.0,-110.0,105.0,-125.0,-225.0,185.0,-105.0,-115.0,-108.0,-115.0,-200.0,160.0,-112.0,-112.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-200.0,159.0,-110.0,-110.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 21:10,2838ee4e0a7f60e2fb0fb134a84c3a76,Phoenix Suns,Chicago Bulls,No,1452.0,Yes,West,Pacific,East,Central,-109.56,-109.89,-10.44,10.44,-522.67,387.89,-109.33,-110.44,224.5,-114,-106,-500,385,-114,-106,-105.0,-115.0,-535.0,400.0,-105.0,-115.0,-105.0,-107.0,-503.0,398.0,-105.0,-109.0,-109.0,-111.0,-510.0,390.0,-108.0,-112.0,-110.0,-110.0,-550.0,400.0,-110.0,-110.0,-113.0,-110.0,-500.0,350.0,-112.0,-112.0,-110.0,-110.0,-500.0,390.0,-110.0,-110.0,-110.0,-110.0,-556.0,388.0,-110.0,-110.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-05 22:10,2bcbbf1e576480f97be0401eb089cd5a,Denver Nuggets,Los Angeles Lakers,No,831.9,Yes,West,Northwest,West,Pacific,-108.89,-110.56,-4.56,4.56,-185.11,155.22,-109.56,-110.22,240.67,-110,-110,-184,154,-112,-108,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-106.0,-106.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-180.0,157.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-114.0,-109.0,-190.0,150.0,-112.0,-112.0,-105.0,-115.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-185.0,149.0,-110.0,-110.0,-105.0,-115.0,-180.0,155.0,-105.0,-115.0
NBA,2026-03-05 17:32:16,2026-03-05 22:10,3a3ada953e9680525dd22a739ea65ffd,Sacramento Kings,New Orleans Pelicans,No,1883.0,Yes,West,Pacific,West,Southwest,-106.44,-112.89,5.5,-5.5,179.56,-216.44,-109.22,-110.67,234.61,-110,-110,180,-215,-112,-108,-105.0,-115.0,185.0,-225.0,-112.0,-108.0,-101.0,-111.0,182.0,-209.0,-102.0,-113.0,-105.0,-115.0,180.0,-210.0,-105.0,-115.0,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-112.0,-110.0,180.0,-230.0,-112.0,-112.0,-105.0,-115.0,180.0,-210.0,-110.0,-110.0,-110.0,-110.0,164.0,-204.0,-110.0,-110.0,-105.0,-115.0,180.0,-220.0,-110.0,-110.0
NBA,2026-03-05 17:32:16,2026-03-06 19:10,ab266816a618acf42cd468f0c03d88df,Boston Celtics,Dallas Mavericks,No,1551.7,Yes,East,Atlantic,West,Southwest,-109.0,-112.33,-15.5,15.5,-1038.33,653.33,-109.67,-111.33,224.67,-110,-110,-1000,660,-105,-115,-105.0,-115.0,-1000.0,650.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-112.0,-112.0,-1115.0,650.0,-114.0,-109.0,,,,,,,,,,,,,,,,,,
