League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-08 06:21:31,2026-03-08 13:10,f72fef0133914afa77933a8229c6f3b6,Cleveland Cavaliers,Boston Celtics,No,550.5,No,East,Central,East,Atlantic,-113.11,-84.22,0.33,-0.33,-107.89,-111.78,-109.67,-109.89,224.44,-110,-110,-106,-110,-108,-112,-110,-110,-112,-109,-110,-110,-120,100,-108,-112,-110,-110,-115,-105,-105,-115,-110,-110,-111,-101,-103,-113,-107,-107,-115,-105,-105,-115,-110,-110,-117,-107,-112,-112,-112,-110,-115,-105,-105,-115,-110,-110,-105,-115,-115,-105,-110,-110
NBA,2026-03-08 06:21:31,2026-03-08 15:40,eb2b99ecfa9d75e8e25ce5b0d036f373,Los Angeles Lakers,New York Knicks,No,2452.9,No,West,Pacific,East,Atlantic,-111.78,-107.67,3.44,-3.44,128.89,-153.56,-107.56,-112.22,227.39,-115,-105,130,-154,-108,-112,-110,-110,126,-154,-110,-110,-115,-105,130,-155,-110,-110,-110,-110,130,-150,-105,-115,-106,-106,132,-149,-102,-113,-110,-110,129,-150,-105,-115,-115,-108,123,-155,-113,-110,-110,-110,135,-160,-110,-110,-115,-105,125,-155,-105,-115
NBA,2026-03-08 06:21:31,2026-03-08 18:10,1f7f16be27b4d4686fb80a5ca7952320,Toronto Raptors,Dallas Mavericks,No,1204.0,No,East,Atlantic,West,Southwest,-109.78,-109.67,-9.72,9.72,-435.56,333.89,-108.89,-110.78,229.06,-114,-106,-450,350,-110,-110,-110,-110,-435,318,-110,-110,-110,-110,-410,320,-105,-115,-110,-110,-425,334,-110,-110,-106,-106,-420,340,-107,-107,-110,-110,-425,333,-110,-110,-113,-110,-480,350,-113,-110,-105,-115,-450,335,-110,-110,-110,-110,-425,325,-105,-115
NBA,2026-03-08 06:21:31,2026-03-08 18:10,006622ec4db6bee347f96611117716b1,Miami Heat,Detroit Pistons,No,1153.0,No,East,Southeast,East,Central,-111.33,-108.11,1.22,-1.22,32.11,-118.78,-108.78,-110.89,230.0,-112,-108,102,-120,-108,-112,-110,-110,-106,-115,-110,-110,-115,-105,100,-120,-105,-115,-110,-110,100,-120,-110,-110,-106,-106,102,-118,-107,-107,-110,-110,100,-120,-110,-110,-114,-109,-104,-121,-109,-114,-110,-110,-105,-115,-110,-110,-115,-105,100,-120,-110,-110
NBA,2026-03-08 06:21:31,2026-03-08 19:10,3eecd922fd730ebc566975991090dd48,New Orleans Pelicans,Washington Wizards,No,966.2,Yes,West,Southwest,East,Southeast,-111.67,-107.89,-9.5,9.5,-437.22,336.22,-108.0,-111.67,242.61,-110,-110,-420,330,-110,-110,-110,-110,-435,327,-110,-110,-112,-108,-455,350,-110,-110,-115,-105,-440,344,-105,-115,-111,-101,-435,350,-102,-113,-115,-105,-440,345,-105,-115,-112,-112,-420,310,-110,-112,-110,-110,-440,330,-110,-110,-110,-110,-450,340,-110,-110
NBA,2026-03-08 06:21:31,2026-03-08 20:10,3746240cd5d317c0378756467f415c9b,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,West,Southwest,West,Southwest,-111.44,-108.0,-5.17,5.17,-208.67,173.89,-108.89,-110.78,222.28,-114,-106,-215,180,-110,-110,-110,-110,-213,171,-110,-110,-108,-112,-205,170,-105,-115,-115,-105,-200,174,-110,-110,-111,-101,-200,175,-107,-107,-115,-105,-200,170,-110,-110,-110,-113,-225,180,-113,-110,-115,-105,-210,175,-110,-110,-105,-115,-210,170,-105,-115
NBA,2026-03-08 06:21:31,2026-03-08 20:10,58bd4973656bdf3ba502e52d0343d381,Milwaukee Bucks,Orlando Magic,No,1064.4,Yes,East,Central,East,Southeast,-111.56,-85.67,3.83,-3.83,133.0,-158.44,-110.44,-109.22,219.44,-110,-110,132,-156,-114,-106,-110,-110,132,-164,-110,-110,-125,105,130,-155,-110,-110,-110,-110,137,-157,-110,-110,-106,-106,138,-157,-107,-107,-110,-110,136,-157,-110,-110,-113,-110,132,-165,-113,-110,-110,-110,135,-160,-110,-110,-110,-110,125,-155,-110,-110
NBA,2026-03-08 06:21:31,2026-03-08 21:10,0921e076bc572536f8a2ecd29ce1c426,Sacramento Kings,Chicago Bulls,No,1791.5,Yes,West,Pacific,East,Central,-112.0,-107.33,2.89,-2.89,121.89,-145.11,-109.22,-110.44,234.39,-110,-110,122,-144,-106,-114,-110,-110,116,-143,-110,-110,-108,-112,124,-148,-110,-110,-115,-105,125,-145,-110,-110,-111,-101,127,-144,-107,-107,-115,-105,125,-145,-110,-110,-114,-108,125,-157,-110,-113,-115,-105,115,-135,-110,-110,-110,-110,118,-145,-110,-110
NBA,2026-03-08 06:21:31,2026-03-08 21:10,deb6b3ad949cc94864c1b0bc8d76ea12,Portland Trail Blazers,Indiana Pacers,No,1885.4,Yes,West,Northwest,East,Central,-113.67,-105.78,-8.5,8.5,-387.22,300.89,-111.78,-108.0,236.56,-112,-108,-375,300,-110,-110,-110,-110,-400,298,-110,-110,-115,-105,-395,310,-108,-112,-115,-105,-385,306,-115,-105,-111,-101,-380,311,-113,-102,-115,-105,-385,308,-115,-105,-115,-108,-375,280,-110,-113,-115,-105,-390,295,-110,-110,-115,-105,-400,300,-115,-105
NBA,2026-03-08 06:21:31,2026-03-08 22:10,730f1c3bdb79a1e2e7b62bf3babd5e0a,Phoenix Suns,Charlotte Hornets,No,1782.7,Yes,West,Pacific,East,Southeast,-110.67,-108.78,4.44,-4.44,151.89,-181.11,-108.56,-111.11,218.67,-108,-112,152,-180,-110,-110,-110,-110,152,-189,-110,-110,-112,-108,150,-180,-110,-110,-115,-105,152,-173,-107,-113,-111,-101,153,-173,-104,-110,-115,-105,150,-175,-107,-113,-110,-113,143,-180,-109,-114,-105,-115,165,-195,-110,-110,-110,-110,150,-185,-110,-110
