League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-08 14:35:33,2026-03-08 13:11,f72fef0133914afa77933a8229c6f3b6,Cleveland Cavaliers,Boston Celtics,No,550.5,No,East,Central,East,Atlantic,-119.67,-111.33,9.75,-9.75,390.0,-630.83,-112.17,-117.67,199.67,-130,-102,340,-500,-106,-125,-125,-105,650,-1250,-105,-118,-125,-105,380,-580,-120,-110,-113,-121,320,-480,-117,-120,-120,-110,350,-550,-115,-115,-105,-125,300,-425,-110,-118,,,,,,,,,,,,,,,,,,
NBA,2026-03-08 14:35:33,2026-03-08 15:40,eb2b99ecfa9d75e8e25ce5b0d036f373,Los Angeles Lakers,New York Knicks,No,2452.9,No,West,Pacific,East,Atlantic,-110.11,-109.33,4.06,-4.06,144.67,-172.0,-109.0,-110.78,226.17,-108,-112,144,-172,-112,-108,-110,-110,131,-161,-110,-110,-118,-102,145,-175,-105,-115,-113,-110,148,-186,-112,-112,-105,-115,160,-185,-110,-110,-115,-105,125,-155,-105,-115,-108.0,-112.0,151.0,-172.0,-110.0,-110.0,-104.0,-108.0,152.0,-172.0,-107.0,-107.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 18:10,1f7f16be27b4d4686fb80a5ca7952320,Toronto Raptors,Dallas Mavericks,No,1204.0,No,East,Atlantic,West,Southwest,-108.56,-110.89,-10.33,10.33,-438.89,334.33,-109.67,-110.11,229.44,-110,-110,-430,340,-110,-110,-110,-110,-435,317,-110,-110,-108,-112,-440,340,-108,-112,-113,-110,-500,350,-112,-112,-105,-115,-450,335,-110,-110,-105,-115,-450,333,-110,-110,-110.0,-110.0,-425.0,334.0,-110.0,-110.0,-106.0,-106.0,-420.0,340.0,-107.0,-107.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 18:10,006622ec4db6bee347f96611117716b1,Miami Heat,Detroit Pistons,No,1153.0,No,East,Southeast,East,Central,-106.56,-112.89,1.44,-1.44,106.11,-126.78,-110.0,-109.56,231.33,-108,-112,106,-124,-110,-110,-110,-110,102,-125,-110,-110,-105,-115,110,-130,-110,-110,-110,-113,100,-124,-113,-109,-110,-110,100,-120,-110,-110,-105,-115,110,-135,-110,-110,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-101.0,-111.0,112.0,-128.0,-107.0,-107.0,-105.0,-115.0,105.0,-125.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 19:10,3eecd922fd730ebc566975991090dd48,New Orleans Pelicans,Washington Wizards,No,966.2,Yes,West,Southwest,East,Southeast,-109.22,-110.22,-10.5,10.5,-460.11,350.67,-110.44,-109.33,244.67,-110,-110,-460,360,-110,-110,-110,-110,-476,342,-110,-110,-108,-112,-455,350,-115,-105,-109,-114,-455,330,-112,-112,-110,-110,-490,355,-105,-115,-110,-110,-450,350,-115,-105,-110.0,-110.0,-455.0,354.0,-110.0,-110.0,-106.0,-106.0,-450.0,360.0,-107.0,-107.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 20:10,3746240cd5d317c0378756467f415c9b,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,West,Southwest,West,Southwest,-111.56,-108.0,-5.61,5.61,-218.22,180.67,-110.11,-109.67,222.56,-108,-112,-210,176,-110,-110,-110,-110,-217,174,-110,-110,-115,-105,-218,180,-112,-108,-112,-112,-230,180,-112,-112,-115,-105,-220,180,-110,-110,-118,-102,-225,185,-110,-110,-110.0,-110.0,-215.0,183.0,-110.0,-110.0,-106.0,-106.0,-214.0,185.0,-107.0,-107.0,-110.0,-110.0,-215.0,183.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 20:10,58bd4973656bdf3ba502e52d0343d381,Milwaukee Bucks,Orlando Magic,No,1064.4,Yes,East,Central,East,Southeast,-110.44,-109.0,5.94,-5.94,172.78,-207.33,-110.0,-109.67,217.06,-114,-106,168,-200,-110,-110,-110,-110,181,-227,-110,-110,-118,-102,170,-205,-115,-105,-108,-115,175,-225,-113,-110,-115,-105,165,-195,-110,-110,-105,-115,165,-200,-105,-115,-109.0,-111.0,177.0,-205.0,-110.0,-110.0,-105.0,-107.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 21:10,0921e076bc572536f8a2ecd29ce1c426,Sacramento Kings,Chicago Bulls,No,1791.5,Yes,West,Pacific,East,Central,-108.89,-110.56,2.11,-2.11,109.89,-131.33,-109.44,-110.11,236.11,-114,-106,112,-132,-108,-112,-110,-110,106,-130,-110,-110,-115,-105,114,-135,-105,-115,-113,-110,110,-137,-110,-112,-110,-110,105,-125,-110,-110,-102,-118,110,-135,-115,-105,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-101.0,-111.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 21:10,deb6b3ad949cc94864c1b0bc8d76ea12,Portland Trail Blazers,Indiana Pacers,No,1885.4,Yes,West,Northwest,East,Central,-112.22,-107.33,-8.61,8.61,-390.11,303.89,-109.22,-110.44,236.72,-112,-108,-375,300,-110,-110,-110,-110,-400,298,-110,-110,-115,-105,-395,310,-108,-112,-112,-112,-360,270,-113,-110,-110,-110,-415,310,-110,-110,-115,-105,-400,310,-105,-115,-115.0,-105.0,-390.0,310.0,-110.0,-110.0,-111.0,-101.0,-386.0,315.0,-107.0,-107.0,-110.0,-110.0,-390.0,312.0,-110.0,-110.0
NBA,2026-03-08 14:35:33,2026-03-08 22:10,730f1c3bdb79a1e2e7b62bf3babd5e0a,Phoenix Suns,Charlotte Hornets,No,1782.7,Yes,West,Pacific,East,Southeast,-108.56,-111.0,4.5,-4.5,156.67,-186.33,-109.0,-110.67,218.39,-110,-110,152,-180,-112,-108,-110,-110,153,-189,-110,-110,-108,-112,160,-192,-115,-105,-112,-112,148,-186,-112,-110,-105,-115,160,-185,-110,-110,-110,-110,155,-190,-110,-110,-108.0,-112.0,161.0,-185.0,-105.0,-115.0,-104.0,-108.0,162.0,-185.0,-102.0,-113.0,-110.0,-110.0,159.0,-185.0,-105.0,-115.0
