League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-10 18:28:54,2026-03-10 19:10,e735f6e9e8e98e8b92c380f09760ec3f,Philadelphia 76ers,Memphis Grizzlies,No,879.4,Yes,East,Atlantic,West,Southwest,-111.89,-107.56,-3.89,3.89,-176.44,148.56,-109.89,-109.78,229.22,-110,-110,-188,158,-105,-115,-110,-110,-179,145,-110,-110,-118,-102,-175,145,-110,-110,-108,-104,-172,152,-109,-105,-112,-108,-172,151,-112,-108,-114,-109,-182,145,-113,-110,-110,-110,-175,150,-110,-110,-110,-110,-170,146,-110,-110,-115,-105,-175,145,-110,-110
NBA,2026-03-10 18:28:54,2026-03-10 19:40,abc7626b6e289bd9003f66cd3df84349,Atlanta Hawks,Dallas Mavericks,No,721.3,Yes,East,Southeast,West,Southwest,-110.89,-108.56,-9.94,9.94,-436.67,333.44,-110.78,-108.89,240.72,-112,-108,-420,330,-112,-108,-110,-110,-435,324,-110,-110,-115,-105,-425,330,-112,-108,-107,-105,-420,340,-106,-108,-111,-109,-425,334,-109,-111,-113,-110,-480,340,-113,-110,-105,-115,-460,340,-110,-110,-110,-110,-415,330,-110,-110,-115,-105,-450,333,-115,-105
NBA,2026-03-10 18:28:54,2026-03-10 19:40,9421796c001c679383541d472b15be1f,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,East,Atlantic,East,Central,-109.44,-110.0,14.94,-14.94,698.0,-1132.56,-109.11,-110.44,216.5,-105,-115,750,-1200,-110,-110,-110,-110,683,-1250,-110,-110,-118,-102,700,-1100,-105,-115,-105,-107,708,-1028,-107,-107,-109,-111,686,-1050,-110,-110,-113,-110,650,-1115,-110,-112,-110,-110,700,-1200,-110,-110,-110,-110,680,-1050,-110,-110,-105,-115,725,-1200,-110,-110
NBA,2026-03-10 18:28:54,2026-03-10 19:40,565b25ab007865785e752c67dfb61e99,Miami Heat,Washington Wizards,Yes,922.4,Yes,East,Southeast,East,Southeast,-111.89,-107.67,-16.56,16.56,-1256.0,754.0,-111.33,-108.44,237.89,-112,-108,-1350,810,-110,-110,-110,-110,-1250,716,-110,-110,-112,-108,-1200,750,-105,-115,-111,-101,-1174,781,-113,-102,-115,-105,-1200,754,-115,-105,-112,-112,-1430,750,-114,-109,-115,-105,-1300,725,-110,-110,-110,-110,-1200,750,-110,-110,-110,-110,-1200,750,-115,-105
NBA,2026-03-10 18:28:54,2026-03-10 20:10,e989d01a7b748cf7e0c892b5259ea99d,San Antonio Spurs,Boston Celtics,No,1764.3,Yes,West,Southwest,East,Atlantic,-112.33,-107.11,-3.44,3.44,-157.11,133.11,-108.56,-111.22,221.33,-110,-110,-156,132,-108,-112,-110,-110,-159,130,-110,-110,-115,-105,-162,136,-105,-115,-111,-101,-160,141,-107,-107,-115,-105,-160,140,-110,-110,-115,-108,-157,125,-112,-112,-110,-110,-150,130,-110,-110,-110,-110,-150,129,-110,-110,-115,-105,-160,135,-105,-115
NBA,2026-03-10 18:28:54,2026-03-10 20:10,f9792224d24b63aa28a24224ea099225,Houston Rockets,Toronto Raptors,No,1301.2,Yes,West,Southwest,East,Atlantic,-110.22,-109.22,-4.5,4.5,-189.67,158.67,-108.89,-110.78,220.11,-110,-110,-190,160,-110,-110,-110,-110,-185,151,-110,-110,-108,-112,-192,160,-105,-115,-106,-106,-185,162,-107,-107,-110,-110,-185,161,-110,-110,-113,-110,-200,155,-113,-110,-115,-105,-195,165,-110,-110,-110,-110,-185,159,-110,-110,-110,-110,-190,155,-105,-115
NBA,2026-03-10 18:28:54,2026-03-10 20:10,133cc0d0b8283948b909c38cc93d2d62,Milwaukee Bucks,Phoenix Suns,No,1463.9,Yes,East,Central,West,Pacific,-111.0,-108.44,1.28,-1.28,-35.89,-117.11,-110.22,-109.56,218.72,-115,-105,100,-118,-108,-112,-110,-110,-106,-115,-110,-110,-115,-105,-102,-118,-112,-108,-106,-106,-103,-113,-113,-102,-110,-110,-105,-115,-115,-105,-113,-110,100,-122,-109,-114,-105,-115,100,-120,-110,-110,-110,-110,-105,-115,-110,-110,-115,-105,-102,-118,-105,-115
NBA,2026-03-10 18:28:54,2026-03-10 22:10,25729251b2eb774717c748181096b0be,Portland Trail Blazers,Charlotte Hornets,No,2289.6,Yes,West,Northwest,East,Southeast,-109.56,-109.89,3.28,-3.28,131.22,-155.44,-109.89,-109.67,227.5,-108,-112,132,-156,-110,-110,-110,-110,128,-156,-110,-110,-118,-102,130,-155,-112,-108,-101,-111,134,-152,-107,-107,-105,-115,133,-153,-110,-110,-109,-114,120,-152,-110,-112,-110,-110,135,-160,-110,-110,-110,-110,134,-155,-110,-110,-115,-105,135,-160,-110,-110
NBA,2026-03-10 18:28:54,2026-03-10 22:10,c248f3294c1e35f27919ab0f49322752,Golden State Warriors,Chicago Bulls,No,1855.4,Yes,West,Pacific,East,Central,-108.89,-110.56,-6.17,6.17,-234.33,193.44,-110.0,-109.67,227.5,-110,-110,-230,190,-110,-110,-110,-110,-238,191,-110,-110,-105,-115,-238,195,-110,-110,-108,-104,-223,191,-107,-107,-112,-108,-225,189,-110,-110,-110,-113,-245,190,-113,-110,-110,-110,-240,200,-110,-110,-110,-110,-235,200,-110,-110,-105,-115,-235,195,-110,-110
NBA,2026-03-10 18:28:54,2026-03-10 22:10,eacde0007a133dae3e1eee3630c04a60,Sacramento Kings,Indiana Pacers,No,1887.3,Yes,West,Pacific,East,Central,-109.33,-110.11,-3.11,3.11,-151.33,127.67,-110.22,-109.44,236.83,-110,-110,-148,126,-114,-106,-110,-110,-152,123,-110,-110,-102,-118,-155,130,-112,-108,-111,-101,-152,134,-105,-109,-115,-105,-153,133,-108,-112,-114,-109,-152,123,-113,-110,-115,-105,-150,130,-110,-110,-105,-115,-145,125,-110,-110,-102,-118,-155,125,-110,-110
