League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-13 14:42:55,2026-03-13 19:40,fff92660471a227787e69030342c161a,Dallas Mavericks,Cleveland Cavaliers,No,1025.8,Yes,West,Southwest,East,Central,-107.67,-111.78,13.61,-13.61,534.22,-807.33,-110.11,-109.56,236.83,-110,-110,570,-820,-108,-112,-110.0,-110.0,452.0,-909.0,-110.0,-110.0,-108.0,-112.0,525.0,-750.0,-108.0,-112.0,-110.0,-113.0,600.0,-1000.0,-109.0,-114.0,-105.0,-115.0,534.0,-750.0,-112.0,-108.0,-101.0,-111.0,547.0,-737.0,-109.0,-105.0,-110.0,-110.0,525.0,-750.0,-115.0,-105.0,-110.0,-110.0,530.0,-750.0,-110.0,-110.0,-105.0,-115.0,525.0,-800.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 19:40,9f90f0cfcf3b921f77ede1f83724a96f,Detroit Pistons,Memphis Grizzlies,No,623.7,Yes,East,Central,West,Southwest,-107.44,-112.0,-15.89,15.89,-1545.67,828.89,-110.67,-109.11,233.39,-114,-106,-1400,810,-112,-108,-110.0,-110.0,-2000.0,665.0,-110.0,-110.0,-102.0,-118.0,-1600.0,900.0,-115.0,-105.0,-113.0,-110.0,-1250.0,700.0,-112.0,-112.0,-105.0,-115.0,-1600.0,910.0,-110.0,-110.0,-101.0,-111.0,-1561.0,950.0,-107.0,-107.0,-102.0,-118.0,-1600.0,900.0,-110.0,-110.0,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-110.0,-110.0,-1300.0,725.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 19:40,aef5ba1e4c95ece8672f8bb0672fe17d,Indiana Pacers,New York Knicks,No,646.0,Yes,East,Central,East,Atlantic,-109.56,-109.89,13.44,-13.44,608.33,-951.67,-110.0,-109.67,227.17,-106,-114,560,-800,-110,-110,-110.0,-110.0,461.0,-909.0,-110.0,-110.0,-110.0,-110.0,650.0,-1000.0,-110.0,-110.0,-114.0,-109.0,650.0,-1115.0,-113.0,-110.0,-110.0,-110.0,637.0,-950.0,-110.0,-110.0,-106.0,-106.0,657.0,-931.0,-107.0,-107.0,-110.0,-110.0,650.0,-1000.0,-110.0,-110.0,-110.0,-110.0,660.0,-1010.0,-110.0,-110.0,-110.0,-110.0,550.0,-850.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 19:40,9d9b5899c3a11e2fb35194811631cd40,Toronto Raptors,Phoenix Suns,No,1890.3,Yes,East,Atlantic,West,Pacific,-111.56,-107.78,-4.78,4.78,-197.78,163.44,-109.0,-110.78,218.28,-112,-108,-194,162,-106,-114,-110.0,-110.0,-213.0,150.0,-110.0,-110.0,-118.0,-102.0,-198.0,164.0,-115.0,-105.0,-113.0,-109.0,-200.0,160.0,-113.0,-110.0,-110.0,-110.0,-195.0,170.0,-105.0,-115.0,-106.0,-106.0,-195.0,171.0,-102.0,-113.0,-115.0,-105.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 20:10,8d4b91d706b4ca4f3b81cc33346b3d14,Houston Rockets,New Orleans Pelicans,Yes,317.4,Yes,West,Southwest,West,Southwest,-110.44,-86.78,-6.89,6.89,-284.78,226.44,-108.11,-111.78,230.56,-110,-110,-290,235,-106,-114,-110.0,-110.0,-303.0,207.0,-110.0,-110.0,-118.0,-102.0,-285.0,230.0,-108.0,-112.0,-109.0,-114.0,-278.0,215.0,-112.0,-112.0,-108.0,-112.0,-290.0,237.0,-105.0,-115.0,-104.0,-108.0,-287.0,241.0,-102.0,-113.0,-120.0,100.0,-295.0,230.0,-110.0,-110.0,-110.0,-110.0,-265.0,223.0,-110.0,-110.0,-105.0,-115.0,-270.0,220.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 22:10,8f70af8b76f27c4f0a7a6957464edf9d,Golden State Warriors,Minnesota Timberwolves,No,1583.0,Yes,West,Pacific,West,Northwest,-111.0,-108.44,6.44,-6.44,195.67,-241.78,-108.44,-111.22,224.17,-114,-106,205,-250,-106,-114,-110.0,-110.0,184.0,-270.0,-110.0,-110.0,-115.0,-105.0,195.0,-238.0,-105.0,-115.0,-110.0,-113.0,185.0,-235.0,-113.0,-110.0,-112.0,-108.0,200.0,-240.0,-110.0,-110.0,-108.0,-104.0,202.0,-238.0,-107.0,-107.0,-110.0,-110.0,195.0,-235.0,-105.0,-115.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 22:10,d935250226e658edb6e7a0f1eaf4edea,Portland Trail Blazers,Utah Jazz,Yes,635.0,Yes,West,Northwest,West,Northwest,-110.44,-108.89,-15.39,15.39,-1229.78,724.22,-109.89,-109.89,236.5,-110,-110,-1350,810,-110,-110,-110.0,-110.0,-1429.0,573.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-113.0,-109.0,-1115.0,650.0,-112.0,-112.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-115.0,-105.0,-1200.0,700.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-13 22:40,3e5d3f236671e27e0921615898f5f035,Los Angeles Clippers,Chicago Bulls,No,1752.1,Yes,West,Pacific,East,Central,-110.56,-108.89,-13.22,13.22,-794.56,527.22,-111.78,-108.0,234.0,-110,-110,-770,540,-112,-108,-110.0,-110.0,-909.0,459.0,-110.0,-110.0,-105.0,-115.0,-800.0,550.0,-108.0,-112.0,-109.0,-114.0,-835.0,510.0,-113.0,-110.0,-115.0,-105.0,-750.0,534.0,-115.0,-105.0,-111.0,-101.0,-737.0,547.0,-113.0,-102.0,-110.0,-110.0,-800.0,550.0,-115.0,-105.0,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-115.0,-105.0,-800.0,525.0,-110.0,-110.0
NBA,2026-03-13 14:42:55,2026-03-14 18:40,5b7467a257447a40f885525e863992a5,Los Angeles Lakers,Denver Nuggets,No,831.9,No,West,Pacific,West,Northwest,-110.0,-110.0,1.5,-1.5,104.0,-122.0,-114.0,-106.0,241.5,-110,-110,104,-122,-114,-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-13 14:42:55,2026-03-14 20:10,b356eed95fac84c751e3a07a9b013bdb,Miami Heat,Orlando Magic,Yes,203.7,Yes,East,Southeast,East,Southeast,-110.0,-110.0,-3.0,3.0,-152.0,128.0,-108.0,-112.0,234.5,-110,-110,-152,128,-108,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
