League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-19 18:29:24,2026-03-19 19:10,570e79a6a678168c3cb3e69098069448,Washington Wizards,Detroit Pistons,No,396.2,Yes,East,Southeast,East,Central,-108.0,-111.44,14.11,-14.11,710.22,-1142.78,-109.89,-109.67,232.17,-106,-114,660,-1000,-112,-108,-110.0,-110.0,672.0,-1111.0,-110.0,-110.0,-113.0,-110.0,600.0,-1000.0,-112.0,-110.0,-101.0,-111.0,781.0,-1174.0,-107.0,-107.0,-105.0,-115.0,754.0,-1200.0,-110.0,-110.0,-112.0,-108.0,750.0,-1200.0,-108.0,-112.0,-105.0,-115.0,700.0,-1200.0,-110.0,-110.0,-110.0,-110.0,725.0,-1200.0,-110.0,-110.0,-110.0,-110.0,750.0,-1200.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 19:15,ec3ff082cb50037d2f7bb5258b1e2d41,Charlotte Hornets,Orlando Magic,Yes,461.8,Yes,East,Southeast,East,Southeast,-108.67,-109.56,-5.56,5.56,-216.56,179.89,-110.0,-109.67,227.44,-112,-108,-220,184,-114,-106,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-108.0,-114.0,-215.0,170.0,-109.0,-114.0,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-112.0,-108.0,-218.0,180.0,-110.0,-110.0,-105.0,-115.0,-225.0,185.0,-110.0,-110.0,-105.0,-105.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 20:10,53d402557ce913ced0dbf5fe564b0ebb,Chicago Bulls,Cleveland Cavaliers,Yes,310.7,Yes,East,Central,East,Central,-108.89,-110.56,10.61,-10.61,400.0,-540.44,-109.0,-110.78,237.67,-112,-108,400,-520,-112,-108,-110.0,-110.0,390.0,-556.0,-110.0,-110.0,-109.0,-114.0,375.0,-530.0,-110.0,-113.0,-106.0,-106.0,408.0,-518.0,-102.0,-113.0,-110.0,-110.0,400.0,-525.0,-105.0,-115.0,-108.0,-112.0,410.0,-550.0,-112.0,-108.0,-110.0,-110.0,400.0,-575.0,-110.0,-110.0,-105.0,-115.0,400.0,-550.0,-110.0,-110.0,-110.0,-110.0,417.0,-540.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 20:10,dea454fe13c4c2e0254013f35efaceaf,New Orleans Pelicans,Los Angeles Clippers,No,1677.3,Yes,West,Southwest,West,Pacific,-110.11,-109.33,-2.44,2.44,-133.56,112.0,-109.67,-110.0,230.56,-105,-115,-134,114,-110,-110,-110.0,-110.0,-135.0,110.0,-110.0,-110.0,-115.0,-108.0,-143.0,116.0,-110.0,-113.0,-106.0,-106.0,-130.0,114.0,-107.0,-107.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-135.0,114.0,-110.0,-110.0,-115.0,-105.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-135.0,110.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 20:10,b438071ab82326fa2fa702112ad04536,Miami Heat,Los Angeles Lakers,No,2340.4,Yes,East,Southeast,West,Pacific,-109.56,-109.89,-5.56,5.56,-226.44,187.0,-110.33,-109.33,240.56,-114,-106,-235,194,-112,-108,-110.0,-110.0,-226.0,180.0,-110.0,-110.0,-108.0,-115.0,-235.0,185.0,-114.0,-109.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-108.0,-112.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-235.0,200.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 20:10,08972bedbb384ff5c67374d76d71c61b,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-111.78,-107.67,-9.61,9.61,-457.78,348.78,-109.56,-110.11,228.06,-114,-106,-450,350,-106,-114,-110.0,-110.0,-455.0,337.0,-110.0,-110.0,-114.0,-109.0,-435.0,320.0,-113.0,-110.0,-106.0,-106.0,-455.0,364.0,-107.0,-107.0,-110.0,-110.0,-460.0,358.0,-110.0,-110.0,-112.0,-108.0,-470.0,360.0,-115.0,-105.0,-115.0,-105.0,-470.0,345.0,-110.0,-110.0,-115.0,-105.0,-475.0,350.0,-105.0,-115.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 21:10,c9330059cfdf19891d9b4ecfa62d54c5,Utah Jazz,Milwaukee Bucks,No,1242.2,Yes,West,Northwest,East,Central,-88.0,-109.22,6.0,-6.0,200.0,-244.22,-109.33,-110.56,229.06,-114,-106,188,-225,-110,-110,-110.0,-110.0,197.0,-250.0,-110.0,-110.0,-114.0,-109.0,190.0,-245.0,-112.0,-112.0,-106.0,-106.0,210.0,-248.0,-102.0,-113.0,-110.0,-110.0,207.0,-250.0,-105.0,-115.0,-118.0,-102.0,200.0,-245.0,-110.0,-110.0,-110.0,-110.0,205.0,-245.0,-110.0,-110.0,100.0,-120.0,200.0,-250.0,-115.0,-105.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-19 22:10,34058ad6afd721c206c16f9d0eb7c77d,Sacramento Kings,Philadelphia 76ers,No,2458.6,Yes,West,Pacific,East,Atlantic,-110.44,-109.0,2.56,-2.56,123.0,-146.22,-109.22,-110.44,227.83,-112,-108,120,-142,-106,-114,-110.0,-110.0,122.0,-151.0,-110.0,-110.0,-113.0,-110.0,114.0,-141.0,-110.0,-113.0,-106.0,-106.0,127.0,-144.0,-107.0,-107.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-108.0,-112.0,124.0,-148.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,125.0,-155.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
NBA,2026-03-19 18:29:24,2026-03-20 19:40,9dec9fb17fd32b89e42c5060a469312a,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,East,Atlantic,East,Atlantic,-110.0,-110.0,18.0,-18.0,1100.0,-2200.0,-110.0,-110.0,214.5,-110,-110,1100,-2200,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-19 18:29:24,2026-03-20 20:10,bf9a522d732a5622666e8bae89203de1,Houston Rockets,Atlanta Hawks,No,701.6,Yes,West,Southwest,East,Southeast,-110.0,-110.0,-4.5,4.5,-186.0,156.0,-110.0,-110.0,226.5,-110,-110,-186,156,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
