League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-21 06:22:51,2026-03-21 17:10,a1158df1a3a21def58491807df167c6a,Washington Wizards,Oklahoma City Thunder,No,1152.7,No,East,Southeast,West,Northwest,-110.89,-108.56,21.06,-21.06,1281.67,-3509.56,-109.67,-110.0,229.83,-114,-106,1400,-3500,-110,-110,-110,-110,1176,-3333,-110,-110,-113,-110,1200,-5000,-110,-113,-105,-115,1300,-2800,-110,-110,-110,-110,1256,-3000,-110,-110,-106,-106,1303,-2953,-107,-107,-115,-105,1300,-3000,-110,-110,-110,-110,1300,-3000,-110,-110,-115,-105,1300,-5000,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 19:10,caa8acf3be841cea790d25a4082d4817,Charlotte Hornets,Memphis Grizzlies,No,521.2,Yes,East,Southeast,West,Southwest,-112.22,-107.33,-16.39,16.39,-1269.56,754.33,-108.56,-111.22,234.94,-110,-110,-1500,870,-106,-114,-110,-110,-1250,725,-110,-110,-112,-112,-1250,700,-112,-112,-112,-108,-1200,750,-112,-108,-115,-105,-1150,732,-110,-110,-111,-101,-1126,757,-107,-107,-110,-110,-1200,725,-105,-115,-115,-105,-1150,730,-110,-110,-115,-105,-1600,800,-105,-115
NBA,2026-03-21 06:22:51,2026-03-21 19:10,87e5b0e532472d1e7a6815746302dd10,New Orleans Pelicans,Cleveland Cavaliers,No,924.4,Yes,West,Southwest,East,Central,-110.89,-108.56,4.5,-4.5,160.67,-191.78,-109.33,-110.33,235.39,-110,-110,162,-194,-110,-110,-110,-110,153,-189,-110,-110,-110,-113,155,-195,-109,-114,-112,-108,164,-198,-108,-112,-115,-105,161,-185,-110,-110,-111,-101,162,-185,-107,-107,-110,-110,165,-200,-110,-110,-115,-105,159,-185,-110,-110,-105,-115,165,-195,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 19:11,041a208c3a53186e8bc0983045ab66f7,Orlando Magic,Los Angeles Lakers,No,2202.7,Yes,East,Southeast,West,Pacific,-106.67,-112.78,2.67,-2.67,125.78,-148.89,-110.11,-109.44,233.11,-106,-114,126,-148,-110,-110,-110,-110,120,-147,-110,-110,-113,-110,120,-152,-109,-113,-105,-115,124,-148,-115,-105,-105,-115,128,-148,-110,-110,-101,-111,130,-147,-107,-107,-105,-115,125,-150,-110,-110,-105,-115,129,-150,-110,-110,-110,-110,130,-150,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 20:10,3523e11ab67a699ba097925fb4981746,Atlanta Hawks,Golden State Warriors,No,2137.9,Yes,East,Southeast,West,Pacific,-109.78,-109.67,-10.17,10.17,-436.33,331.78,-109.67,-110.0,229.17,-112,-108,-480,370,-106,-114,-110,-110,-417,314,-110,-110,-115,-108,-530,360,-114,-109,-105,-115,-410,320,-105,-115,-110,-110,-400,316,-110,-110,-106,-106,-395,321,-107,-107,-105,-115,-425,320,-115,-105,-110,-110,-400,320,-110,-110,-115,-105,-470,345,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 20:10,1a580864294677520ddb2a2a0fe31268,San Antonio Spurs,Indiana Pacers,No,997.0,Yes,West,Southwest,East,Central,-110.89,-108.56,-18.78,18.78,-2553.89,1126.22,-112.0,-63.33,233.0,-114,-106,-3500,1400,-110,-110,-110,-110,-2500,1072,-110,-110,-113,-110,-3335,1050,-110,-113,-115,-105,-2100,1100,-110,-110,-110,-110,-2100,1069,-120,100,-106,-106,-2050,1120,-118,103,-115,-105,-2500,1150,-110,-110,-110,-110,-2100,1075,-110,-110,-105,-115,-2800,1100,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 20:11,3b6c1dd86ba56eddae458728b80c3320,Houston Rockets,Miami Heat,No,967.9,Yes,West,Southwest,East,Southeast,-110.33,-109.11,-2.0,2.0,-131.56,110.22,-110.11,-109.56,229.39,-108,-112,-130,110,-114,-106,-110,-110,-130,106,-110,-110,-114,-109,-136,110,-110,-113,-118,-102,-135,114,-110,-110,-110,-110,-130,110,-110,-110,-106,-106,-128,112,-107,-107,-102,-118,-135,110,-110,-110,-110,-110,-130,110,-110,-110,-115,-105,-130,110,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 20:45,817a30a82900f0db41d5b094f424e33b,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,West,Southwest,West,Pacific,-111.56,-108.0,7.11,-7.11,228.11,-281.44,-109.89,-109.89,233.44,-110,-110,230,-280,-110,-110,-110,-110,225,-286,-110,-110,-112,-112,210,-275,-112,-112,-118,-102,235,-290,-110,-110,-110,-110,230,-280,-110,-110,-106,-106,233,-277,-107,-107,-118,-102,225,-285,-110,-110,-110,-110,235,-280,-110,-110,-110,-110,230,-280,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 21:40,b9b4d5f3dfbad29e6a0e3e08fff25a95,Utah Jazz,Philadelphia 76ers,No,1926.0,Yes,West,Northwest,East,Atlantic,-107.78,-111.67,5.89,-5.89,208.78,-255.56,-110.22,-109.44,230.61,-110,-110,215,-260,-112,-108,-110,-110,193,-244,-110,-110,-109,-114,205,-265,-113,-110,-105,-115,210,-258,-110,-110,-110,-110,215,-260,-110,-110,-106,-106,218,-258,-107,-107,-105,-115,200,-250,-110,-110,-110,-110,218,-260,-110,-110,-105,-115,205,-245,-110,-110
NBA,2026-03-21 06:22:51,2026-03-21 22:11,d6b73b8b266617c9d9eeba4a6c9bf5f9,Phoenix Suns,Milwaukee Bucks,No,1463.9,Yes,West,Pacific,East,Central,-109.33,-110.22,-11.5,11.5,-609.0,440.78,-110.0,-109.67,219.56,-106,-114,-590,440,-114,-106,-110,-110,-625,425,-110,-110,-112,-112,-625,430,-109,-114,-110,-110,-600,440,-110,-110,-110,-110,-600,446,-110,-110,-106,-106,-591,456,-107,-107,-110,-110,-625,450,-110,-110,-110,-110,-600,450,-110,-110,-110,-110,-625,430,-110,-110
