League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-21 18:24:59,2026-03-21 17:10,a1158df1a3a21def58491807df167c6a,Washington Wizards,Oklahoma City Thunder,No,1152.7,No,East,Southeast,West,Northwest,-114.2,-116.0,16.7,-16.7,1325.0,-6200.0,-115.6,-115.4,250.0,-118,-112,1300,-5000,-104,-128,-111,-118,,,-118,-111,-114,-120,1300,-10000,-118,-118,-110,-120,1600,-4800,-120,-110,-118.0,-110.0,1100,-5000,-118,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-21 18:24:59,2026-03-21 19:10,caa8acf3be841cea790d25a4082d4817,Charlotte Hornets,Memphis Grizzlies,No,521.2,Yes,East,Southeast,West,Southwest,-109.56,-109.78,-18.67,18.67,-1967.44,971.44,-110.56,-109.11,233.06,-110,-110,-2200,1100,-110,-110,-110,-110,-2000.0,909.0,-110,-110,-109,-113,-2000,850,-113,-110,-110,-110,-1650,950,-115,-105,-110.0,-110.0,-2000,950,-110,-110,-109.0,-103.0,-1657.0,989.0,-107.0,-107.0,-110.0,-110.0,-2000.0,1050.0,-110.0,-110.0,-113.0,-107.0,-1700.0,945.0,-110.0,-110.0,-105.0,-115.0,-2500.0,1000.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 19:10,87e5b0e532472d1e7a6815746302dd10,New Orleans Pelicans,Cleveland Cavaliers,No,924.4,Yes,West,Southwest,East,Central,-108.22,-111.33,5.11,-5.11,174.22,-209.89,-110.33,-109.22,238.89,-112,-108,180,-215,-114,-106,-110,-110,182.0,-227.0,-110,-110,-112,-112,175,-225,-112,-110,-102,-118,170,-205,-105,-115,-102.0,-118.0,170,-210,-115,-105,-106.0,-106.0,171.0,-195.0,-107.0,-107.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-115.0,-105.0,175.0,-202.0,-110.0,-110.0,-105.0,-115.0,175.0,-210.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 19:11,041a208c3a53186e8bc0983045ab66f7,Orlando Magic,Los Angeles Lakers,No,2202.7,Yes,East,Southeast,West,Pacific,-107.38,-112.0,3.56,-3.56,140.0,-166.33,-109.33,-110.44,233.78,-108,-112,138,-164,-110,-110,-110,-110,141.0,-172.0,-110,-110,-109,-114,138,-175,-112,-112,-105,-115,140,-166,-110,-110,,,140,-170,-105,-115,-104.0,-108.0,141.0,-160.0,-107.0,-107.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0,-108.0,-112.0,140.0,-160.0,-110.0,-110.0,-105.0,-115.0,140.0,-165.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 20:10,3523e11ab67a699ba097925fb4981746,Atlanta Hawks,Golden State Warriors,No,2137.9,Yes,East,Southeast,West,Pacific,-111.0,-108.38,-8.94,8.94,-387.12,302.25,-110.75,-109.0,227.81,-112,-108,-350,285,-110,-110,-110,-110,-417.0,308.0,-110,-110,-110,-113,-400,300,-112,-112,-115,-105,-380,300,-112,-108,-115.0,-105.0,-400,300,-115,-105,-106.0,-106.0,-380.0,311.0,-107.0,-107.0,-110.0,-110.0,-385.0,308.0,-110.0,-110.0,-110.0,-110.0,-385.0,306.0,-110.0,-110.0,,,,,,
NBA,2026-03-21 18:24:59,2026-03-21 20:10,1a580864294677520ddb2a2a0fe31268,San Antonio Spurs,Indiana Pacers,No,997.0,Yes,West,Southwest,East,Central,-108.33,-111.11,-17.5,17.5,-1934.11,978.0,-110.56,-109.11,234.83,-110,-110,-2200,1100,-115,-105,-110,-110,-2000.0,968.0,-110,-110,-109,-114,-2500,950,-113,-110,-110,-110,-1650,950,-115,-105,-110.0,-110.0,-2000,1000,-105,-115,-101.0,-111.0,-1657.0,989.0,-107.0,-107.0,-110.0,-110.0,-1700.0,950.0,-110.0,-110.0,-105.0,-115.0,-1700.0,945.0,-110.0,-110.0,-110.0,-110.0,-2000.0,950.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 20:11,3b6c1dd86ba56eddae458728b80c3320,Houston Rockets,Miami Heat,No,967.9,Yes,West,Southwest,East,Southeast,-109.78,-109.67,-2.78,2.78,-143.67,121.0,-110.22,-109.44,227.78,-112,-108,-154,130,-112,-108,-110,-110,-130.0,107.0,-110,-110,-110,-113,-152,120,-113,-110,-105,-115,-142,120,-115,-105,-105.0,-115.0,-145,120,-105,-115,-111.0,-101.0,-142.0,125.0,-107.0,-107.0,-110.0,-110.0,-155.0,134.0,-110.0,-110.0,-115.0,-105.0,-143.0,123.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 20:45,817a30a82900f0db41d5b094f424e33b,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,West,Southwest,West,Pacific,-110.67,-108.89,7.39,-7.39,220.67,-270.44,-110.56,-109.11,233.72,-114,-106,225,-275,-110,-110,-110,-110,220.0,-278.0,-110,-110,-112,-112,230,-295,-113,-110,-115,-105,210,-258,-110,-110,-110.0,-110.0,225,-275,-115,-105,-108.0,-104.0,218.0,-258.0,-107.0,-107.0,-110.0,-110.0,223.0,-265.0,-110.0,-110.0,-112.0,-108.0,215.0,-260.0,-110.0,-110.0,-105.0,-115.0,220.0,-270.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 21:40,b9b4d5f3dfbad29e6a0e3e08fff25a95,Utah Jazz,Philadelphia 76ers,No,1926.0,Yes,West,Northwest,East,Atlantic,-108.44,-111.0,5.33,-5.33,184.56,-222.56,-108.33,-111.44,229.17,-112,-108,188,-225,-106,-114,-110,-110,181.0,-224.0,-110,-110,-108,-115,195,-250,-112,-112,-115,-105,185,-225,-105,-115,-110.0,-110.0,180,-220,-105,-115,-101.0,-111.0,182.0,-209.0,-107.0,-107.0,-105.0,-115.0,180.0,-210.0,-110.0,-110.0,-105.0,-115.0,180.0,-210.0,-110.0,-110.0,-110.0,-110.0,190.0,-230.0,-110.0,-110.0
NBA,2026-03-21 18:24:59,2026-03-21 22:11,d6b73b8b266617c9d9eeba4a6c9bf5f9,Phoenix Suns,Milwaukee Bucks,No,1463.9,Yes,West,Pacific,East,Central,-108.67,-110.89,-11.22,11.22,-578.33,423.44,-109.89,-109.78,216.94,-106,-114,-600,450,-106,-114,-110,-110,-588.0,418.0,-110,-110,-112,-112,-625,430,-110,-113,-105,-115,-575,425,-115,-105,-105.0,-115.0,-600,425,-115,-105,-108.0,-104.0,-542.0,423.0,-105.0,-109.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0,-112.0,-108.0,-550.0,415.0,-108.0,-112.0,-110.0,-110.0,-575.0,400.0,-110.0,-110.0
