League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-23 18:32:57,2026-03-23 19:10,b542245530e737dbd0703796ab0c1257,Detroit Pistons,Los Angeles Lakers,No,1984.4,Yes,East,Central,West,Pacific,-111.56,-107.89,1.28,-1.28,-35.67,-117.44,-110.56,-109.0,225.83,-115,-105,-102,-116,-110,-110,-115,-105,-102,-118,-105,-115,-115.0,-105.0,100.0,-120.0,-115.0,-105.0,-113.0,-110.0,100.0,-122.0,-113.0,-109.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-106.0,-106.0,-103.0,-113.0,-107.0,-107.0,-110.0,-110.0,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,101.0,-123.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 19:10,ee838160ed85754aa11218f7ec3708b0,Orlando Magic,Indiana Pacers,No,820.2,Yes,East,Southeast,East,Central,-86.0,-111.22,-12.11,12.11,-738.11,512.11,-110.89,-108.78,232.56,-110,-110,-560,420,-115,-105,-105,-115,-750,525,-112,-108,100.0,-120.0,-750.0,525.0,-110.0,-110.0,-113.0,-110.0,-835.0,525.0,-113.0,-110.0,-105.0,-115.0,-750.0,534.0,-113.0,-107.0,-106.0,-106.0,-689.0,517.0,-110.0,-104.0,-115.0,-105.0,-800.0,525.0,-105.0,-115.0,-110.0,-110.0,-740.0,520.0,-110.0,-110.0,-110.0,-110.0,-769.0,518.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 19:10,c61d2594de00eb4d12ba96127dc437e5,Miami Heat,San Antonio Spurs,No,1145.9,Yes,East,Southeast,West,Southwest,-109.11,-109.22,3.56,-3.56,139.0,-165.33,-110.56,-109.22,244.28,-110,-110,138,-164,-110,-110,-112,-108,136,-162,-105,-115,-105.0,-105.0,140.0,-170.0,-110.0,-110.0,-115.0,-108.0,140.0,-177.0,-112.0,-112.0,-107.0,-113.0,140.0,-160.0,-113.0,-107.0,-103.0,-109.0,141.0,-160.0,-110.0,-104.0,-110.0,-110.0,140.0,-165.0,-110.0,-110.0,-110.0,-110.0,142.0,-165.0,-115.0,-105.0,-110.0,-110.0,134.0,-165.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 19:10,49b50074de17e9d2082babc6b09b0d97,Philadelphia 76ers,Oklahoma City Thunder,No,1258.6,Yes,East,Atlantic,West,Northwest,-86.67,-110.56,16.22,-16.22,747.89,-1244.89,-110.33,-109.44,226.56,-108,-112,730,-1150,-108,-112,-118,-102,750,-1200,-112,-108,-115.0,-105.0,750.0,-1200.0,-115.0,-105.0,-110.0,-113.0,750.0,-1430.0,-112.0,-112.0,-104.0,-116.0,754.0,-1200.0,-112.0,-108.0,100.0,-112.0,781.0,-1174.0,-109.0,-105.0,-105.0,-115.0,750.0,-1400.0,-105.0,-115.0,-110.0,-110.0,750.0,-1200.0,-110.0,-110.0,-110.0,-110.0,716.0,-1250.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 19:40,9693d8c4274c9eabbcb9ab22fcf44936,Atlanta Hawks,Memphis Grizzlies,No,336.6,Yes,East,Southeast,West,Southwest,-111.44,-108.0,-13.39,13.39,-866.44,576.11,-111.44,-108.33,239.78,-108,-112,-900,610,-114,-106,-110,-110,-850,575,-115,-105,-115.0,-105.0,-900.0,600.0,-115.0,-105.0,-114.0,-109.0,-835.0,510.0,-112.0,-112.0,-115.0,-105.0,-800.0,561.0,-110.0,-110.0,-111.0,-101.0,-786.0,576.0,-107.0,-107.0,-110.0,-110.0,-1000.0,625.0,-110.0,-110.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-927.0,578.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 20:10,20907151ed2de3c55309ff635a0b4f53,Chicago Bulls,Houston Rockets,No,940.2,Yes,East,Central,West,Southwest,-109.67,-109.78,8.89,-8.89,296.33,-377.89,-109.78,-109.89,232.89,-110,-110,275,-340,-114,-106,-118,-102,295,-375,-105,-115,-105.0,-115.0,300.0,-375.0,-110.0,-110.0,-108.0,-115.0,285.0,-385.0,-113.0,-110.0,-110.0,-110.0,296.0,-370.0,-112.0,-108.0,-106.0,-106.0,301.0,-366.0,-109.0,-105.0,-110.0,-110.0,295.0,-390.0,-105.0,-115.0,-110.0,-110.0,320.0,-400.0,-110.0,-110.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 21:10,3791f62ad672c74a9eaaf206188b1696,Utah Jazz,Toronto Raptors,No,1669.8,Yes,West,Northwest,East,Atlantic,-111.78,-107.56,10.06,-10.06,372.0,-496.67,-110.33,-109.44,230.89,-115,-105,380,-490,-114,-106,-115,-105,380,-500,-115,-105,-118.0,-102.0,375.0,-500.0,-105.0,-115.0,-112.0,-110.0,370.0,-530.0,-112.0,-112.0,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,-106.0,-106.0,356.0,-444.0,-107.0,-107.0,-110.0,-110.0,390.0,-550.0,-110.0,-110.0,-110.0,-110.0,355.0,-450.0,-110.0,-110.0,-110.0,-110.0,392.0,-556.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 21:40,d6018addbf422198251c0674270b87f3,Dallas Mavericks,Golden State Warriors,No,1481.0,Yes,West,Southwest,West,Pacific,-109.67,-109.78,1.94,-1.94,104.22,-124.44,-110.44,-109.33,231.5,-114,-106,106,-124,-110,-110,-102,-118,110,-130,-110,-110,-105.0,-115.0,105.0,-125.0,-110.0,-110.0,-109.0,-114.0,106.0,-130.0,-112.0,-112.0,-113.0,-107.0,103.0,-123.0,-110.0,-110.0,-109.0,-103.0,105.0,-121.0,-107.0,-107.0,-115.0,-105.0,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,103.0,-127.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 22:10,3cd97096b11e331414ff5b0b6c515f5c,Portland Trail Blazers,Brooklyn Nets,No,2447.2,Yes,West,Northwest,East,Atlantic,-109.67,-109.78,-15.78,15.78,-1121.11,693.56,-110.22,-109.44,217.83,-112,-108,-1350,810,-110,-110,-115,-105,-1000,650,-108,-112,-110.0,-110.0,-1100.0,675.0,-110.0,-110.0,-109.0,-114.0,-1250.0,700.0,-113.0,-110.0,-110.0,-110.0,-1000.0,661.0,-112.0,-108.0,-106.0,-106.0,-979.0,683.0,-109.0,-105.0,-105.0,-115.0,-1200.0,700.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-1111.0,663.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-23 22:40,9d16ebba2fd9d005cddea05f25e60145,Los Angeles Clippers,Milwaukee Bucks,No,1753.0,Yes,West,Pacific,East,Central,-108.11,-111.33,-13.44,13.44,-814.56,549.67,-109.67,-110.0,220.72,-106,-114,-750,530,-110,-110,-105,-115,-800,550,-105,-115,-110.0,-110.0,-800.0,550.0,-115.0,-105.0,-110.0,-113.0,-910.0,550.0,-110.0,-113.0,-108.0,-112.0,-750.0,534.0,-110.0,-110.0,-104.0,-108.0,-737.0,547.0,-107.0,-107.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0,-110.0,-110.0,-825.0,565.0,-110.0,-110.0,-110.0,-110.0,-909.0,571.0,-110.0,-110.0
NBA,2026-03-23 18:32:57,2026-03-24 19:40,3ffbb865981907829bb58d7f86351ba0,New York Knicks,New Orleans Pelicans,No,1171.4,Yes,East,Atlantic,West,Southwest,-110.0,-110.0,-9.25,9.25,-350.0,280.0,-107.5,-112.5,231.0,-110,-110,-340,275,-110,-110,-110,-110,-360,285,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-23 18:32:57,2026-03-24 23:10,5cc255e5f9f9fefa4cc7e5316e16a519,Phoenix Suns,Denver Nuggets,No,585.4,Yes,West,Pacific,West,Northwest,-109.0,-111.0,5.5,-5.5,180.0,-216.5,-110.0,-110.0,233.0,-108,-112,180,-215,-110,-110,-110,-110,180,-218,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
