League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-24 18:32:10,2026-03-24 19:10,c4901bf9c9ebf81236d22ca4626b5a31,Charlotte Hornets,Sacramento Kings,No,2245.3,Yes,East,Southeast,West,Pacific,-112.56,-107.0,-17.67,17.67,-1858.0,969.67,-110.22,-109.56,232.72,-115,-105,-2000,1040,-112,-108,-115.0,-105.0,-1800.0,1000.0,-112.0,-108.0,-110.0,-110.0,-2000.0,933.0,-110.0,-110.0,-112.0,-112.0,-1667.0,850.0,-112.0,-112.0,-111.0,-101.0,-1755.0,1025.0,-109.0,-105.0,-115.0,-105.0,-1800.0,979.0,-112.0,-108.0,-110.0,-110.0,-1800.0,1000.0,-110.0,-110.0,-110.0,-110.0,-1900.0,900.0,-110.0,-110.0,-115.0,-105.0,-2000.0,1000.0,-105.0,-115.0
NBA,2026-03-24 18:32:10,2026-03-24 19:40,3ffbb865981907829bb58d7f86351ba0,New York Knicks,New Orleans Pelicans,No,1171.4,Yes,East,Atlantic,West,Southwest,-109.67,-109.78,-8.56,8.56,-364.22,285.56,-109.89,-109.67,229.44,-110,-110,-375,300,-110,-110,-112.0,-108.0,-355.0,280.0,-110.0,-110.0,-110.0,-110.0,-357.0,271.0,-110.0,-110.0,-109.0,-114.0,-385.0,285.0,-112.0,-110.0,-106.0,-106.0,-351.0,289.0,-107.0,-107.0,-110.0,-110.0,-355.0,285.0,-110.0,-110.0,-110.0,-110.0,-355.0,285.0,-110.0,-110.0,-110.0,-110.0,-370.0,285.0,-110.0,-110.0,-110.0,-110.0,-375.0,290.0,-110.0,-110.0
NBA,2026-03-24 18:32:10,2026-03-24 20:10,6b03ae1305a70007dbaebefa0c8af0b7,Cleveland Cavaliers,Orlando Magic,No,893.4,Yes,East,Central,East,Southeast,-111.0,-108.56,-10.5,10.5,-463.22,353.11,-110.0,-109.67,230.22,-112,-108,-460,360,-110,-110,-115.0,-105.0,-455.0,350.0,-110.0,-110.0,-110.0,-110.0,-455.0,337.0,-110.0,-110.0,-112.0,-112.0,-500.0,360.0,-113.0,-110.0,-108.0,-104.0,-444.0,356.0,-107.0,-107.0,-112.0,-108.0,-450.0,350.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0,-110.0,-110.0,-480.0,350.0,-110.0,-110.0,-110.0,-110.0,-475.0,360.0,-110.0,-110.0
NBA,2026-03-24 18:32:10,2026-03-24 23:10,5cc255e5f9f9fefa4cc7e5316e16a519,Phoenix Suns,Denver Nuggets,No,585.4,Yes,West,Pacific,West,Northwest,-110.56,-108.89,6.11,-6.11,195.78,-236.89,-110.33,-109.33,232.56,-112,-108,190,-230,-112,-108,-112.0,-108.0,200.0,-245.0,-110.0,-110.0,-110.0,-110.0,195.0,-244.0,-110.0,-110.0,-110.0,-113.0,200.0,-250.0,-109.0,-114.0,-106.0,-106.0,195.0,-228.0,-107.0,-107.0,-110.0,-110.0,192.0,-230.0,-110.0,-110.0,-105.0,-115.0,195.0,-230.0,-110.0,-110.0,-115.0,-105.0,200.0,-240.0,-110.0,-110.0,-115.0,-105.0,195.0,-235.0,-115.0,-105.0
NBA,2026-03-24 18:32:10,2026-03-25 19:10,8aaad66627fe854cc273103047d880e6,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,East,Central,East,Southeast,-112.5,-107.5,-2.5,2.5,-145.0,123.0,-112.5,-107.5,227.0,-115,-105,-148,126,-110,-110,-110.0,-110.0,-142.0,120.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-24 18:32:10,2026-03-25 19:40,277fee894c9dc5c623ed6a131bf513c7,Boston Celtics,Oklahoma City Thunder,No,1495.8,Yes,East,Atlantic,West,Northwest,-113.5,-106.5,3.25,-3.25,133.0,-158.0,-112.5,-107.5,218.0,-112,-108,130,-154,-110,-110,-115.0,-105.0,136.0,-162.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-24 18:32:10,2026-03-25 19:40,bb33d3e33ac233af2a20161310f567f2,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-113.5,-106.5,-3.5,3.5,-166.0,140.0,-110.0,-110.0,242.5,-112,-108,-166,140,-110,-110,-115.0,-105.0,-166.0,140.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-24 18:32:10,2026-03-25 21:40,cf2665074fd82e7b5f2b4393f20afd32,Minnesota Timberwolves,Houston Rockets,No,1056.4,Yes,West,Northwest,West,Southwest,-113.5,-106.5,1.5,-1.5,0.0,-119.0,-106.5,-113.5,222.5,-112,-108,102,-120,-108,-112,-115.0,-105.0,-102.0,-118.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-24 18:32:10,2026-03-25 22:10,63b3c408cf1e55eb8d34aec686038a87,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,West,Northwest,West,Southwest,-108.0,-112.0,-14.0,14.0,-820.0,570.0,-110.0,-110.0,245.5,-108,-112,-820,570,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-24 18:32:10,2026-03-25 22:40,24a4d71edcffcb5584a61d2aa89c66d8,Los Angeles Clippers,Toronto Raptors,No,2184.7,Yes,West,Pacific,East,Atlantic,-107.5,-112.5,-3.75,3.75,-163.5,137.0,-107.5,-112.5,224.5,-110,-110,-172,144,-105,-115,-105.0,-115.0,-155.0,130.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
