League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-25 14:56:32,2026-03-25 19:10,8aaad66627fe854cc273103047d880e6,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,East,Central,East,Southeast,-110.89,-108.56,-2.94,2.94,-153.44,129.0,-111.11,-108.56,228.67,-114,-106,-154,130,-110,-110,-118,-102,-155,130,-115,-105,-110,-110,-152,123,-110,-110,-113,-110,-155,123,-113,-110,-106,-106,-155,136,-107,-107,-110,-110,-155,135,-110,-110,-102,-118,-155,125,-115,-105,-115,-105,-150,130,-110,-110,-110,-110,-150,129,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 19:10,eaf07668d23364ac54cbcf69f4808ba9,Philadelphia 76ers,Chicago Bulls,No,668.1,Yes,East,Atlantic,East,Central,-110.11,-109.33,-6.5,6.5,-242.89,199.44,-110.22,-109.56,240.22,-110,-110,-250,205,-115,-105,-110,-110,-245,200,-108,-112,-110,-110,-244,192,-110,-110,-115,-108,-265,205,-112,-112,-106,-106,-232,198,-107,-107,-110,-110,-235,195,-110,-110,-110,-110,-235,195,-110,-110,-110,-110,-245,205,-110,-110,-110,-110,-235,200,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 19:10,3d71d6b6b1bc85b5ec831ae9dba2c93c,Indiana Pacers,Los Angeles Lakers,No,1811.2,Yes,East,Central,West,Pacific,-110.11,-109.22,9.39,-9.39,368.11,-485.56,-110.22,-109.33,238.06,-108,-112,370,-480,-106,-114,-112,-108,380,-500,-115,-105,-110,-110,382,-526,-110,-110,-110,-112,335,-455,-109,-113,-106,-106,374,-469,-107,-107,-110,-110,367,-475,-110,-110,-110,-110,375,-500,-115,-105,-115,-105,355,-490,-110,-110,-110,-110,375,-475,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 19:40,277fee894c9dc5c623ed6a131bf513c7,Boston Celtics,Oklahoma City Thunder,No,1495.8,Yes,East,Atlantic,West,Northwest,-107.56,-111.89,1.94,-1.94,115.22,-136.89,-110.67,-109.22,218.33,-110,-110,118,-138,-106,-114,-102,-118,114,-135,-110,-110,-110,-110,113,-139,-110,-110,-113,-110,110,-137,-112,-112,-106,-106,117,-133,-113,-102,-110,-110,115,-135,-115,-105,-102,-118,115,-140,-110,-110,-105,-115,120,-140,-110,-110,-110,-110,115,-135,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 19:40,bb33d3e33ac233af2a20161310f567f2,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-111.22,-108.22,-2.5,2.5,-145.67,123.44,-110.56,-109.11,242.94,-110,-110,-146,124,-114,-106,-110,-110,-148,124,-115,-105,-110,-110,-139,114,-110,-110,-114,-109,-139,112,-114,-109,-109,-103,-149,132,-107,-107,-113,-107,-150,130,-110,-110,-110,-110,-150,125,-105,-115,-115,-105,-145,125,-110,-110,-110,-110,-145,125,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 20:10,bcbad64f54906ae96b4be0ef54b453b4,Memphis Grizzlies,San Antonio Spurs,Yes,628.7,Yes,West,Southwest,West,Southwest,-108.67,-110.78,16.5,-16.5,866.22,-1573.11,-110.44,-109.33,233.0,-108,-112,870,-1500,-115,-105,-105,-115,900,-1600,-105,-115,-110,-110,841,-1667,-110,-110,-113,-110,750,-1430,-112,-112,-104,-108,950,-1561,-107,-107,-108,-112,910,-1600,-110,-110,-110,-110,875,-1600,-115,-105,-110,-110,800,-1600,-110,-110,-110,-110,900,-1600,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 21:10,dcd42c163a10db20aa31d9ee311c07bd,Utah Jazz,Washington Wizards,No,1847.5,Yes,West,Northwest,East,Southeast,-110.56,-108.89,-4.06,4.06,-176.44,148.56,-110.56,-109.11,239.06,-110,-110,-180,152,-108,-112,-115,-105,-166,140,-115,-105,-110,-110,-175,143,-110,-110,-109,-114,-182,145,-110,-113,-106,-106,-175,154,-107,-107,-110,-110,-175,153,-110,-110,-115,-105,-180,145,-115,-105,-110,-110,-180,155,-110,-110,-110,-110,-175,150,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 21:40,cf2665074fd82e7b5f2b4393f20afd32,Minnesota Timberwolves,Houston Rockets,No,1056.4,Yes,West,Northwest,West,Southwest,-107.22,-112.22,1.72,-1.72,106.0,-127.33,-109.67,-109.89,223.44,-105,-115,112,-132,-110,-110,-105,-115,105,-125,-110,-110,-110,-110,103,-127,-110,-110,-109,-114,102,-129,-110,-112,-101,-111,107,-123,-107,-107,-105,-115,105,-125,-110,-110,-115,-105,105,-130,-110,-110,-110,-110,110,-130,-110,-110,-105,-115,105,-125,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 22:10,f0853d396988ee8ea615897e136d22cb,Golden State Warriors,Brooklyn Nets,No,2572.5,Yes,West,Pacific,East,Atlantic,-108.78,-110.67,-12.22,12.22,-624.33,450.78,-110.67,-108.89,217.06,-106,-114,-670,490,-112,-108,-105,-115,-625,455,-115,-105,-110,-110,-588,410,-110,-110,-113,-110,-670,450,-112,-110,-108,-104,-591,456,-107,-107,-112,-108,-600,446,-110,-110,-105,-115,-625,450,-110,-110,-110,-110,-650,450,-110,-110,-110,-110,-600,450,-110,-110
NBA,2026-03-25 14:56:32,2026-03-25 22:10,63b3c408cf1e55eb8d34aec686038a87,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,West,Northwest,West,Southwest,-109.78,-109.78,-11.94,11.94,-688.67,488.11,-108.89,-110.78,245.11,-110,-110,-650,480,-108,-112,-118,-102,-675,490,-105,-115,-110,-110,-769,505,-110,-110,-112,-112,-715,475,-110,-113,-106,-106,-664,502,-107,-107,-110,-110,-675,491,-110,-110,-102,-118,-700,500,-110,-110,-110,-110,-650,450,-110,-110,-110,-110,-700,500,-110,-110
