League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-27 14:56:51,2026-03-27 19:10,cfb595cba37696e470059102db23fca9,Indiana Pacers,Los Angeles Clippers,No,1817.9,Yes,East,Central,West,Pacific,-109.33,-110.11,8.78,-8.78,295.33,-379.56,-110.44,-109.22,238.44,-114,-106,300,-375,-114,-106,-110,-113,285,-385,-113,-110,-108,-112,300,-380,-110,-110,-104,-108,301,-366,-107,-107,-108,-112,296,-370,-110,-110,-110,-110,300,-400,-110,-110,-110,-110,295,-370,-110,-110,-110,-110,281,-370,-110,-110,-110,-110,300,-400,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 19:40,9443e4a245659d7362366345b5a91b39,Boston Celtics,Atlanta Hawks,No,936.8,Yes,East,Atlantic,East,Southeast,-113.44,-106.0,-4.56,4.56,-204.33,170.33,-108.67,-110.89,225.39,-110,-110,-210,176,-105,-115,-115,-108,-200,160,-113,-109,-115,-105,-205,170,-108,-112,-111,-101,-200,175,-107,-107,-115,-105,-200,174,-110,-110,-115,-105,-210,170,-110,-110,-115,-105,-200,170,-110,-110,-110,-110,-204,163,-110,-110,-115,-105,-210,175,-105,-115
NBA,2026-03-27 14:56:51,2026-03-27 19:40,5ce07242b2ab7c9c82700854c237a77a,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-109.11,-110.33,-5.5,5.5,-215.22,178.67,-110.44,-109.22,242.89,-108,-112,-205,172,-114,-106,-113,-110,-225,175,-113,-110,-110,-110,-218,180,-115,-105,-106,-106,-209,182,-107,-107,-110,-110,-210,180,-110,-110,-110,-110,-225,185,-105,-115,-110,-110,-208,178,-110,-110,-110,-110,-217,176,-110,-110,-105,-115,-220,180,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 20:10,e1036e62b7cea2b7bade60f85bc0c1b1,Oklahoma City Thunder,Chicago Bulls,No,691.4,Yes,West,Northwest,East,Central,-108.89,-110.56,-18.61,18.61,-2350.0,1088.78,-109.89,-109.78,238.89,-110,-110,-2500,1200,-112,-108,-109,-114,-2500,950,-110,-113,-110,-110,-2100,1100,-105,-115,-106,-106,-2050,1120,-107,-107,-110,-110,-2100,1069,-110,-110,-110,-110,-2500,1150,-115,-105,-110,-110,-2100,1075,-110,-110,-110,-110,-2500,1035,-110,-110,-105,-115,-2800,1100,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 20:10,874b67c6be5c213484fdecdf0e37faf6,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,West,Southwest,West,Southwest,-109.78,-109.67,13.44,-13.44,584.78,-886.44,-110.0,-109.67,227.5,-114,-106,610,-900,-110,-110,-113,-110,525,-835,-113,-110,-110,-110,600,-900,-110,-110,-106,-106,603,-834,-107,-107,-110,-110,586,-850,-110,-110,-110,-110,575,-900,-110,-110,-110,-110,580,-850,-110,-110,-110,-110,609,-1009,-110,-110,-105,-115,575,-900,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 20:40,f2ffa80a1e0d1a911096e80676b07a99,Toronto Raptors,New Orleans Pelicans,No,1113.2,Yes,East,Atlantic,West,Southwest,-109.67,-109.78,-8.61,8.61,-345.67,274.11,-109.44,-110.33,228.11,-108,-112,-360,290,-106,-114,-113,-110,-400,295,-112,-112,-110,-110,-340,270,-115,-105,-106,-106,-336,278,-107,-107,-110,-110,-340,274,-110,-110,-110,-110,-325,260,-105,-115,-110,-110,-325,265,-110,-110,-110,-110,-345,265,-110,-110,-110,-110,-340,270,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 21:10,a2b709618069c3dd7c15f6192c11e93c,Denver Nuggets,Utah Jazz,Yes,371.0,Yes,West,Northwest,West,Northwest,-112.11,-107.33,-18.56,18.56,-2294.78,1063.67,-109.44,-110.22,248.5,-110,-110,-2500,1200,-110,-110,-113,-110,-2000,900,-110,-113,-110,-110,-2100,1100,-108,-112,-111,-101,-2153,1143,-107,-107,-115,-105,-2200,1096,-110,-110,-115,-105,-2500,1050,-110,-110,-110,-110,-2200,1100,-110,-110,-110,-110,-2500,984,-110,-110,-115,-105,-2500,1000,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 22:10,d4d54362306cefaac74ff35c3b020b78,Portland Trail Blazers,Dallas Mavericks,No,1632.1,Yes,West,Northwest,West,Southwest,-110.11,-109.33,-10.39,10.39,-472.67,358.89,-110.0,-109.67,239.89,-110,-110,-460,360,-110,-110,-110,-113,-480,340,-113,-110,-115,-105,-440,340,-110,-110,-106,-106,-464,370,-107,-107,-110,-110,-470,364,-110,-110,-110,-110,-475,360,-110,-110,-110,-110,-470,370,-110,-110,-110,-110,-505,371,-110,-110,-110,-110,-490,355,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 22:10,79aaaf1d88e3174addc5d58bd07e024d,Golden State Warriors,Washington Wizards,No,2440.2,Yes,West,Pacific,East,Southeast,-110.78,-108.67,-14.0,14.0,-986.56,631.89,-109.44,-110.33,232.56,-106,-114,-900,610,-106,-114,-109,-114,-1000,575,-112,-112,-118,-102,-1000,650,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1000,661,-110,-110,-118,-102,-1000,625,-110,-110,-110,-110,-1000,650,-110,-110,-110,-110,-1000,608,-110,-110,-110,-110,-1000,625,-110,-110
NBA,2026-03-27 14:56:51,2026-03-27 22:40,b552edb9183af4efd9e7b1b203525ac0,Los Angeles Lakers,Brooklyn Nets,No,2454.2,Yes,West,Pacific,East,Atlantic,-108.78,-110.67,-16.0,16.0,-1605.33,870.89,-109.22,-110.44,222.56,-108,-112,-1600,900,-106,-114,-110,-113,-1667,800,-110,-113,-112,-108,-1650,950,-110,-110,-101,-111,-1464,910,-107,-107,-105,-115,-1500,874,-110,-110,-118,-102,-1600,875,-110,-110,-110,-110,-1500,850,-110,-110,-110,-110,-1667,829,-110,-110,-105,-115,-1800,850,-110,-110
