League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-30 18:35:49,2026-03-30 19:10,2ba4ff0cef51aafdf9c5509533b14091,Miami Heat,Philadelphia 76ers,No,1015.4,Yes,East,Southeast,East,Atlantic,-109.22,-110.33,2.17,-2.17,113.67,-135.0,-109.22,-110.67,242.83,-110,-110,116,-136,-115,-105,-115.0,-105.0,120.0,-142.0,-112.0,-108.0,-112.0,-112.0,105.0,-130.0,-112.0,-112.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-101.0,-111.0,117.0,-133.0,-103.0,-112.0,-105.0,-115.0,115.0,-135.0,-106.0,-114.0,-105.0,-115.0,115.0,-135.0,-110.0,-110.0,-115.0,-105.0,115.0,-140.0,-105.0,-115.0,-110.0,-110.0,110.0,-134.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 19:40,6faf1f26b1e369d008c889f78e15732b,Atlanta Hawks,Boston Celtics,No,936.8,Yes,East,Southeast,East,Atlantic,-108.56,-109.67,-2.5,2.5,-139.89,117.89,-109.56,-110.11,225.17,-106,-114,-136,116,-110,-110,-110.0,-110.0,-142.0,120.0,-105.0,-115.0,-114.0,-108.0,-143.0,116.0,-113.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-104.0,-108.0,-135.0,119.0,-110.0,-104.0,-108.0,-112.0,-137.0,117.0,-113.0,-107.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-105.0,-105.0,-145.0,118.0,-105.0,-115.0,-110.0,-110.0,-141.0,115.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 20:10,99052db19c4b4026e439fcc94cd4f6e8,San Antonio Spurs,Chicago Bulls,No,1048.8,Yes,West,Southwest,East,Central,-108.78,-110.56,-18.44,18.44,-2339.22,1083.44,-110.0,-109.67,245.56,-112,-108,-3500,1400,-110,-110,-108.0,-112.0,-1800.0,1000.0,-110.0,-110.0,-109.0,-113.0,-2000.0,900.0,-113.0,-110.0,-110.0,-110.0,-2200.0,1000.0,-110.0,-110.0,-103.0,-109.0,-2153.0,1143.0,-107.0,-107.0,-107.0,-113.0,-2200.0,1096.0,-110.0,-110.0,-110.0,-110.0,-2200.0,1100.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1100.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1012.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 20:10,7d18651bc9124e2b06c6ffbc3af06ee6,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,West,Southwest,West,Pacific,-108.56,-110.89,12.56,-12.56,516.89,-741.44,-109.78,-109.89,228.44,-106,-114,560,-800,-108,-112,-108.0,-112.0,525.0,-750.0,-105.0,-115.0,-115.0,-108.0,475.0,-715.0,-113.0,-110.0,-115.0,-105.0,525.0,-800.0,-110.0,-110.0,-102.0,-110.0,517.0,-689.0,-107.0,-107.0,-106.0,-114.0,505.0,-700.0,-110.0,-110.0,-105.0,-115.0,500.0,-700.0,-110.0,-110.0,-110.0,-110.0,525.0,-750.0,-115.0,-105.0,-110.0,-110.0,520.0,-769.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 20:40,529b588f29593d9353dc633d814bc188,Dallas Mavericks,Minnesota Timberwolves,No,861.9,Yes,West,Southwest,West,Northwest,-111.67,-107.78,8.11,-8.11,250.11,-312.78,-110.67,-108.89,235.61,-110,-110,250,-310,-114,-106,-118.0,-102.0,250.0,-310.0,-112.0,-108.0,-115.0,-108.0,245.0,-335.0,-113.0,-109.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-105.0,-107.0,256.0,-307.0,-107.0,-107.0,-109.0,-111.0,252.0,-310.0,-110.0,-110.0,-110.0,-110.0,255.0,-310.0,-110.0,-110.0,-118.0,-102.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,243.0,-313.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 21:10,2d048fe85c2360eaad38501d77dd41e4,Utah Jazz,Cleveland Cavaliers,No,1569.1,Yes,West,Northwest,East,Central,-109.67,-109.89,16.72,-16.72,890.67,-1628.67,-110.33,-109.33,241.44,-114,-106,980,-1800,-110,-110,-110.0,-110.0,900.0,-1600.0,-108.0,-112.0,-112.0,-112.0,750.0,-1430.0,-113.0,-110.0,-105.0,-115.0,850.0,-1800.0,-115.0,-105.0,-106.0,-106.0,950.0,-1561.0,-107.0,-107.0,-110.0,-110.0,910.0,-1600.0,-110.0,-110.0,-110.0,-110.0,900.0,-1600.0,-110.0,-110.0,-110.0,-110.0,900.0,-1600.0,-110.0,-110.0,-110.0,-110.0,876.0,-1667.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 21:40,e3266348b9f8e04ffa8ca5bbe8e55265,Oklahoma City Thunder,Detroit Pistons,No,910.6,Yes,West,Northwest,East,Central,-109.56,-109.89,-11.94,11.94,-640.78,460.78,-111.11,-108.56,216.5,-110,-110,-600,450,-114,-106,-115.0,-105.0,-675.0,490.0,-112.0,-108.0,-113.0,-110.0,-625.0,425.0,-113.0,-110.0,-110.0,-110.0,-650.0,450.0,-110.0,-110.0,-106.0,-106.0,-620.0,475.0,-109.0,-105.0,-110.0,-110.0,-630.0,464.0,-112.0,-108.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-102.0,-118.0,-650.0,475.0,-110.0,-110.0,-110.0,-110.0,-667.0,443.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-30 22:10,7bab999d0c94806e44c5de1d60333079,Los Angeles Lakers,Washington Wizards,No,2301.6,Yes,West,Pacific,East,Southeast,-110.44,-109.0,-16.22,16.22,-1614.78,875.67,-110.44,-109.22,235.94,-110,-110,-1800,980,-112,-108,-108.0,-112.0,-1600.0,900.0,-108.0,-112.0,-110.0,-113.0,-1430.0,750.0,-113.0,-110.0,-110.0,-110.0,-1600.0,800.0,-110.0,-110.0,-111.0,-101.0,-1464.0,910.0,-109.0,-105.0,-115.0,-105.0,-1500.0,874.0,-112.0,-108.0,-110.0,-110.0,-1500.0,850.0,-110.0,-110.0,-110.0,-110.0,-1600.0,850.0,-110.0,-110.0,-110.0,-110.0,-2039.0,967.0,-110.0,-110.0
NBA,2026-03-30 18:35:49,2026-03-31 19:40,5821188b8c12a7b49e0f069e3974e502,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,East,Atlantic,East,Southeast,-112.0,-108.0,16.5,-16.5,900.0,-1600.0,-105.0,-115.0,218.5,-112,-108,900,-1600,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-30 18:35:49,2026-03-31 20:10,0fee871b4f5cc68f4c933d5eb56d25c8,Houston Rockets,New York Knicks,No,1420.7,Yes,West,Southwest,East,Atlantic,-115.0,-105.0,1.25,-1.25,-106.0,-112.0,-112.0,-108.0,219.0,-112,-108,-104,-112,-114,-106,-118.0,-102.0,-108.0,-112.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
