League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-04 06:29:28,2026-04-04 15:10,53273367f28e360f2e7814dd06e29a24,Denver Nuggets,San Antonio Spurs,No,803.4,No,West,Northwest,West,Southwest,-110.22,-109.33,2.06,-2.06,111.56,-132.67,-109.89,-109.78,242.67,-110,-110,112,-132,-112,-108,-110.0,-110.0,107.0,-130.0,-110.0,-110.0,-118,-102,114,-135,-110,-110,-112.0,-112.0,105.0,-130.0,-110.0,-113.0,-108.0,-104.0,114.0,-130.0,-107.0,-107.0,-112.0,-108.0,112.0,-132.0,-110.0,-110.0,-102.0,-118.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2026-04-04 06:29:28,2026-04-04 15:10,b146607a8fe26fe467294dfdbaa0ff2b,Miami Heat,Washington Wizards,Yes,922.4,No,East,Southeast,East,Southeast,-112.44,-62.56,-17.33,17.33,-2239.22,1062.11,-109.89,-109.89,248.22,-108,-112,-2200,1100,-112,-108,-110.0,-110.0,-2500.0,1005.0,-110.0,-110.0,-112,-108,-2100,1100,-108,-112,-110.0,-113.0,-2000.0,900.0,-112.0,-112.0,-114.0,102.0,-2253.0,1163.0,-107.0,-107.0,-118.0,-102.0,-2300.0,1116.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1100.0,-110.0,-110.0,-110.0,-110.0,-2000.0,950.0,-110.0,-110.0,-120.0,100.0,-2300.0,1125.0,-110.0,-110.0
NBA,2026-04-04 06:29:28,2026-04-04 19:10,dc7b446ad8c325394b7d604d3e17ad7b,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,East,Atlantic,East,Central,-107.78,-111.67,2.44,-2.44,118.22,-140.33,-110.33,-109.33,227.61,-106,-114,118,-138,-110,-110,-110.0,-110.0,113.0,-139.0,-110.0,-110.0,-108,-112,120,-142,-105,-115,-110.0,-113.0,114.0,-141.0,-110.0,-112.0,-101.0,-111.0,124.0,-141.0,-113.0,-102.0,-105.0,-115.0,122.0,-142.0,-115.0,-105.0,-110.0,-110.0,118.0,-145.0,-105.0,-115.0,-115.0,-105.0,115.0,-135.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-115.0,-105.0
NBA,2026-04-04 06:29:28,2026-04-05 15:40,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,Yes,430.3,No,East,Atlantic,East,Atlantic,-110.0,-110.0,-9.5,9.5,-400.0,315.0,-111.0,-109.0,220.5,-110,-110,-405,320,-112,-108,,,,,,,-110,-110,-395,310,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 15:40,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,No,1452.0,No,East,Central,West,Pacific,-108.0,-112.0,10.25,-10.25,380.0,-500.0,-111.0,-109.0,235.0,-106,-114,370,-480,-112,-108,,,,,,,-110,-110,390,-520,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 19:10,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,No,939.7,Yes,West,Northwest,East,Southeast,-107.5,-112.5,-1.5,1.5,-120.5,1.5,-109.0,-111.0,229.0,-110,-110,-126,108,-108,-112,,,,,,,-105,-115,-115,-105,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 19:10,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,No,534.1,Yes,West,Southwest,East,Southeast,-111.0,-109.0,3.25,-3.25,131.0,-155.0,-109.0,-111.0,235.0,-112,-108,126,-148,-108,-112,,,,,,,-110,-110,136,-162,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 19:10,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,West,Northwest,West,Northwest,-110.0,-110.0,-21.5,21.5,-3750.0,1500.0,-111.0,-109.0,239.0,-110,-110,-3000,1300,-112,-108,,,,,,,-110,-110,-4500,1700,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 19:40,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,No,1240.8,Yes,West,Southwest,West,Pacific,-110.0,-110.0,6.5,-6.5,212.5,-260.0,-110.0,-110.0,235.5,-110,-110,220,-270,-110,-110,,,,,,,-110,-110,205,-250,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 21:10,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,Yes,365.7,Yes,West,Pacific,West,Pacific,-106.5,-113.5,11.5,-11.5,472.5,-637.5,-110.0,-110.0,231.0,-108,-112,490,-650,-110,-110,,,,,,,-105,-115,455,-625,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 06:29:28,2026-04-05 22:10,8516988340b00d09278e04abd65885ad,Golden State Warriors,Houston Rockets,No,1643.9,Yes,West,Pacific,West,Southwest,-110.0,-110.0,3.75,-3.75,134.0,-159.5,-111.0,-109.0,223.5,-110,-110,138,-164,-112,-108,,,,,,,-110,-110,130,-155,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
