League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-04-04 18:30:05,2026-04-04 19:10,dc7b446ad8c325394b7d604d3e17ad7b,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,East,Atlantic,East,Central,-111.33,-84.67,4.17,-4.17,144.67,-172.33,-110.78,-109.78,225.94,-114,-106,148,-176,-110,-110,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-118,-102,142,-170,-108,-112,-110.0,100.0,145.0,-175.0,-118.0,-110.0,-114.0,-108.0,135.0,-175.0,-114.0,-109.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,142.0,-175.0,-110.0,-110.0
NBA,2026-04-04 18:30:05,2026-04-05 15:40,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,Yes,430.3,No,East,Atlantic,East,Atlantic,-110.0,-109.0,-9.9,9.9,-457.5,345.0,-110.0,-109.5,221.17,-110,-110,-460,360,-112,-108,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-115,-105,-440,340,-108,-112,,,-450.0,340.0,-110.0,-110.0,-109.0,-114.0,-480.0,340.0,-113.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 15:40,c1b3d187f022b0870bfa7128e1d02ae5,Brooklyn Nets,Washington Wizards,No,203.5,No,East,Atlantic,East,Southeast,-110.0,-110.0,-4.5,4.5,-185.5,155.0,-110.0,-110.0,230.5,-110,-110,-186,156,-110,-110,,,,,,,,,,,,,-110,-110,-185,154,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 15:40,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,No,1452.0,No,East,Central,West,Pacific,-111.5,-107.67,9.83,-9.83,373.75,-497.5,-107.83,-111.67,236.92,-110,-110,400,-520,-108,-112,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-108,-112,360,-470,-108,-112,-110.0,-110.0,375.0,-500.0,-105.0,-115.0,-115.0,-108.0,360.0,-500.0,-109.0,-114.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 18:10,4f3d29a0317850ac56b0c6db31223705,Cleveland Cavaliers,Indiana Pacers,Yes,263.5,No,East,Central,East,Central,-112.0,-108.0,-17.5,17.5,-2300.0,1150.0,-112.0,-108.0,237.5,-114,-106,-2500,1200,-114,-106,,,,,,,,,,,,,-110,-110,-2100,1100,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 19:10,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,No,939.7,Yes,West,Northwest,East,Southeast,-108.83,-110.5,-1.42,1.42,-118.75,-1.75,-110.17,-109.33,226.75,-110,-110,-116,-102,-112,-108,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-105,-115,-115,-105,-112,-108,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-112.0,-112.0,-124.0,100.0,-110.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 19:10,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,No,534.1,Yes,West,Southwest,East,Southeast,-108.33,-110.83,4.17,-4.17,141.5,-171.25,-109.17,-110.33,235.5,-112,-108,154,-184,-110,-110,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-112,-108,140,-166,-108,-112,-110.0,-110.0,140.0,-170.0,-110.0,-110.0,-110.0,-113.0,132.0,-165.0,-110.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 19:10,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,West,Northwest,West,Northwest,-109.33,-109.83,-21.5,21.5,-5333.75,1475.0,-109.83,-109.67,239.0,-110,-110,-3000,1300,-112,-108,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110,-110,-5000,1800,-110,-110,-110.0,-110.0,-10000.0,1650.0,-110.0,-110.0,-110.0,-113.0,-3335.0,1150.0,-110.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 19:40,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,No,1240.8,Yes,West,Southwest,West,Pacific,-110.0,-111.33,3.5,-3.5,142.25,-173.0,-109.5,-111.25,233.0,-110,-110,136,-162,-110,-110,,,,,,,,,,,,,-108,-112,145,-175,-108,-112,,,145.0,-175.0,-110.0,-110.0,-112.0,-112.0,143.0,-180.0,-110.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 18:30:05,2026-04-05 21:10,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,Yes,365.7,Yes,West,Pacific,West,Pacific,-105.67,-113.5,11.5,-11.5,452.5,-636.25,-109.83,-109.83,229.5,-108,-112,480,-650,-110,-110,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105,-115,440,-600,-110,-110,-105.0,-115.0,450.0,-625.0,-110.0,-110.0,-110.0,-113.0,440.0,-670.0,-112.0,-112.0,,,,,,,,,,,,,,,,,,
