League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
NBA,2026-04-07 06:52:11,2026-04-07 19:10,9f4ac4d421b28dcb2764f555eb8a8f0c,Washington Wizards,Chicago Bulls,No,598.0,Yes,East,Southeast,East,Central,-110.67,-110.0,6.25,-6.25,198.5,-246.83,-109.83,-110.67,249.58,-110,-110,200,-245,-106,-114,-112,-108,205,-250,-115,-105,-112,-112,190,-245,-113,-110,-110,-110,200,-250,-105,-115,-110,-110,201,-256,-110,-110,-110.0,-110.0,195.0,-235.0,-110,-110,,,,,,,,,,,,,,,,,,
NBA,2026-04-07 06:52:11,2026-04-07 19:10,be5171067867c61067c779345515c72d,Indiana Pacers,Minnesota Timberwolves,No,511.9,Yes,East,Central,West,Northwest,-109.29,-111.14,12.5,-12.5,526.67,-783.83,-110.71,-109.71,231.36,-106,-114,530,-750,-110,-110,-110,-110,550,-800,-112,-108,-109,-114,500,-770,-113,-110,-110,-110,550,-800,-110,-110,-110,-110,530,-833,-110,-110,-110.0,-110.0,500.0,-750.0,-110,-110,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-04-07 06:52:11,2026-04-07 19:40,d669fae8ce6b2ba2ca97fb61dc09e2ce,Brooklyn Nets,Milwaukee Bucks,No,736.6,Yes,East,Atlantic,East,Central,-110.17,-110.33,2.08,-2.08,116.0,-140.0,-110.33,-110.17,220.58,-106,-114,120,-142,-110,-110,-115,-105,120,-142,-112,-108,-110,-113,107,-134,-110,-113,-115,-105,118,-145,-110,-110,-110,-110,116,-142,-110,-110,-105.0,-115.0,115.0,-135.0,-110,-110,,,,,,,,,,,,,,,,,,
NBA,2026-04-07 06:52:11,2026-04-07 19:40,9aaa887e3f4a853902d6613072b2f35b,Toronto Raptors,Miami Heat,No,1232.1,Yes,East,Atlantic,East,Southeast,-86.44,-110.67,-1.28,1.28,-119.89,77.89,-111.44,-108.33,239.39,-114,-106,-120,102,-110,-110,100,-120,-120,100,-110,-110,-113,-109,-125,102,-110,-113,-105,-115,-120,100,-110,-110,-110,-110,-116,-105,-110,-110,-110.0,-110.0,-120.0,100.0,-110,-110,-110.0,-110.0,-120.0,100.0,-115.0,-105.0,-110.0,-110.0,-120.0,100.0,-115.0,-105.0,-106.0,-106.0,-118.0,102.0,-113.0,-102.0
NBA,2026-04-07 06:52:11,2026-04-07 20:10,96d26f7a098eba89636e1a99c7c79d8d,Boston Celtics,Charlotte Hornets,No,721.0,Yes,East,Atlantic,East,Southeast,-106.67,-112.78,-5.44,5.44,-223.44,184.67,-108.44,-111.33,220.0,-110,-110,-220,184,-112,-108,-105,-115,-225,185,-112,-108,-109,-114,-210,165,-110,-113,-105,-115,-225,185,-110,-110,-110,-110,-213,171,-110,-110,-110.0,-110.0,-230.0,190.0,-110,-110,-105.0,-115.0,-230.0,195.0,-105.0,-115.0,-105.0,-115.0,-230.0,192.0,-105.0,-115.0,-101.0,-111.0,-228.0,195.0,-102.0,-113.0
NBA,2026-04-07 06:52:11,2026-04-07 20:10,24016853f9722af6d4829341d7ae4d81,New Orleans Pelicans,Utah Jazz,No,1434.3,Yes,West,Southwest,West,Northwest,-110.29,-110.29,-11.57,11.57,-612.5,435.83,-109.43,-111.14,242.21,-110,-110,-560,420,-114,-106,-110,-110,-625,455,-105,-115,-112,-112,-590,410,-112,-112,-110,-110,-625,450,-105,-115,-110,-110,-625,430,-110,-110,-110.0,-110.0,-650.0,450.0,-110,-110,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-04-07 06:52:11,2026-04-07 22:10,74efed6fa8060207aa1784a960c6141c,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,West,Pacific,West,Pacific,-110.71,-109.71,-15.43,15.43,-1143.5,691.33,-110.29,-110.29,234.36,-110,-110,-950,640,-110,-110,-110,-110,-1200,750,-110,-110,-110,-113,-1000,600,-112,-112,-110,-110,-1400,800,-110,-110,-110,-110,-1111,658,-110,-110,-115.0,-105.0,-1200.0,700.0,-110,-110,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-04-07 06:52:11,2026-04-07 22:40,3133467540e08b88d68625ed9e975399,Los Angeles Clippers,Dallas Mavericks,No,1245.2,Yes,West,Pacific,West,Southwest,-112.11,-107.33,-11.39,11.39,-578.89,423.78,-110.0,-109.67,237.44,-110,-110,-550,410,-110,-110,-110,-110,-575,425,-110,-110,-113,-110,-530,375,-113,-110,-110,-110,-625,450,-110,-110,-110,-110,-588,413,-110,-110,-115.0,-105.0,-625.0,430.0,-110,-110,-115.0,-105.0,-575.0,440.0,-110.0,-110.0,-115.0,-105.0,-575.0,431.0,-110.0,-110.0,-111.0,-101.0,-567.0,440.0,-107.0,-107.0
NBA,2026-04-07 06:52:11,2026-04-07 22:40,01f002eb30dfd24045740d4fbf68207e,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-107.33,-112.11,16.61,-16.61,1032.78,-2144.78,-109.0,-110.67,223.33,-106,-114,1100,-2200,-108,-112,-105,-115,1100,-2100,-108,-112,-114,-109,850,-2000,-113,-110,-105,-115,1050,-2500,-105,-115,-110,-110,936,-2000,-110,-110,-115.0,-105.0,850.0,-1800.0,-110,-110,-105.0,-115.0,1150.0,-2250.0,-110.0,-110.0,-105.0,-115.0,1106.0,-2250.0,-110.0,-110.0,-101.0,-111.0,1153.0,-2203.0,-107.0,-107.0
NBA,2026-04-07 06:52:11,2026-04-07 23:10,6ec00d2267f0fe20067d4e2363a17162,Phoenix Suns,Houston Rockets,No,1016.4,Yes,West,Pacific,West,Southwest,-81.88,-112.5,-0.75,0.75,-116.4,-104.4,-113.22,-62.11,220.44,-108,-112,-116,-102,-110,-110,-102,-118,-115,-105,-110,-110,-114,-109,-121,-104,-110,-113,105,-125,-115,-105,-115,-105,-110,-110,-115,-106,-110,-110,,,,,-110,-110,-110.0,-110.0,,,-120.0,100.0,-110.0,-110.0,,,-118.0,-102.0,-106.0,-106.0,,,-116.0,101.0
