League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-10 06:50:26,2026-04-10 19:10,70a2274c4f82c7a3f37879b7edf0cfa4,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,East,Southeast,East,Central,-112.11,-107.33,-7.94,7.94,-319.44,256.0,-110.44,-109.22,233.5,-114,-106,-300,245,-114,-106,-105,-115,-325,260,-110,-110,-114,-109,-305,230,-113,-110,-111,-101,-327,271,-107,-107,-115,-105,-330,267,-110,-110,-110,-110,-325,260,-110,-110,-110,-110,-323,246,-110,-110,-115,-105,-310,255,-110,-110,-115.0,-105.0,-330.0,270.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 19:10,1126b937945abff19e12dc1ac60f2ecb,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-110.33,-109.11,-4.17,4.17,-173.44,146.22,-111.0,-108.67,223.89,-114,-106,-176,148,-110,-110,-108,-112,-170,142,-108,-112,-115,-108,-180,143,-113,-109,-111,-101,-170,150,-113,-102,-115,-105,-170,149,-115,-105,-105,-115,-175,145,-110,-110,-110,-110,-175,143,-110,-110,-105,-115,-175,150,-110,-110,-110.0,-110.0,-170.0,146.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 19:10,f47d78a747510d6ef00500f74872372d,Washington Wizards,Miami Heat,Yes,922.4,Yes,East,Southeast,East,Southeast,-112.67,-106.78,18.22,-18.22,973.0,-1902.38,-110.0,-109.56,249.44,-110,-110,1040,-2000,-108,-112,-115,-105,1000,-1800,-110,-110,-113,-110,800,-1667,-110,-112,-111,-101,1059,-1852,-107,-107,-115,-105,1011,-1900,-110,-110,-115,-105,1000,-2000,-115,-105,-110,-110,924,-2000,-110,-110,-110,-110,950,-2000,-110,-110,-115.0,-105.0,,,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 19:40,80adae4b4459f5602f7500d94892f2a5,Boston Celtics,New Orleans Pelicans,No,1359.7,Yes,East,Atlantic,West,Southwest,-113.33,-39.44,-16.67,16.67,-1502.78,847.56,-109.44,-109.67,224.06,-114,-106,-1500,870,-114,-106,-115,-105,-1450,850,-110,-110,-110,-113,-1430,750,-109,-114,-116,104,-1416,891,-107,-107,-120,100,-1450,856,-110,-110,-105,-115,-1600,900,-110,-105,-110,-110,-1429,786,-110,-110,-110,-110,-1800,850,-105,-115,-120.0,100.0,-1450.0,875.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 19:40,4398234154ac742bd22d689c8d4bf956,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-110.56,-108.89,15.5,-15.5,750.78,-1257.78,-109.56,-110.11,234.67,-110,-110,810,-1350,-106,-114,-105,-115,800,-1350,-110,-110,-114,-109,600,-1000,-113,-110,-111,-101,826,-1270,-107,-107,-115,-105,795,-1300,-110,-110,-105,-115,775,-1400,-110,-110,-110,-110,721,-1250,-110,-110,-110,-110,650,-1100,-110,-110,-115.0,-105.0,780.0,-1300.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 19:40,39083e08e7959b0ec516933d574379cd,New York Knicks,Toronto Raptors,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-108.22,-111.22,-6.61,6.61,-263.22,215.33,-111.56,-108.22,219.67,-110,-110,-270,220,-114,-106,-110,-110,-265,215,-110,-110,-113,-110,-250,195,-112,-112,-101,-111,-263,222,-110,-104,-105,-115,-265,219,-113,-107,-110,-110,-275,225,-110,-110,-110,-110,-256,204,-110,-110,-110,-110,-260,215,-110,-110,-105.0,-115.0,-265.0,223.0,-115.0,-105.0
NBA,2026-04-10 06:50:26,2026-04-10 20:10,d463e0aa51436ff32f8ee83d6d3893a8,Milwaukee Bucks,Brooklyn Nets,No,736.6,Yes,East,Central,East,Atlantic,-110.67,-108.78,-9.56,9.56,-472.22,358.33,-109.89,-109.89,218.78,-115,-105,-450,350,-110,-110,-110,-110,-485,370,-105,-115,-115,-108,-435,310,-112,-112,-106,-106,-474,377,-107,-107,-110,-110,-480,370,-110,-110,-110,-110,-500,375,-115,-105,-110,-110,-476,350,-110,-110,-110,-110,-470,345,-110,-110,-110.0,-110.0,-480.0,378.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 20:10,ebbf0d3885094991ff36055e753635a3,Chicago Bulls,Orlando Magic,No,985.5,Yes,East,Central,East,Southeast,-108.33,-111.11,14.78,-14.78,661.89,-1050.56,-110.0,-109.67,242.44,-106,-114,700,-1100,-110,-110,-105,-115,675,-1050,-110,-110,-113,-110,600,-1115,-113,-110,-106,-106,683,-979,-107,-107,-110,-110,661,-1000,-110,-110,-105,-115,700,-1100,-110,-110,-110,-110,663,-1111,-110,-110,-110,-110,625,-1000,-110,-110,-110.0,-110.0,650.0,-1000.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 20:10,51aa38f3acd638a314975c61ab16a862,San Antonio Spurs,Dallas Mavericks,Yes,251.0,Yes,West,Southwest,West,Southwest,-111.33,-108.11,-17.33,17.33,-1737.44,917.89,-109.67,-110.0,236.44,-110,-110,-1500,870,-110,-110,-108,-112,-1650,950,-110,-110,-113,-110,-1430,750,-110,-113,-111,-101,-1657,989,-107,-107,-115,-105,-1700,945,-110,-110,-110,-110,-2000,950,-110,-110,-110,-110,-2000,907,-110,-110,-110,-110,-2000,950,-110,-110,-115.0,-105.0,-1700.0,950.0,-110.0,-110.0
NBA,2026-04-10 06:50:26,2026-04-10 21:10,11fa8c6f7710a287909a9765aa925cce,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-108.5,-110.88,-11.5,11.5,-572.5,415.62,-111.25,-108.38,231.5,-108,-112,-550,410,-114,-106,-105,-115,-575,425,-110,-110,-109,-114,-560,390,-114,-109,-106,-106,-557,433,-107,-107,-110,-110,-565,425,-110,-110,-110,-110,-600,425,-110,-110,-110,-110,-588,407,-110,-110,-110,-110,-585,410,-115,-105,,,,,,
