League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-04-11 18:32:31,2026-04-12 18:10,22dcb3e32847c7eab5774e8927016216,Miami Heat,Atlanta Hawks,Yes,604.6,No,East,Southeast,East,Southeast,-108.33,-110.83,-0.67,0.67,-61.75,-59.0,-110.17,-109.5,241.5,-110,-110,-118,100,-112,-108,-105,-115,-115,-105,-110,-110,-109,-114,-114,-109,-112,-112,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 18:10,f78d40af453b24c39e18559579894d14,Boston Celtics,Orlando Magic,No,1115.0,No,East,Atlantic,East,Southeast,-112.0,-108.75,10.88,-10.88,439.75,-612.0,-110.5,-110.5,216.25,-114,-106,460,-620,-110,-110,-115,-105,470,-650,-110,-110,-109,-114,410,-590,-112,-112,,,,,,,,,,,,,-110.0,-110.0,419.0,-588.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 18:10,d55bfef33abc5dc6dba0717236d0ee80,Toronto Raptors,Brooklyn Nets,Yes,344.5,No,East,Atlantic,East,Atlantic,-112.33,-73.33,-20.58,20.58,-3708.75,1356.75,-109.5,-110.0,217.5,-110,-110,-4500,1600,-110,-110,-110,-110,-4500,1700,-110,-110,-110,-112,-3335,1100,-110,-113,-115.0,103.0,,,-107.0,-107.0,-119.0,-101.0,,,-110.0,-110.0,-110.0,-110.0,-2500.0,1027.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 18:10,38b10a0526d5b246097a502269bcdf71,New York Knicks,Charlotte Hornets,No,533.4,No,East,Atlantic,East,Southeast,-107.67,-111.5,11.25,-11.25,416.75,-572.75,-109.83,-109.83,214.33,-110,-110,450,-600,-110,-110,-110,-110,425,-575,-110,-110,-110,-113,410,-590,-112,-112,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,382.0,-526.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 18:10,ad75b36adad0af42dea87b9bcdfa91f8,Cleveland Cavaliers,Washington Wizards,No,305.1,No,East,Central,East,Southeast,-111.33,-108.0,-13.0,13.0,-848.25,555.5,-109.83,-109.67,235.58,-110,-110,-800,560,-110,-110,-110,-110,-850,575,-112,-108,-112,-112,-910,550,-110,-113,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,-110.0,-833.0,537.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 18:10,4675acfb68965858aa571a0493a222da,Indiana Pacers,Detroit Pistons,Yes,240.5,No,East,Central,East,Central,-107.29,-112.14,12.21,-12.21,495.2,-720.8,-110.0,-109.57,228.86,-106,-114,490,-670,-110,-110,-105,-115,470,-650,-105,-115,-112,-112,450,-670,-113,-110,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,491.0,-714.0,-110.0,-110.0,-102.0,-118.0,575.0,-900.0,-115.0,-105.0
NBA,2026-04-11 18:32:31,2026-04-12 18:10,23c66e71d25675800d939e532e38bcd2,Philadelphia 76ers,Milwaukee Bucks,No,695.4,No,East,Atlantic,East,Central,-109.71,-109.71,-16.0,16.0,-1200.0,715.8,-109.57,-110.0,227.57,-110,-110,-1200,750,-110,-110,-115,-105,-1200,750,-110,-110,-112,-112,-1250,700,-110,-113,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-1250.0,679.0,-110.0,-110.0,-105.0,-115.0,-1100.0,700.0,-110.0,-110.0
NBA,2026-04-11 18:32:31,2026-04-12 20:40,c8cde1aa908581185caf0bb87659055a,Dallas Mavericks,Chicago Bulls,No,802.8,Yes,West,Southwest,East,Central,-110.29,-109.14,-6.71,6.71,-294.4,233.8,-109.86,-109.86,244.79,-114,-106,-280,230,-110,-110,-112,-108,-298,240,-110,-110,-112,-112,-275,210,-112,-112,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,-294.0,229.0,-110.0,-110.0,-118.0,-102.0,-325.0,260.0,-110.0,-110.0
NBA,2026-04-11 18:32:31,2026-04-12 20:40,09604d4c311c1eb2215317d12154f42a,San Antonio Spurs,Denver Nuggets,No,803.4,Yes,West,Southwest,West,Northwest,-111.0,-109.75,-9.25,9.25,-381.75,295.25,-110.0,-110.75,234.62,-110,-110,-390,310,-110,-110,-110,-110,-380,300,-110,-110,-114,-109,-400,295,-110,-113,,,,,,,,,,,,,-110.0,-110.0,-357.0,276.0,-110.0,-110.0,,,,,,
NBA,2026-04-11 18:32:31,2026-04-12 20:40,06ccc7d0ba2acaf031c7d42eea09672c,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,West,Pacific,West,Pacific,-111.86,-107.57,-8.79,8.79,-358.0,278.6,-109.43,-110.14,225.14,-110,-110,-355,285,-110,-110,-110,-110,-355,280,-110,-110,-112,-112,-345,265,-114,-109,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,-110.0,-385.0,288.0,-110.0,-110.0,-115.0,-105.0,-350.0,275.0,-105.0,-115.0
