Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
2025-10-06 14:24:58,2025-10-06 20:16,Jacksonville Jaguars,Kansas City Chiefs,No,945.3,Yes,-110.56,-109.11,167.11,-199.78,-110.11,-109.89,-110,-110,164,-198,-112,-108,-110.0,-110.0,167.0,-195.0,-110.0,-110.0,-118,-104,160,-190,-110,-110,-110,-110,165,-206,-110,-110,-106,-104,175.0,-202.0,-107,-107,-108,-112,175.0,-202.0,-110,-110,-113,-112,163,-205,-112,-114,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-110,-110,165,-200,-110,-110
2025-10-06 14:24:58,2025-10-09 20:15,New York Giants,Philadelphia Eagles,Yes,85.4,Yes,-89.22,-85.78,303.33,-396.67,-109.0,-111.11,100,-120,310,-395,-110,-110,-115.0,-105.0,308.0,-385.0,-105.0,-115.0,-110,-110,310,-400,-110,-110,-115,-105,285,-400,-110,-110,-114,103,306.0,-385.0,-102,-113,-118,-102,306.0,-385.0,-105,-115,-114,-110,295,-420,-114,-112,-115.0,-105.0,300.0,-400.0,-110.0,-110.0,-102,-118,310,-400,-115,-105
2025-10-06 14:24:58,2025-10-12 08:31,New York Jets,Denver Broncos,No,1628.5,No,-108.44,-111.44,296.11,-382.67,-112.33,-107.67,-115,-105,295,-375,-115,-105,-105.0,-115.0,308.0,-385.0,-110.0,-110.0,-104,-118,310,-390,-110,-110,-105,-115,270,-374,-110,-110,-101,-109,306.0,-385.0,-110,-104,-106,-114,306.0,-385.0,-113,-107,-120,-107,270,-375,-113,-113,-105.0,-115.0,300.0,-400.0,-115.0,-105.0,-115,-105,300,-375,-115,-105
2025-10-06 14:24:58,2025-10-12 13:01,Indianapolis Colts,Arizona Cardinals,No,1506.4,No,-111.89,-85.44,-265.22,214.11,-110.22,-109.67,-108,-112,-238,195,-110,-110,-115.0,-105.0,-275.0,230.0,-110.0,-110.0,-115,-105,-250,205,-105,-115,-110,-110,-294,220,-110,-110,-110,100,-275.0,226.0,-113,-102,-110,-110,-275.0,226.0,-115,-105,-114,-112,-250,195,-109,-115,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-115,-105,-250,200,-110,-110
2025-10-06 14:24:58,2025-10-12 13:01,Baltimore Ravens,Los Angeles Rams,No,2326.9,No,-109.67,-109.89,311.33,-407.22,-110.44,-109.44,-108,-112,300,-380,-110,-110,-110.0,-110.0,320.0,-400.0,-110.0,-110.0,-110,-110,315,-400,-115,-105,-110,-110,290,-410,-110,-110,-107,-103,316.0,-400.0,-107,-107,-110,-110,316.0,-400.0,-110,-110,-112,-114,310,-435,-112,-113,-110.0,-110.0,310.0,-415.0,-110.0,-110.0,-110,-110,325,-425,-110,-110
2025-10-06 14:24:58,2025-10-12 13:01,Carolina Panthers,Dallas Cowboys,No,946.9,No,-115.22,-15.56,155.67,-187.44,-109.11,-110.78,-110,-110,164,-198,-112,-108,-120.0,100.0,155.0,-180.0,-110.0,-110.0,-112,-108,160,-190,-108,-112,-110,-110,153,-198,-110,-110,-116,105,157.0,-180.0,-107,-107,-120,100,157.0,-180.0,-110,-110,-114,-112,140,-186,-110,-115,-120.0,100.0,160.0,-185.0,-105.0,-115.0,-115,-105,155,-190,-110,-110
2025-10-06 14:24:58,2025-10-12 13:01,Pittsburgh Steelers,Cleveland Browns,Yes,114.4,No,-85.56,-111.78,-240.0,196.11,-108.56,-111.44,-105,-115,-230,190,-112,-108,-110.0,-110.0,-235.0,200.0,-105.0,-115.0,-105,-115,-245,200,-108,-112,-110,-110,-250,190,-110,-110,100,-110,-235.0,195.0,-102,-113,-108,-112,-235.0,195.0,-105,-115,-112,-114,-250,195,-110,-115,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-110,-110,-235,195,-115,-105
2025-10-06 14:24:58,2025-10-12 13:01,Jacksonville Jaguars,Seattle Seahawks,No,2456.2,No,-111.71,-108.0,-23.6,-118.0,-110.71,-109.29,-115,-105,100,-120,-110,-110,,,,,,,-120,-102,-104,-112,-115,-105,-110,-110,-109,-116,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-114,-105,-122,-113,-113,,,,,,,-110,-110,100,-120,-110,-110
2025-10-06 14:24:58,2025-10-12 13:01,Miami Dolphins,Los Angeles Chargers,No,2336.5,No,-109.22,-110.56,180.44,-221.44,-113.33,-84.78,-110,-110,180,-218,-120,100,-110.0,-110.0,183.0,-215.0,-110.0,-110.0,-104,-118,200,-245,-120,-102,-110,-110,175,-230,-110,-110,-105,-105,183.0,-215.0,-113,-102,-110,-110,183.0,-215.0,-115,-105,-114,-112,165,-225,-112,-114,-110.0,-110.0,175.0,-210.0,-110.0,-110.0,-110,-110,180,-220,-110,-110
2025-10-06 14:24:58,2025-10-12 16:06,Las Vegas Raiders,Tennessee Titans,No,1583.4,No,-110.44,-109.0,-242.67,198.11,-109.56,-110.44,-115,-105,-238,195,-110,-110,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-106,-114,-230,190,-108,-112,-110,-110,-246,187,-110,-110,-108,-102,-245.0,203.0,-104,-110,-110,-110,-245.0,203.0,-107,-113,-115,-110,-250,195,-112,-114,-110.0,-110.0,-250.0,210.0,-115.0,-105.0,-110,-110,-235,195,-110,-110
