Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-10-14 02:25:30,2025-10-16 20:16,Cincinnati Bengals,Pittsburgh Steelers,Yes,257.0,Yes,-108.0,-111.78,212.78,-262.11,-111.0,-86.89,-108,-112,220,-270,-115,-105,-110,-110,225,-275,-110,-110,-110.0,-110.0,210.0,-250.0,-110.0,-110.0,-104,-118,215,-260,-105,-115,-110.0,-110.0,196.0,-248.0,-110.0,-110.0,-103.0,-107.0,207.0,-250.0,-115.0,100.0,-108.0,-112.0,207.0,-250.0,-117.0,-103.0,-114,-112,215,-286,-112,-114,-105.0,-115.0,220.0,-270.0,-105.0,-115.0
2025-10-14 02:25:30,2025-10-19 09:31,Jacksonville Jaguars,Los Angeles Rams,No,2154.8,No,-116.56,8.11,128.78,-153.89,-108.56,-111.33,-105,-115,140,-166,-105,-115,-118,-102,125,-150,-110,-110,-120.0,100.0,129.0,-150.0,-110.0,-110.0,-115,-105,130,-154,-115,-105,-120.0,100.0,125.0,-160.0,-110.0,-110.0,-116.0,105.0,130.0,-150.0,-102.0,-113.0,-120.0,100.0,130.0,-150.0,-105.0,-115.0,-115,-110,120,-155,-110,-114,-120.0,100.0,130.0,-150.0,-110.0,-110.0
2025-10-14 02:25:30,2025-10-19 13:00,Chicago Bears,New Orleans Saints,No,832.7,No,-112.5,-108.75,-240.0,192.5,-113.25,-108.75,-110,-110,-250,205,-110,-110,-110,-110,-250,200,-110,-110,,,,,,,-115,-105,-230,190,-120,-102,,,,,,,,,,,,,,,,,,,-115,-110,-230,175,-113,-113,,,,,,
2025-10-14 02:25:30,2025-10-19 13:01,New York Jets,Carolina Panthers,No,533.9,No,-85.22,-112.11,111.75,-134.25,-109.22,-110.89,-105,-115,114,-135,-112,-108,-110,-110,110,-130,-110,-110,100.0,-120.0,,,-110.0,-110.0,-105,-115,110,-130,-115,-105,-110.0,-110.0,106.0,-135.0,-110.0,-110.0,-105.0,-105.0,120.0,-140.0,-102.0,-113.0,-110.0,-110.0,120.0,-140.0,-105.0,-115.0,-112,-114,104,-134,-114,-112,-110.0,-110.0,110.0,-130.0,-105.0,-115.0
2025-10-14 02:25:30,2025-10-19 13:01,Cleveland Browns,Miami Dolphins,No,1074.9,No,-113.33,-83.89,-148.0,124.22,-109.11,-110.89,-115,-105,-142,120,-110,-110,-110,-110,-145,120,-110,-110,-115.0,-105.0,-150.0,129.0,-105.0,-115.0,-115,-105,-152,128,-115,-105,-110.0,-110.0,-150.0,117.0,-110.0,-110.0,-110.0,100.0,-150.0,130.0,-102.0,-113.0,-115.0,-105.0,-150.0,130.0,-105.0,-115.0,-115,-110,-143,114,-110,-115,-115.0,-105.0,-150.0,130.0,-115.0,-105.0
2025-10-14 02:25:30,2025-10-19 13:01,Kansas City Chiefs,Las Vegas Raiders,Yes,1151.8,No,-110.11,-109.44,-740.78,506.11,-109.78,-110.22,-112,-108,-800,550,-108,-112,-110,-110,-800,550,-110,-110,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-115,-105,-700,500,-115,-105,-110.0,-110.0,-847.0,500.0,-110.0,-110.0,-103.0,-107.0,-725.0,520.0,-107.0,-107.0,-108.0,-112.0,-725.0,520.0,-110.0,-110.0,-113,-113,-670,440,-113,-113,-110.0,-110.0,-700.0,475.0,-105.0,-115.0
2025-10-14 02:25:30,2025-10-19 13:01,Minnesota Vikings,Philadelphia Eagles,No,986.3,No,-107.44,-112.22,113.33,-136.11,-109.0,-112.0,-112,-108,124,-148,-105,-115,-110,-110,110,-130,-110,-118,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-106,-114,120,-142,-104,-118,-110.0,-110.0,101.0,-128.0,-110.0,-110.0,-101.0,-109.0,110.0,-130.0,-107.0,-107.0,-106.0,-114.0,110.0,-130.0,-110.0,-110.0,-107,-120,120,-152,-110,-115,-110.0,-110.0,115.0,-135.0,-115.0,-105.0
2025-10-14 02:25:30,2025-10-19 13:01,Tennessee Titans,New England Patriots,No,926.1,No,-108.33,-111.11,267.22,-338.89,-110.33,-109.67,-105,-115,295,-375,-108,-112,-110,-110,260,-325,-110,-110,-110.0,-110.0,258.0,-315.0,-110.0,-110.0,-110,-110,290,-360,-115,-105,-110.0,-110.0,265.0,-370.0,-110.0,-110.0,-105.0,-105.0,256.0,-315.0,-107.0,-107.0,-110.0,-110.0,256.0,-315.0,-110.0,-110.0,-110,-115,260,-345,-113,-113,-105.0,-115.0,265.0,-330.0,-110.0,-110.0
2025-10-14 02:25:30,2025-10-19 16:06,Denver Broncos,New York Giants,No,1628.5,No,-112.11,-63.11,-345.44,269.67,-107.44,-112.67,-110,-110,-360,285,-105,-115,-105,-115,-350,280,-105,-115,-105.0,-115.0,-340.0,275.0,-105.0,-115.0,-110,-110,-350,280,-105,-115,-110.0,-110.0,-350.0,255.0,-110.0,-110.0,-119.0,108.0,-342.0,276.0,-101.0,-114.0,-123.0,103.0,-342.0,276.0,-104.0,-116.0,-112,-114,-335,230,-117,-109,-115.0,-105.0,-340.0,270.0,-115.0,-105.0
2025-10-14 02:25:30,2025-10-19 16:06,Los Angeles Chargers,Indianapolis Colts,No,1816.9,No,-110.11,-87.11,-125.88,104.38,-110.22,-109.67,-108,-112,-122,102,-110,-110,-110,-110,-125,105,-110,-110,-115.0,-105.0,,,-110.0,-110.0,-108,-112,-126,108,-110,-110,-110.0,-110.0,-128.0,101.0,-110.0,-110.0,-110.0,100.0,-126.0,106.0,-113.0,-102.0,-110.0,-110.0,-126.0,106.0,-115.0,-105.0,-110,-115,-129,102,-109,-115,-110.0,-110.0,-125.0,105.0,-105.0,-115.0
