Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
2025-10-27 21:16:20,2025-10-27 20:16,Kansas City Chiefs,Washington Commanders,No,947.3,Yes,-120.2,-111.0,-834.33,492.5,-113.67,-117.0,-120,-110,-810,500,-110,-120,-122,-108,-850,500,-112,-118,,,-1111,650,-111,-118,-121,-117,-835,430,-124,-113,-118,-110,-750,475,-110,-118,-120,-110,-650,400,-115,-115,,,,,,,,,,,,,,,,,,
2025-10-27 21:16:20,2025-10-30 20:15,Miami Dolphins,Baltimore Ravens,No,941.6,Yes,-84.0,-110.5,316.12,-413.62,-109.62,-110.38,-108,-112,330,-425,-105,-115,-110,-110,320,-420,-115,-105,-110.0,-110.0,321,-424,-110,-110,-114,-112,285,-400,-113,-113,-115,-105,310,-400,-110,-110,-110,-110,315,-420,-110,-110,100.0,-110.0,324.0,-410.0,-107.0,-107.0,-105.0,-115.0,324.0,-410.0,-107.0,-113.0,,,,,,
2025-10-27 21:16:20,2025-11-02 13:00,New England Patriots,Atlanta Falcons,No,917.7,No,-109.89,-109.67,-248.78,202.0,-110.22,-87.44,-110,-110,-258,210,-120,100,-105,-115,-240,198,-105,-115,-110.0,-110.0,-246,186,-110,-110,-113,-113,-265,205,-110,-115,-110,-110,-250,200,-110,-110,-110,-110,-250,210,-110,-110,-109.0,-101.0,-245.0,203.0,-107.0,-107.0,-112.0,-108.0,-245.0,203.0,-110.0,-110.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Green Bay Packers,Carolina Panthers,No,745.3,No,-110.0,-109.44,-852.22,559.11,-109.11,-110.78,-115,-105,-950,625,-105,-115,-108,-112,-750,530,-105,-115,-110.0,-110.0,-1000,570,-110,-110,-112,-113,-770,460,-110,-115,-115,-105,-800,550,-110,-110,-110,-110,-900,575,-115,-105,-105.0,-105.0,-850.0,586.0,-107.0,-107.0,-110.0,-110.0,-850.0,586.0,-110.0,-110.0,-105.0,-115.0,-800.0,550.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Cincinnati Bengals,Chicago Bears,No,251.2,No,-39.11,-113.89,120.78,-144.0,-110.89,-109.33,-110,-110,120,-142,-110,-110,-110,-110,120,-142,-118,-104,-110.0,-110.0,116,-148,-110,-110,-112,-114,106,-134,-113,-113,-110,-110,120,-145,-110,-110,100,-120,130,-150,-110,-110,105.0,-116.0,125.0,-145.0,-107.0,-107.0,100.0,-120.0,125.0,-145.0,-110.0,-110.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Houston Texans,Denver Broncos,No,882.0,No,-87.44,-87.44,-123.38,76.88,-110.0,-110.0,-110,-110,-125,105,-110,-110,-108,-112,-118,100,-110,-110,-110.0,-110.0,-127,100,-110,-110,-114,-110,-122,-105,-113,-113,-110,-110,-125,105,-110,-110,-110,-110,-120,100,-110,-110,100.0,-110.0,-125.0,105.0,-107.0,-107.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-120.0,100.0,,,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Detroit Lions,Minnesota Vikings,Yes,542.8,No,-85.0,-112.22,-473.33,354.56,-111.0,-108.89,-110,-110,-470,360,-110,-110,-110,-110,-430,340,-115,-105,-110.0,-110.0,-500,350,-110,-110,-110,-115,-500,340,-112,-113,-110,-110,-500,375,-110,-110,-105,-115,-490,355,-115,-105,100.0,-110.0,-460.0,358.0,-107.0,-107.0,-105.0,-115.0,-460.0,358.0,-110.0,-110.0,-105.0,-115.0,-450.0,355.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Pittsburgh Steelers,Indianapolis Colts,No,329.1,No,-82.22,-115.0,138.33,-165.11,-109.44,-110.44,-105,-115,142,-170,-115,-105,-105,-115,136,-162,-105,-115,100.0,-120.0,134,-172,-110,-110,-108,-117,130,-167,-113,-112,-105,-115,140,-165,-110,-110,-105,-115,145,-170,-105,-115,-101.0,-109.0,140.0,-160.0,-107.0,-107.0,-106.0,-114.0,140.0,-160.0,-110.0,-110.0,-105.0,-115.0,138.0,-160.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,Tennessee Titans,Los Angeles Chargers,No,1788.0,No,-111.44,-108.33,410.11,-569.33,-110.78,-109.44,-110,-110,425,-575,-108,-112,-120,-102,410,-550,-118,-104,-110.0,-110.0,390,-599,-110,-110,-113,-113,390,-590,-114,-112,-110,-110,425,-600,-110,-110,-115,-105,390,-550,-110,-110,-105.0,-105.0,418.0,-555.0,-107.0,-107.0,-110.0,-110.0,418.0,-555.0,-110.0,-110.0,-110.0,-110.0,425.0,-550.0,-110.0,-110.0
2025-10-27 21:16:20,2025-11-02 13:00,New York Giants,San Francisco 49ers,No,2552.9,No,-14.44,-94.44,126.78,-151.89,-110.56,-109.44,100,-120,130,-155,-105,-115,-102,-120,128,-152,-115,-105,-105.0,-115.0,124,-158,-110,-110,-106,-121,115,-152,-113,-113,-102,-118,125,-150,-110,-110,-120,100,130,-150,-115,-105,105.0,-116.0,130.0,-150.0,-107.0,-107.0,100.0,-120.0,130.0,-150.0,-110.0,-110.0,100.0,-120.0,129.0,-150.0,-110.0,-110.0
