Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-10-29 08:37:26,2025-10-30 20:15,Miami Dolphins,Baltimore Ravens,No,941.6,Yes,-61.67,-113.33,328.0,-427.22,-111.78,-108.33,-105,-115,350,-455,-110,-110,-110,-110,317.0,-395.0,-110,-110,-105,-115,340,-430,-110,-110,100.0,-120.0,280.0,-370.0,-110.0,-110.0,-115.0,-110.0,320.0,-455.0,-113.0,-113.0,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,100,-110,330.0,-420.0,-113,-102,-105,-115,330.0,-420.0,-115,-105,-105.0,-115.0,335.0,-450.0,-115.0,-105.0
2025-10-29 08:37:26,2025-11-02 13:00,New England Patriots,Atlanta Falcons,No,917.7,No,-86.89,-110.67,-279.56,224.78,-109.67,-88.0,-110,-110,-285,230,-120,100,-105,-115,-280.0,235.0,-110,-110,-120,-102,-290,235,-105,-115,-110.0,-110.0,-255.0,193.0,-110.0,-110.0,-112.0,-114.0,-286.0,215.0,-110.0,-115.0,-105.0,-115.0,-285.0,230.0,-110.0,-110.0,100,-110,-280.0,230.0,-107,-107,-105,-115,-280.0,230.0,-110,-110,-115.0,-105.0,-275.0,225.0,-105.0,-115.0
2025-10-29 08:37:26,2025-11-02 13:00,Green Bay Packers,Carolina Panthers,No,745.3,No,-110.22,-87.11,-914.89,589.56,-108.78,-111.44,-105,-115,-1000,650,-108,-112,-110,-110,-800.0,550.0,-110,-110,-110,-110,-850,590,-102,-120,-110.0,-110.0,-1099.0,580.0,-110.0,-110.0,-112.0,-114.0,-835.0,510.0,-112.0,-114.0,-110.0,-110.0,-900.0,600.0,-110.0,-110.0,-110,100,-900.0,613.0,-107,-107,-115,-105,-900.0,613.0,-110,-110,-110.0,-110.0,-950.0,600.0,-110.0,-110.0
2025-10-29 08:37:26,2025-11-02 13:00,Cincinnati Bengals,Chicago Bears,No,251.2,No,-38.0,-115.0,123.78,-148.44,-111.78,-108.56,-105,-115,124,-148,-110,-110,100,-120,125.0,-145.0,-110,-110,-110,-110,120,-142,-118,-104,-105.0,-115.0,119.0,-152.0,-110.0,-110.0,-108.0,-118.0,115.0,-148.0,-113.0,-113.0,-110.0,-110.0,120.0,-145.0,-110.0,-110.0,108,-119,128.0,-148.0,-114,-101,103,-123,128.0,-148.0,-116,-104,-115.0,-105.0,135.0,-160.0,-105.0,-115.0
2025-10-29 08:37:26,2025-11-02 13:00,Houston Texans,Denver Broncos,No,882.0,No,-112.44,-62.67,-125.12,78.62,-110.67,-109.33,-110,-110,-125,105,-115,-105,-115,-105,,,-110,-110,-108,-112,-118,100,-110,-110,-110.0,-110.0,-128.0,101.0,-110.0,-110.0,-113.0,-112.0,-121.0,-106.0,-114.0,-112.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-116,105,-127.0,107.0,-107,-107,-120,100,-127.0,107.0,-110,-110,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
2025-10-29 08:37:26,2025-11-02 13:00,Detroit Lions,Minnesota Vikings,Yes,542.8,No,-109.67,-109.89,-506.22,373.33,-109.56,-110.44,-110,-110,-520,390,-105,-115,-105,-115,-450.0,355.0,-110,-110,-115,-105,-510,390,-110,-110,-110.0,-110.0,-611.0,401.0,-110.0,-110.0,-114.0,-112.0,-500.0,340.0,-113.0,-112.0,-110.0,-110.0,-475.0,360.0,-105.0,-115.0,-103,-107,-490.0,377.0,-113,-102,-105,-115,-490.0,377.0,-115,-105,-115.0,-105.0,-510.0,370.0,-105.0,-115.0
2025-10-29 08:37:26,2025-11-02 13:00,Pittsburgh Steelers,Indianapolis Colts,No,329.1,No,-13.44,-117.33,142.33,-169.89,-108.56,-111.67,-105,-115,142,-170,-110,-110,100,-120,142.0,-165.0,-110,-110,-105,-115,136,-162,-102,-120,100.0,-120.0,136.0,-175.0,-110.0,-110.0,-106.0,-120.0,140.0,-180.0,-114.0,-112.0,-105.0,-115.0,140.0,-165.0,-110.0,-110.0,105,-116,150.0,-171.0,-104,-110,100,-120,150.0,-171.0,-107,-113,-105.0,-115.0,145.0,-170.0,-110.0,-110.0
2025-10-29 08:37:26,2025-11-02 13:00,Tennessee Titans,Los Angeles Chargers,No,1788.0,No,-111.11,-86.22,389.89,-534.56,-109.44,-110.44,-105,-115,390,-520,-108,-112,-115,-105,395.0,-510.0,-110,-110,-105,-115,400,-520,-105,-115,-110.0,-110.0,367.0,-561.0,-110.0,-110.0,-117.0,-109.0,375.0,-560.0,-115.0,-110.0,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-108,-102,396.0,-520.0,-107,-107,-120,100,396.0,-520.0,-110,-110,-110.0,-110.0,390.0,-550.0,-110.0,-110.0
2025-10-29 08:37:26,2025-11-02 13:00,New York Giants,San Francisco 49ers,No,2552.9,No,-15.78,-115.22,125.56,-150.0,-108.56,-111.44,100,-120,130,-155,-105,-115,100,-120,125.0,-145.0,-105,-115,-102,-120,128,-152,-115,-105,-105.0,-115.0,122.0,-156.0,-110.0,-110.0,-120.0,-107.0,116.0,-148.0,-115.0,-110.0,100.0,-120.0,130.0,-155.0,-110.0,-110.0,100,-110,127.0,-147.0,-102,-113,-105,-115,127.0,-147.0,-105,-115,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
2025-10-29 08:37:26,2025-11-02 16:05,Las Vegas Raiders,Jacksonville Jaguars,No,1973.4,No,-37.33,-115.78,145.11,-175.33,-110.0,-109.89,-102,-118,145,-175,-108,-112,100,-120,146.0,-170.0,-110,-110,-105,-115,146,-174,-115,-105,-105.0,-115.0,141.0,-181.0,-110.0,-110.0,-120.0,-107.0,133.0,-186.0,-110.0,-115.0,-105.0,-115.0,145.0,-175.0,-110.0,-110.0,103,-114,150.0,-171.0,-107,-107,-102,-118,150.0,-171.0,-110,-110,100.0,-120.0,150.0,-175.0,-110.0,-110.0
