Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-02 20:22:06,2025-11-02 20:23,Washington Commanders,Seattle Seahawks,No,2335.3,Yes,-38.78,-114.44,124.33,-147.89,-109.0,-111.0,100,-120,124,-148,-105,-115,-105.0,-115.0,129.0,-150.0,-110.0,-110.0,-115.0,-105.0,128.0,-156.0,-115.0,-105.0,-104,-118,120,-142,-110,-110,-118,-108,120,-152,-114,-112,103.0,-114.0,124.0,-144.0,-107.0,-107.0,-105.0,-115.0,124.0,-144.0,-110.0,-110.0,100,-120,125,-150,-105,-115,-105.0,-115.0,125.0,-145.0,-105.0,-115.0
2025-11-02 20:22:06,2025-11-03 20:15,Dallas Cowboys,Arizona Cardinals,No,880.3,Yes,-115.56,-60.0,-171.89,144.22,-109.56,-110.22,-105,-115,-180,150,-110,-110,-115.0,-105.0,-165.0,142.0,-110.0,-110.0,-120.0,100.0,-175.0,144.0,-110.0,-110.0,-120,-102,-172,144,-110,-110,-120,-107,-180,138,-114,-110,-112.0,101.0,-165.0,145.0,-107.0,-107.0,-118.0,-102.0,-165.0,145.0,-110.0,-110.0,-115,-105,-175,145,-105,-115,-115.0,-105.0,-170.0,145.0,-110.0,-110.0
2025-11-02 20:22:06,2025-11-06 20:15,Denver Broncos,Las Vegas Raiders,Yes,609.3,Yes,-109.29,-109.86,-545.71,393.86,-109.43,-110.29,-105,-115,-520,390,-110,-110,,,,,,,-110.0,-110.0,-600.0,386.0,-110.0,-110.0,-110,-110,-560,420,-110,-110,-115,-109,-560,375,-114,-110,-105.0,-105.0,-515.0,393.0,-107.0,-107.0,-110.0,-110.0,-515.0,393.0,-110.0,-110.0,-110,-110,-550,400,-105,-115,,,,,,
2025-11-02 20:22:06,2025-11-09 09:30,Indianapolis Colts,Atlanta Falcons,No,425.4,No,-110.0,-109.29,-312.14,245.43,-108.71,-111.0,-110,-110,-325,260,-110,-110,,,,,,,-110.0,-110.0,-330.0,240.0,-110.0,-110.0,-110,-110,-300,245,-105,-115,-115,-110,-335,245,-109,-115,-105.0,-105.0,-285.0,234.0,-107.0,-107.0,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-110,-110,-325,260,-110,-110,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,Minnesota Vikings,Baltimore Ravens,No,938.4,No,-111.33,-74.67,153.83,-184.83,-110.17,-109.83,-105,-115,145,-175,-110,-110,,,,,,,,,,,,,-110,-110,162,-194,-115,-105,-110,-115,165,-215,-114,-112,-112.0,101.0,153.0,-175.0,-107.0,-107.0,-116.0,-104.0,153.0,-175.0,-110.0,-110.0,-115,-105,145,-175,-105,-115,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,Miami Dolphins,Buffalo Bills,Yes,1162.0,No,-109.67,-109.67,362.67,-480.0,-108.33,-111.67,-110,-110,320,-410,-110,-110,,,,,,,,,,,,,-115,-105,380,-490,-105,-115,-113,-113,360,-530,-113,-113,-105.0,-105.0,383.0,-500.0,-107.0,-107.0,-110.0,-110.0,383.0,-500.0,-110.0,-110.0,-105,-115,350,-450,-105,-115,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,Carolina Panthers,New Orleans Saints,Yes,649.1,No,-113.0,-73.0,-245.83,199.33,-110.33,-109.5,-110,-110,-250,205,-110,-110,,,,,,,,,,,,,-115,-105,-245,200,-115,-105,-113,-113,-240,185,-110,-115,-110.0,100.0,-245.0,203.0,-107.0,-107.0,-115.0,-105.0,-245.0,203.0,-110.0,-110.0,-115,-105,-250,200,-110,-110,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,Chicago Bears,New York Giants,No,707.3,No,-108.17,-111.17,-186.17,154.83,-109.83,-110.17,-110,-110,-185,154,-110,-110,,,,,,,,,,,,,-105,-115,-190,160,-110,-110,-109,-117,-177,135,-112,-114,-105.0,-105.0,-190.0,165.0,-107.0,-107.0,-110.0,-110.0,-190.0,165.0,-110.0,-110.0,-110,-110,-185,150,-110,-110,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,New York Jets,Cleveland Browns,No,400.4,No,-111.33,-108.0,-130.0,108.17,-106.83,-113.33,-110,-110,-125,105,-110,-110,,,,,,,,,,,,,-115,-105,-126,108,-110,-110,-113,-113,-139,106,-109,-117,-105.0,-105.0,-130.0,110.0,-102.0,-113.0,-110.0,-110.0,-130.0,110.0,-105.0,-115.0,-115,-105,-130,110,-105,-115,,,,,,
2025-11-02 20:22:06,2025-11-09 13:00,Houston Texans,Jacksonville Jaguars,Yes,826.4,No,-108.83,-110.5,-120.75,49.5,-109.33,-110.67,-110,-110,-122,102,-110,-110,,,,,,,,,,,,,-105,-115,-120,102,-105,-115,-113,-113,-121,-106,-114,-112,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,-120,100,-110,-110,,,,,,
