Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-25 01:28:19,2025-11-27 13:00,Detroit Lions,Green Bay Packers,Yes,293.2,No,-115.44,-60.11,-147.11,123.56,-110.0,-110.0,-112,-108,-142,120,-115,-105,-118,-102,-150,125,-110,-110,-115,-105,-146,124,-105,-115,-110,-110,-147,120,-110,-110,-120.0,100.0,-145.0,125.0,-110.0,-110.0,-116.0,-104.0,-145.0,125.0,-110.0,-110.0,-112.0,101.0,-145.0,125.0,-107.0,-107.0,-121,-108,-159,123,-113,-113,-115.0,-105.0,-145.0,125.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-27 16:30,Dallas Cowboys,Kansas City Chiefs,No,458.4,No,-61.56,-113.78,148.44,-176.67,-113.0,-107.11,-115,-105,150,-180,-110,-110,-105,-115,145,-175,-110,-110,-105,-115,152,-180,-120,-102,100,-120,140,-174,-110,-110,-105.0,-115.0,150.0,-175.0,-115.0,-105.0,-102.0,-118.0,152.0,-173.0,-115.0,-105.0,103.0,-114.0,152.0,-173.0,-113.0,-102.0,-120,-107,155,-195,-114,-110,-105.0,-115.0,140.0,-165.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-27 20:20,Baltimore Ravens,Cincinnati Bengals,Yes,423.8,Yes,-88.11,-65.0,-324.44,258.22,-109.89,-110.0,-110,-110,-355,280,-110,-110,-110,-110,-350,280,-110,-110,-110,-110,-335,270,-112,-108,100,-120,-325,246,-110,-110,-105.0,-115.0,-300.0,250.0,-110.0,-110.0,-120.0,100.0,-305.0,249.0,-110.0,-110.0,-116.0,105.0,-305.0,249.0,-107.0,-107.0,-107,-120,-335,245,-110,-115,-115.0,-105.0,-310.0,255.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-28 15:00,Philadelphia Eagles,Chicago Bears,No,665.3,No,-82.22,-115.33,-322.78,255.0,-109.78,-110.44,-105,-115,-325,260,-110,-110,-102,-118,-325,260,-110,-110,-104,-118,-320,260,-104,-118,-105,-115,-330,240,-110,-110,-105.0,-115.0,-310.0,255.0,-110.0,-110.0,-105.0,-115.0,-300.0,245.0,-110.0,-110.0,100.0,-110.0,-300.0,245.0,-107.0,-107.0,-109,-117,-385,275,-117,-109,-105.0,-115.0,-310.0,255.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-30 13:00,Tampa Bay Buccaneers,Arizona Cardinals,No,1804.8,No,-108.57,-110.86,-159.43,132.86,-110.86,-109.14,-108,-112,-155,130,-110,-110,-105,-115,-160,135,-110,-110,-110,-110,-158,134,-115,-105,-110,-110,-164,128,-110,-110,,,,,,,-110.0,-110.0,-160.0,140.0,-110.0,-110.0,-105.0,-105.0,-160.0,140.0,-107.0,-107.0,-112,-114,-159,123,-114,-112,,,,,,
2025-11-25 01:28:19,2025-11-30 13:00,New York Jets,Atlanta Falcons,No,747.8,No,-107.67,-111.89,120.67,-143.67,-110.67,-109.33,-105,-115,120,-142,-115,-105,-105,-115,118,-140,-110,-110,-105,-115,124,-146,-110,-110,-110,-110,117,-149,-110,-110,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-105.0,-105.0,125.0,-145.0,-107.0,-107.0,-114,-112,112,-141,-114,-112,-110.0,-110.0,120.0,-140.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-30 13:00,Carolina Panthers,Los Angeles Rams,No,2126.0,No,-109.0,-112.0,471.0,-682.8,-110.8,-110.4,-105,-115,470,-650,-110,-110,-110,-110,475,-650,-110,-110,-110,-110,530,-750,-110,-110,-110,-110,420,-649,-110,-110,,,,,,,,,,,,,,,,,,,-110,-115,460,-715,-114,-112,,,,,,
2025-11-25 01:28:19,2025-11-30 13:00,Cleveland Browns,San Francisco 49ers,No,2152.6,No,-112.2,-69.4,220.2,-280.0,-110.0,-111.0,-110,-110,220,-270,-115,-105,-110,-110,225,-275,-110,-110,-122,100,225,-275,-105,-115,-110,-110,206,-275,-110,-110,,,,,,,,,,,,,,,,,,,-109,-117,225,-305,-110,-115,,,,,,
2025-11-25 01:28:19,2025-11-30 13:00,Indianapolis Colts,Houston Texans,Yes,870.3,No,-108.89,-110.56,-223.67,183.44,-109.44,-110.56,-110,-110,-230,190,-108,-112,-110,-110,-220,185,-105,-115,-105,-115,-215,180,-112,-108,-110,-110,-228,174,-110,-110,-110.0,-110.0,-220.0,185.0,-110.0,-110.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-105.0,-105.0,-220.0,186.0,-107.0,-107.0,-110,-115,-235,180,-113,-113,-110.0,-110.0,-225.0,185.0,-110.0,-110.0
2025-11-25 01:28:19,2025-11-30 13:00,Tennessee Titans,Jacksonville Jaguars,Yes,500.3,No,-108.67,-110.89,259.22,-328.11,-109.89,-110.11,-112,-108,240,-298,-115,-105,-105,-115,280,-350,-110,-110,-106,-114,265,-330,-110,-110,-110,-110,234,-325,-110,-110,-110.0,-110.0,270.0,-330.0,-110.0,-110.0,-108.0,-112.0,267.0,-330.0,-110.0,-110.0,-103.0,-107.0,267.0,-330.0,-107.0,-107.0,-109,-117,260,-360,-112,-114,-115.0,-105.0,250.0,-300.0,-105.0,-115.0
