Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
2025-11-28 13:24:52,2025-11-28 15:00,Philadelphia Eagles,Chicago Bears,No,665.3,No,-89.44,-84.67,-364.33,285.33,-109.56,-110.44,-112,-108,-340,270,-105,-115,-115.0,-105.0,-374,286,-110.0,-110.0,-115,-105,-375,300,-110,-110,-115.0,-105.0,-360.0,280.0,-110.0,-110.0,-110.0,100.0,-350.0,280.0,-110.0,-110.0,-115.0,-105.0,-365.0,293.0,-110.0,-110.0,104.0,-115.0,-365.0,292.0,-104.0,-110.0,-113.0,-107.0,-365.0,292.0,-110.0,-110.0,-114,-112,-385,275,-117,-109
2025-11-28 13:24:52,2025-11-30 13:00,Tampa Bay Buccaneers,Arizona Cardinals,No,1804.8,No,-110.33,-87.22,-192.0,160.11,-109.78,-110.22,-110,-110,-180,150,-112,-108,-110.0,-110.0,-192,155,-110.0,-110.0,-102,-120,-196,164,-105,-115,-120.0,100.0,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-185.0,154.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0,-108.0,-102.0,-190.0,165.0,-107.0,-107.0,-110.0,-110.0,-190.0,165.0,-110.0,-110.0,-113,-113,-205,155,-114,-112
2025-11-28 13:24:52,2025-11-30 13:00,New York Jets,Atlanta Falcons,No,747.8,No,-82.0,-115.56,121.56,-144.33,-110.56,-109.33,-102,-118,120,-142,-108,-112,-105.0,-115.0,119,-145,-110.0,-110.0,-104,-118,126,-148,-110,-110,-110.0,-110.0,120.0,-140.0,-115.0,-105.0,-102.0,-118.0,125.0,-150.0,-110.0,-110.0,100.0,-120.0,120.0,-140.0,-110.0,-110.0,-101.0,-109.0,122.0,-142.0,-107.0,-107.0,-106.0,-114.0,122.0,-142.0,-110.0,-110.0,-108,-118,120,-150,-115,-110
2025-11-28 13:24:52,2025-11-30 13:00,Carolina Panthers,Los Angeles Rams,No,2126.0,No,-110.89,-108.67,440.89,-611.0,-110.11,-109.67,-105,-115,470,-650,-115,-105,-110.0,-110.0,420,-599,-110.0,-110.0,-114,-106,490,-670,-105,-115,-110.0,-110.0,410.0,-585.0,-110.0,-110.0,-115.0,-105.0,475.0,-650.0,-110.0,-110.0,-115.0,-105.0,425.0,-550.0,-110.0,-110.0,-105.0,-105.0,409.0,-540.0,-107.0,-107.0,-110.0,-110.0,409.0,-540.0,-110.0,-110.0,-114,-112,460,-715,-114,-110
2025-11-28 13:24:52,2025-11-30 13:00,Cleveland Browns,San Francisco 49ers,No,2152.6,No,-108.78,-110.78,192.22,-234.0,-109.11,-111.0,-105,-115,195,-238,-118,-102,-110.0,-110.0,189,-238,-110.0,-110.0,-110,-110,198,-240,-106,-114,-105.0,-115.0,195.0,-235.0,-115.0,-105.0,-110.0,-110.0,195.0,-235.0,-102.0,-118.0,-110.0,-110.0,190.0,-225.0,-110.0,-110.0,-105.0,-105.0,189.0,-225.0,-103.0,-112.0,-110.0,-110.0,189.0,-225.0,-106.0,-114.0,-114,-112,190,-245,-112,-114
2025-11-28 13:24:52,2025-11-30 13:00,Indianapolis Colts,Houston Texans,Yes,870.3,No,-108.11,-111.33,-190.56,159.11,-112.33,-107.78,-110,-110,-192,160,-115,-105,-110.0,-110.0,-190,153,-110.0,-110.0,-110,-110,-188,158,-115,-105,-105.0,-115.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-101.0,-109.0,-185.0,161.0,-113.0,-102.0,-104.0,-116.0,-185.0,161.0,-115.0,-105.0,-113,-112,-205,155,-113,-113
2025-11-28 13:24:52,2025-11-30 13:00,Tennessee Titans,Jacksonville Jaguars,Yes,500.3,No,-111.33,-108.44,233.89,-290.89,-110.11,-109.89,-108,-112,220,-270,-115,-105,-110.0,-110.0,221,-288,-110.0,-110.0,-118,-104,240,-295,-110,-110,-110.0,-110.0,240.0,-290.0,-105.0,-115.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0,-107.0,-103.0,237.0,-290.0,-107.0,-107.0,-112.0,-108.0,237.0,-290.0,-110.0,-110.0,-117,-109,230,-305,-114,-112
2025-11-28 13:24:52,2025-11-30 13:00,Miami Dolphins,New Orleans Saints,No,661.3,No,-112.22,-107.33,-265.56,215.89,-108.33,-112.0,-115,-105,-258,210,-105,-115,-110.0,-110.0,-246,195,-110.0,-110.0,-114,-106,-280,230,-104,-118,-110.0,-110.0,-260.0,215.0,-115.0,-105.0,-115.0,-105.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-255.0,215.0,-110.0,-110.0,-107.0,-103.0,-265.0,219.0,-102.0,-113.0,-112.0,-108.0,-265.0,219.0,-105.0,-115.0,-117,-109,-286,215,-114,-112
2025-11-28 13:24:52,2025-11-30 16:05,Seattle Seahawks,Minnesota Vikings,No,1395.6,No,-88.22,-109.0,-792.89,537.44,-108.44,-111.33,-115,-105,-750,525,-105,-115,-110.0,-110.0,-901,560,-110.0,-110.0,-115,-105,-820,570,-105,-115,-110.0,-110.0,-850.0,550.0,-110.0,-110.0,-115.0,-105.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,106.0,-117.0,-800.0,561.0,-107.0,-107.0,-115.0,-105.0,-800.0,561.0,-110.0,-110.0,-110,-114,-715,460,-109,-115
2025-11-28 13:24:52,2025-11-30 16:25,Pittsburgh Steelers,Buffalo Bills,No,172.7,No,-84.0,-113.33,150.89,-179.67,-110.56,-109.33,-105,-115,145,-175,-118,-102,-105.0,-115.0,148,-183,-110.0,-110.0,-108,-112,146,-174,-110,-110,-105.0,-115.0,155.0,-180.0,-110.0,-110.0,-105.0,-115.0,140.0,-170.0,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0,100.0,-110.0,157.0,-180.0,-107.0,-107.0,-105.0,-115.0,157.0,-180.0,-110.0,-110.0,-118,-108,155,-195,-110,-115
