Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-12-01 07:38:33,2025-12-01 20:15,New England Patriots,New York Giants,No,170.4,Yes,-84.44,-113.11,-376.89,293.22,-110.67,-109.22,100,-120,-410,320,-112,-108,-102,-120,-370,295,-110,-110,-110.0,-110.0,-377,281,-110,-110,-110.0,-110.0,-370.0,295.0,-110.0,-110.0,-104.0,-106.0,-360.0,289.0,-104.0,-110.0,-110.0,-110.0,-360.0,289.0,-110.0,-110.0,-117,-109,-400,285,-115,-110,-102,-118,-375,300,-110,-110,-105.0,-115.0,-370.0,285.0,-115.0,-105.0
2025-12-01 07:38:33,2025-12-04 20:15,Detroit Lions,Dallas Cowboys,No,1013.8,Yes,-112.67,-107.0,-171.89,143.44,-113.0,-107.11,-115,-105,-175,145,-115,-105,-114,-106,-174,146,-115,-105,-110.0,-110.0,-176,137,-110,-110,-110.0,-110.0,-165.0,142.0,-115.0,-105.0,-105.0,-105.0,-163.0,143.0,-113.0,-102.0,-110.0,-110.0,-163.0,143.0,-115.0,-105.0,-120,-107,-186,145,-114,-112,-115,-105,-175,145,-110,-110,-115.0,-105.0,-170.0,145.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,Atlanta Falcons,Seattle Seahawks,No,2181.2,No,-39.56,-113.56,328.33,-432.11,-109.89,-110.11,-105,-115,340,-440,-110,-110,-118,-104,360,-460,-110,-110,-110.0,-110.0,300,-429,-110,-110,100.0,-120.0,325.0,-405.0,-110.0,-110.0,105.0,-116.0,320.0,-405.0,-107.0,-107.0,100.0,-120.0,320.0,-405.0,-110.0,-110.0,-113,-112,330,-480,-112,-114,-105,-115,350,-450,-110,-110,-110.0,-110.0,310.0,-415.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,Baltimore Ravens,Pittsburgh Steelers,Yes,197.6,No,-110.22,-109.11,-310.56,247.89,-111.0,-86.89,-110,-110,-305,245,-112,-108,-110,-110,-320,260,-122,100,-110.0,-110.0,-295,220,-110,-110,-110.0,-110.0,-305.0,253.0,-110.0,-110.0,-105.0,-105.0,-305.0,249.0,-107.0,-107.0,-108.0,-112.0,-305.0,249.0,-110.0,-110.0,-114,-110,-335,245,-113,-112,-115,-105,-325,260,-105,-115,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,Buffalo Bills,Cincinnati Bengals,No,392.7,No,-86.33,-111.0,-283.56,226.67,-110.0,-110.0,-110,-110,-285,230,-110,-110,-110,-110,-290,235,-110,-110,-110.0,-110.0,-297,219,-110,-110,-110.0,-110.0,-265.0,223.0,-110.0,-110.0,100.0,-110.0,-265.0,219.0,-107.0,-107.0,-105.0,-115.0,-265.0,219.0,-110.0,-110.0,-112,-114,-315,235,-113,-113,-110,-110,-300,240,-110,-110,-110.0,-110.0,-270.0,220.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,Cleveland Browns,Tennessee Titans,No,458.6,No,-86.0,-111.11,-207.11,171.44,-110.44,-109.44,-110,-110,-218,180,-110,-110,-115,-105,-200,168,-112,-108,-110.0,-110.0,-216,166,-110,-110,-105.0,-115.0,-205.0,175.0,-110.0,-110.0,100.0,-110.0,-205.0,177.0,-107.0,-107.0,-105.0,-115.0,-205.0,177.0,-110.0,-110.0,-109,-115,-205,160,-115,-110,-110,-110,-210,170,-110,-110,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,Jacksonville Jaguars,Indianapolis Colts,Yes,699.0,No,-86.44,-110.89,106.44,-128.33,-110.11,-109.89,-110,-110,105,-125,-110,-110,-110,-110,110,-130,-110,-110,-110.0,-110.0,103,-131,-110,-110,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,100.0,-110.0,110.0,-130.0,-107.0,-107.0,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-113,-113,100,-129,-114,-112,-110,-110,105,-125,-110,-110,-115.0,-105.0,105.0,-125.0,-110.0,-110.0
2025-12-01 07:38:33,2025-12-07 13:00,New York Jets,Miami Dolphins,Yes,1083.3,No,-80.12,-114.38,125.22,-149.44,-87.33,-110.67,-105,-115,130,-155,-110,-110,-105,-115,130,-154,100,-122,,,120,-154,-110,-110,-110.0,-110.0,129.0,-150.0,-110.0,-110.0,-101.0,-109.0,128.0,-148.0,-107.0,-107.0,-106.0,-114.0,128.0,-148.0,-110.0,-110.0,-109,-117,112,-141,-114,-112,-105,-115,120,-145,-110,-110,100.0,-120.0,130.0,-150.0,-115.0,-105.0
2025-12-01 07:38:33,2025-12-07 13:00,Minnesota Vikings,Washington Commanders,No,940.4,No,-114.0,-67.2,-22.2,-120.0,-109.8,-111.4,-122,102,-105,-115,-105,-115,-115,-105,100,-118,-115,-105,-110.0,-110.0,-103,-123,-110,-110,,,,,,,,,,,,,,,,,,,-113,-113,-103,-124,-114,-112,-110,-110,100,-120,-105,-115,,,,,,
2025-12-01 07:38:33,2025-12-07 13:00,Tampa Bay Buccaneers,New Orleans Saints,Yes,478.6,No,-108.67,-110.89,-443.89,336.33,-110.78,-109.22,-108,-112,-455,350,-118,-102,-108,-112,-490,380,-118,-104,-110.0,-110.0,-450,310,-110,-110,-110.0,-110.0,-425.0,333.0,-110.0,-110.0,-105.0,-105.0,-430.0,337.0,-107.0,-107.0,-110.0,-110.0,-430.0,337.0,-110.0,-110.0,-112,-114,-435,310,-109,-115,-105,-115,-450,350,-105,-115,-110.0,-110.0,-430.0,320.0,-110.0,-110.0
