Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
2025-12-02 01:28:57,2025-12-04 20:15,Detroit Lions,Dallas Cowboys,No,1013.8,Yes,-116.67,-36.33,-171.56,144.11,-113.11,-84.89,-115,-105,-170,142,-120,100,-114,-106,-164,138,-120,-102,-120,100,-174,141,-110,-110,-115,104,-172,151,-113,-102,-119,-101,-172,151,-115,-105,-117,-109,-182,143,-110,-115,-120,100,-170,146,-115,-105,-115,-105,-170,145,-105,-115,-115,-105,-170,140,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,Atlanta Falcons,Seattle Seahawks,No,2181.2,No,-41.67,-111.33,301.22,-390.0,-112.44,-107.44,-115,-105,310,-395,-115,-105,-110,-110,330,-420,-110,-110,-110,-110,275,-380,-110,-110,100,-110,303,-380,-113,-102,-105,-115,303,-380,-115,-105,-120,-107,295,-420,-114,-110,100,-120,305,-380,-115,-105,100,-120,290,-380,-110,-110,-115,-105,300,-375,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,Baltimore Ravens,Pittsburgh Steelers,Yes,197.6,No,-112.89,-84.44,-274.89,220.11,-111.11,-86.89,-118,-102,-285,230,-108,-112,-115,-105,-270,220,-122,100,-110,-110,-283,209,-110,-110,-110,100,-275,226,-107,-107,-115,-105,-275,226,-110,-110,-113,-113,-286,215,-113,-113,-110,-110,-275,230,-110,-110,-115,-105,-275,225,-110,-110,-110,-110,-250,200,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,Buffalo Bills,Cincinnati Bengals,No,392.7,No,-109.0,-110.56,-279.89,223.56,-109.89,-110.11,-110,-110,-278,225,-110,-110,-110,-110,-270,220,-110,-110,-110,-110,-306,223,-110,-110,-102,-108,-270,222,-107,-107,-107,-113,-270,222,-110,-110,-112,-114,-305,230,-112,-114,-110,-110,-270,225,-110,-110,-110,-110,-275,225,-110,-110,-110,-110,-275,220,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,Cleveland Browns,Tennessee Titans,No,458.6,No,-85.56,-111.56,-191.67,158.67,-110.78,-109.22,100,-120,-198,164,-110,-110,-105,-115,-178,150,-112,-108,-105,-115,-199,153,-110,-110,-105,-105,-185,161,-107,-107,-110,-110,-185,161,-110,-110,-115,-109,-205,155,-118,-108,-110,-110,-185,159,-110,-110,-110,-110,-200,170,-110,-110,-110,-110,-190,155,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,Jacksonville Jaguars,Indianapolis Colts,Yes,699.0,No,-86.33,-111.0,82.89,-126.67,-109.44,-110.44,-110,-110,102,-122,-108,-112,-105,-115,114,-134,-110,-110,-110,-110,-102,-125,-110,-110,-105,-105,105,-125,-107,-107,-110,-110,105,-125,-110,-110,-112,-114,102,-129,-110,-115,100,-120,105,-125,-110,-110,-115,-105,105,-125,-110,-110,-110,-110,110,-130,-110,-110
2025-12-02 01:28:57,2025-12-07 13:00,New York Jets,Miami Dolphins,Yes,1083.3,No,-60.22,-115.33,122.89,-146.89,-87.67,-110.33,-105,-115,130,-155,-110,-110,-102,-120,124,-146,100,-122,-105,-115,116,-148,-110,-110,103,-114,123,-143,-107,-107,-102,-118,123,-143,-110,-110,-121,-106,120,-152,-112,-114,100,-120,125,-145,-110,-110,-105,-115,125,-145,-115,-105,-105,-115,120,-145,-115,-105
2025-12-02 01:28:57,2025-12-07 13:00,Minnesota Vikings,Washington Commanders,No,940.4,No,-87.56,-109.78,59.89,-125.67,-110.22,-109.78,-115,-105,105,-125,-112,-108,-115,-105,100,-118,-105,-115,-110,-110,-103,-123,-110,-110,-105,-105,105,-125,-107,-107,-110,-110,105,-125,-110,-110,-113,-113,-103,-125,-113,-113,100,-120,105,-125,-110,-110,-110,-110,115,-135,-110,-110,-110,-110,110,-130,-115,-105
2025-12-02 01:28:57,2025-12-07 13:00,Tampa Bay Buccaneers,New Orleans Saints,Yes,478.6,No,-86.33,-110.89,-464.56,350.56,-112.78,-107.33,-108,-112,-470,360,-118,-102,-112,-108,-490,380,-120,-102,-110,-110,-481,330,-110,-110,100,-110,-450,350,-107,-107,-105,-115,-450,350,-110,-110,-112,-113,-500,350,-115,-110,-110,-110,-450,355,-110,-110,-110,-110,-440,330,-110,-110,-110,-110,-450,350,-115,-105
2025-12-02 01:28:57,2025-12-07 16:05,Las Vegas Raiders,Denver Broncos,Yes,609.3,No,-108.78,-110.56,328.78,-437.11,-109.78,-110.22,-105,-115,340,-440,-110,-110,-114,-106,330,-420,-114,-106,-110,-110,313,-459,-110,-110,-105,-105,334,-425,-104,-110,-110,-110,334,-425,-107,-113,-110,-114,330,-480,-113,-113,-110,-110,333,-425,-110,-110,-110,-110,325,-435,-105,-115,-105,-115,320,-425,-115,-105
