Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
2025-12-02 07:39:28,2025-12-04 20:15,Detroit Lions,Dallas Cowboys,No,1013.8,Yes,-117.5,-28.25,-171.25,143.0,-111.25,-84.38,-115,-105,-170,142,-120,100,-114,-106,-164,138,-105,-115,-120,100,-174,141,-110,-110,-119,-101,-170,149,-115,-105,-117,-109,-182,143,-110,-115,-120,100,-170,146,-115,-105,-120,100,-170,145,-105,-115,-115,-105,-170,140,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,Atlanta Falcons,Seattle Seahawks,No,2181.2,No,-33.12,-112.75,299.88,-390.0,-112.38,-108.12,-115,-105,310,-395,-115,-105,-110,-110,330,-420,-110,-110,100,-120,275,-380,-110,-110,-105,-115,299,-375,-115,-105,-120,-107,295,-420,-114,-110,100,-120,300,-375,-115,-105,100,-120,290,-380,-110,-110,-115,-105,300,-375,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,Baltimore Ravens,Pittsburgh Steelers,Yes,197.6,No,-113.25,-107.5,-275.5,220.0,-110.75,-110.0,-118,-102,-285,230,-108,-112,-115,-105,-275,225,-115,-105,-110,-110,-283,209,-110,-110,-115,-105,-275,226,-110,-110,-113,-113,-286,215,-113,-113,-110,-110,-275,230,-110,-110,-115,-105,-275,225,-110,-110,-110,-110,-250,200,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,Buffalo Bills,Cincinnati Bengals,No,392.7,No,-110.5,-110.25,-275.0,220.12,-110.25,-110.5,-110,-110,-270,220,-110,-110,-115,-105,-270,220,-110,-110,-110,-110,-265,199,-110,-110,-107,-113,-270,222,-110,-110,-112,-114,-305,230,-112,-114,-110,-110,-270,225,-110,-110,-110,-110,-275,225,-110,-110,-110,-110,-275,220,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,Cleveland Browns,Tennessee Titans,No,458.6,No,-83.12,-112.38,-193.5,159.12,-111.25,-109.5,100,-120,-198,164,-110,-110,-105,-115,-176,148,-112,-108,-105,-115,-199,153,-110,-110,-110,-110,-190,165,-110,-110,-115,-109,-205,155,-118,-108,-110,-110,-190,163,-110,-110,-110,-110,-200,170,-110,-110,-110,-110,-190,155,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,Jacksonville Jaguars,Indianapolis Colts,Yes,699.0,No,-84.0,-111.75,80.12,-126.88,-110.0,-110.62,-110,-110,105,-125,-108,-112,-105,-115,110,-130,-112,-108,-110,-110,-102,-125,-110,-110,-110,-110,106,-126,-110,-110,-112,-114,102,-129,-110,-115,100,-120,105,-125,-110,-110,-115,-105,105,-125,-110,-110,-110,-110,110,-130,-110,-110
2025-12-02 07:39:28,2025-12-07 13:00,New York Jets,Miami Dolphins,Yes,1083.3,No,-80.62,-115.5,122.12,-146.62,-85.25,-110.75,-105,-115,130,-155,-110,-110,-102,-120,124,-146,100,-122,-105,-115,116,-148,-110,-110,-102,-118,122,-142,-110,-110,-121,-106,120,-152,-112,-114,100,-120,120,-140,-110,-110,-105,-115,125,-145,-115,-105,-105,-115,120,-145,-115,-105
2025-12-02 07:39:28,2025-12-07 13:00,Minnesota Vikings,Washington Commanders,No,940.4,No,-85.38,-110.38,54.75,-126.38,-111.0,-109.75,-115,-105,105,-125,-112,-108,-115,-105,102,-120,-108,-112,-110,-110,-101,-126,-110,-110,-110,-110,105,-125,-110,-110,-113,-113,-103,-125,-113,-113,100,-120,105,-125,-110,-110,-110,-110,115,-135,-110,-110,-110,-110,110,-130,-115,-105
2025-12-02 07:39:28,2025-12-07 13:00,Tampa Bay Buccaneers,New Orleans Saints,Yes,478.6,No,-109.62,-111.0,-466.38,350.5,-112.25,-108.38,-108,-112,-470,360,-118,-102,-112,-108,-490,380,-115,-105,-110,-110,-481,330,-110,-110,-105,-115,-455,354,-110,-110,-112,-113,-500,350,-115,-110,-110,-110,-455,360,-110,-110,-110,-110,-430,320,-105,-115,-110,-110,-450,350,-115,-105
2025-12-02 07:39:28,2025-12-07 16:05,Las Vegas Raiders,Denver Broncos,Yes,609.3,No,-109.0,-111.5,330.75,-439.88,-109.75,-111.0,-105,-115,340,-440,-110,-110,-112,-108,340,-430,-108,-112,-110,-110,324,-459,-110,-110,-110,-110,334,-425,-107,-113,-110,-114,330,-480,-113,-113,-110,-110,333,-425,-110,-110,-110,-110,325,-435,-105,-115,-105,-115,320,-425,-115,-105
2025-12-02 07:39:28,2025-12-07 16:25,Arizona Cardinals,Los Angeles Rams,Yes,351.1,No,-112.25,-83.5,318.62,-420.62,-110.0,-110.62,-115,-105,350,-455,-105,-115,-115,-105,330,-420,-105,-115,-110,-110,295,-420,-110,-110,-110,-110,316,-400,-110,-110,-113,-113,310,-455,-115,-110,-120,100,320,-400,-110,-110,-105,-115,295,-390,-115,-105,-110,-110,333,-425,-110,-110
2025-12-02 07:39:28,2025-12-07 16:25,Green Bay Packers,Chicago Bears,Yes,183.6,No,-111.25,-109.5,-302.5,240.25,-111.0,-109.62,-112,-108,-310,250,-110,-110,-110,-110,-300,245,-114,-106,-110,-110,-310,230,-110,-110,-110,-110,-285,234,-107,-113,-113,-113,-335,240,-112,-113,-110,-110,-285,238,-110,-110,-115,-105,-310,255,-115,-105,-110,-110,-285,230,-110,-110
2025-12-02 07:39:28,2025-12-07 20:20,Kansas City Chiefs,Houston Texans,No,647.6,Yes,-82.12,-88.88,-186.0,154.5,-111.62,-109.12,-102,-118,-175,145,-112,-108,-102,-120,-178,150,-115,-105,100,-120,-185,143,-110,-110,-120,100,-190,165,-112,-108,-108,-118,-195,155,-114,-112,-115,-105,-190,163,-110,-110,-105,-115,-200,170,-110,-110,-105,-115,-175,145,-110,-110
2025-12-02 07:39:28,2025-12-08 20:15,Los Angeles Chargers,Philadelphia Eagles,No,2401.3,Yes,-59.38,-61.75,127.25,-152.0,-112.25,-108.5,-102,-118,120,-142,-115,-105,-120,-102,120,-142,-115,-105,-120,100,123,-157,-110,-110,103,-123,133,-153,-110,-110,-106,-121,123,-157,-113,-113,105,-125,134,-155,-110,-110,-115,-105,130,-150,-115,-105,-120,100,135,-160,-110,-110
