Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-03 13:25:24,2026-01-03 16:30,Tampa Bay Buccaneers,Carolina Panthers,Yes,508.8,No,-38.44,-92.56,-153.0,128.33,-109.25,-110.0,-105,-115,-148,124,-112,-108,100,-120,-155,134,-110,-110,-102,-120,-156,132,-105,-115,100,-120,-156,127,-110,-110,-120,109,-150,130,-107,-107,-105,-115,-150,130,-110,-110,100,-120,-150,125,-110,-110,-109,-117,-152,118,,,-105,-115,-160,135,-110,-110
2026-01-03 13:25:24,2026-01-03 20:00,San Francisco 49ers,Seattle Seahawks,Yes,703.7,Yes,-84.56,-112.78,121.56,-144.44,-110.88,-108.38,-102,-118,124,-148,-115,-105,-105,-115,125,-145,-110,-110,-110,-110,124,-146,-110,-110,-110,-110,117,-143,-110,-110,100,-110,125,-145,-107,-107,-105,-115,125,-145,-110,-110,-110,-110,120,-145,-115,-105,-109,-117,114,-143,,,-110,-110,120,-140,-110,-110
2026-01-03 13:25:24,2026-01-04 13:00,Atlanta Falcons,New Orleans Saints,Yes,424.5,No,-109.44,-110.11,-186.89,156.33,-110.25,-109.0,-108,-112,-192,160,-110,-110,-110,-110,-185,159,-110,-110,-108,-112,-184,154,-115,-105,-110,-110,-191,154,-110,-110,-105,-105,-185,161,-107,-107,-110,-110,-185,161,-110,-110,-110,-110,-175,145,-110,-110,-114,-112,-190,148,,,-110,-110,-195,165,-110,-110
2026-01-03 13:25:24,2026-01-04 13:00,Cincinnati Bengals,Cleveland Browns,Yes,223.1,No,-111.11,-108.33,-390.0,303.0,-109.38,-109.88,-118,-102,-410,320,-110,-110,-110,-110,-370,295,-110,-110,-110,-110,-390,310,-108,-112,-115,-105,-410,310,-110,-110,-106,-104,-370,296,-107,-107,-111,-109,-370,296,-110,-110,-110,-110,-400,310,-110,-110,-110,-115,-400,295,,,-110,-110,-390,295,-110,-110
2026-01-03 13:25:24,2026-01-04 13:00,New York Giants,Dallas Cowboys,Yes,1387.3,No,-115.44,-15.33,155.56,-185.56,-111.5,-107.75,-115,-105,150,-180,-115,-105,-120,100,159,-185,-110,-110,-110,-110,160,-190,-115,-105,-110,-110,153,-190,-110,-110,-116,105,157,-180,-107,-107,-120,100,157,-180,-110,-110,-115,-105,154,-185,-115,-105,-113,-113,155,-200,,,-120,100,155,-180,-110,-110
2026-01-03 13:25:24,2026-01-04 13:00,Minnesota Vikings,Green Bay Packers,Yes,257.7,No,-111.44,-86.0,-471.67,354.22,-85.0,-109.38,-108,-112,-500,380,100,-120,-110,-110,-430,338,-110,-110,-115,-105,-500,385,-112,-108,-110,-110,-535,371,-110,-110,-113,102,-430,337,-113,-102,-115,-105,-430,337,-115,-105,-105,-115,-500,380,-110,-110,-112,-114,-480,330,,,-115,-105,-440,330,-110,-110
2026-01-03 13:25:24,2026-01-04 13:00,Houston Texans,Indianapolis Colts,Yes,870.3,No,-108.78,-111.0,-609.67,441.0,-109.12,-110.12,-108,-112,-650,470,-112,-108,-110,-110,-600,450,-110,-110,-102,-120,-550,410,-115,-105,-110,-110,-662,462,-110,-110,-105,-105,-600,446,-104,-110,-110,-110,-600,446,-107,-113,-110,-110,-650,475,-110,-110,-114,-112,-625,420,,,-110,-110,-550,390,-105,-115
2026-01-03 13:25:24,2026-01-04 13:00,Jacksonville Jaguars,Tennessee Titans,Yes,500.3,No,-108.67,-110.89,-834.67,556.33,-111.25,-58.12,-105,-115,-800,550,-112,-108,-110,-110,-800,550,-110,-110,-115,-105,-850,590,-105,-115,-110,-110,-952,580,-110,-110,-103,-107,-800,561,-118,103,-108,-112,-800,561,-120,100,-105,-115,-800,550,-110,-110,-112,-114,-910,540,,,-110,-110,-800,525,-105,-115
2026-01-03 13:25:24,2026-01-04 16:25,Los Angeles Rams,Arizona Cardinals,Yes,351.1,No,-89.89,-63.11,-421.67,320.56,-111.62,-107.75,-110,-110,-425,330,-110,-110,-110,-110,-430,338,-110,-110,-110,-110,-420,320,-115,-105,100,-120,-450,330,-110,-110,-121,110,-400,316,-113,-102,-125,105,-400,316,-115,-105,-110,-110,-375,300,-110,-110,-113,-113,-480,325,,,-110,-110,-415,310,-110,-110
2026-01-03 13:25:24,2026-01-04 16:25,Buffalo Bills,New York Jets,Yes,278.4,No,-87.22,-110.0,-426.67,324.89,-109.0,-110.25,-118,-102,-410,320,-110,-110,-110,-110,-410,325,-110,-110,-115,-105,-405,320,-105,-115,-110,-110,-450,330,-110,-110,100,-110,-430,337,-107,-107,-105,-115,-430,337,-110,-110,-110,-110,-425,325,-110,-110,-112,-113,-480,330,,,-105,-115,-400,300,-110,-110
2026-01-03 13:25:24,2026-01-04 16:25,Chicago Bears,Detroit Lions,Yes,237.2,No,-113.33,-39.44,-169.78,142.56,-110.88,-108.38,-102,-118,-170,142,-115,-105,-120,100,-170,146,-110,-110,-115,-105,-174,146,-115,-105,-110,-110,-174,141,-110,-110,-110,100,-170,149,-107,-107,-115,-105,-170,149,-110,-110,-120,100,-160,135,-110,-110,-113,-112,-175,135,,,-115,-105,-165,140,-110,-110
