League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NFL,2026-05-14 12:04:42,2026-09-10 20:35,acc580d74344ea3b31bbcdd057fe6a9c,Los Angeles Rams,San Francisco 49ers,Yes,313.4,Yes,NFC,West,NFC,West,-81.14,-52.14,-2.5,2.5,-140.0,117.2,-109.86,-109.86,48.93,-120,100,-148,124,-110,-110,-105.0,-115.0,-140.0,115.0,-110.0,-110.0,-105.0,-115.0,-130.0,110.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,100.0,-110.0,,,-107.0,-107.0,-113.0,-110.0,-137.0,112.0,-112.0,-112.0,-120.0,100.0,-145.0,125.0,-110.0,-110.0
NFL,2026-05-14 12:04:42,2026-09-13 20:20,3e646c7479c57f5d9752d8c7dfe7059b,New York Giants,Dallas Cowboys,Yes,1387.3,Yes,NFC,East,NFC,East,-108.29,-111.14,2.36,-2.36,117.4,-142.4,-111.57,-108.0,48.07,-115,-105,110,-130,-115,-105,-105.0,-115.0,125.0,-150.0,-110.0,-110.0,-102.0,-120.0,130.0,-154.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-106.0,-118.0,112.0,-148.0,-109.0,-114.0,-115.0,-105.0,110.0,-130.0,-115.0,-105.0
NFL,2026-05-14 12:04:42,2026-09-14 20:15,5ad8135dc2b5f27de0b777acd317855a,Kansas City Chiefs,Denver Broncos,Yes,565.7,Yes,AFC,West,AFC,West,-114.0,-24.0,-2.5,2.5,-149.0,125.0,-109.2,-110.0,42.7,-120,100,-155,130,-110,-110,-115.0,-105.0,-150.0,125.0,-115.0,-105.0,-110.0,-110.0,-142.0,120.0,-104.0,-118.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,100.0,,,-107.0,-107.0,,,,,,,,,,,,
NFL,2026-05-14 12:04:42,2026-09-17 20:15,56e8897681915f7ec92baeee952bb1ae,Buffalo Bills,Detroit Lions,No,219.4,Yes,AFC,East,NFC,North,-108.67,-110.0,-3.0,3.0,-163.0,136.0,-112.67,-107.0,52.5,-110,-110,-162,136,-110,-110,-105.0,-115.0,-165.0,140.0,-115.0,-105.0,,,,,,,-110.0,-110.0,,,-115.0,-105.0,-105.0,-105.0,,,-113.0,-102.0,-112.0,-110.0,-165.0,133.0,-113.0,-110.0,-110.0,-110.0,-160.0,135.0,-110.0,-110.0
NFL,2026-05-14 12:04:42,2026-09-27 16:25,84cfca14efc21363fd605508404cf1ff,Dallas Cowboys,Baltimore Ravens,No,1228.5,No,NFC,East,AFC,North,-112.0,-108.75,2.5,-2.5,111.75,-134.0,-111.0,-109.75,50.5,-110,-110,114,-135,-110,-110,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-113.0,-110.0,108.0,-136.0,-114.0,-109.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NFL,2026-05-14 12:04:42,2026-10-04 09:30,c9d8ed8aa4889486eaf10a630138ede0,Washington Commanders,Indianapolis Colts,No,501.4,No,NFC,East,AFC,South,32.33,-119.0,-1.5,1.5,-113.67,-105.67,-108.33,-111.67,49.5,102,-122,-110,-110,-110,-110,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-116.0,-102.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-05-14 12:04:42,2026-10-11 09:30,21b26266f3d78af02eb672e606275d95,Jacksonville Jaguars,Philadelphia Eagles,No,754.6,No,AFC,South,NFC,East,-113.5,-106.5,2.0,-2.0,108.67,-128.0,-102.0,-119.0,44.5,-115,-105,110,-130,-102,-118,,,110.0,-130.0,,,-112.0,-108.0,106.0,-124.0,-102.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-05-14 12:04:42,2026-10-18 09:30,57418b2cf5aca558b3c98eafac1e264a,Jacksonville Jaguars,Houston Texans,Yes,826.4,No,AFC,South,AFC,South,27.33,-114.67,-0.5,0.5,-107.67,-111.0,-113.33,-106.67,40.83,-118,-102,-105,-115,-110,-110,100.0,-120.0,-110.0,-110.0,-115.0,-105.0,100.0,-122.0,-108.0,-108.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-05-14 12:04:42,2026-10-25 10:30,2e710ea5a306b614f0f966e3d78732f8,New Orleans Saints,Pittsburgh Steelers,No,919.5,No,NFC,South,AFC,North,-110.0,-110.0,1.83,-1.83,111.33,-131.67,-110.0,-110.0,41.83,-115,-105,114,-135,-110,-110,-110.0,-110.0,110.0,-130.0,-115.0,-105.0,-105.0,-115.0,110.0,-130.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-05-14 12:04:42,2026-11-08 09:30,dc56d980f527ffeef89940133b211b13,Atlanta Falcons,Cincinnati Bengals,No,368.3,No,NFC,South,AFC,North,-35.67,-118.33,3.83,-3.83,186.0,-225.0,-106.67,-113.33,49.17,-105,-115,185,-225,-110,-110,100.0,-120.0,185.0,-225.0,-105.0,-115.0,-102.0,-120.0,188.0,-225.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
