League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-15 10:36:45,2026-09-17 20:15,56e8897681915f7ec92baeee952bb1ae,Buffalo Bills,Detroit Lions,No,219.4,Yes,AFC,East,NFC,North,-111.56,-107.22,-4.56,4.56,-226.22,187.11,-110.78,-108.44,53.5,-112,-108,-218,180,-115,-105,-112,-108,-225,188,-115,-105,-114,-106,-230,192,-111,-109,-110.0,-108.0,-225,188,-110,-108,-109,-101,-230,192,-108,-106,-110,-110,-225,185,-110,-110,-112,-109,-235,190,-108,-113,-110,-110,-218,174,-110,-110,-115,-105,-230,195,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,aee7eae1849ebb103b9bf233e9741392,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,NFC,South,NFC,South,-86.78,-109.89,1.78,-1.78,88.33,-132.44,-110.78,-108.33,43.78,-112,-108,120,-142,-118,-102,-112,-108,102,-120,-115,-105,-110,-110,115,-135,-110,-110,-108.0,-110.0,110,-135,-105,-112,-105,-105,115,-135,-107,-107,-115,-105,115,-135,-110,-110,-109,-113,-103,-120,-112,-109,-110,-110,106,-135,-110,-110,100,-120,115,-135,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,2143ade9684fd876b68a4e8cbf451f05,Baltimore Ravens,New Orleans Saints,No,998.8,No,AFC,North,NFC,South,-61.67,-112.78,-8.61,8.61,-432.89,329.44,-110.0,-109.11,47.0,-110,-110,-410,320,-118,-102,-105,-115,-450,350,-105,-115,-104,-116,-420,330,-110,-110,-108.0,-110.0,-450,340,-112,-105,101,-112,-420,330,-107,-107,-110,-110,-430,320,-110,-110,-109,-112,-455,335,-108,-113,-110,-110,-441,310,-110,-110,100,-120,-420,330,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,0283a29e1b38ef78b29b904fd56a16dd,Chicago Bears,Minnesota Vikings,Yes,355.8,No,NFC,North,NFC,North,-85.89,-110.56,-5.56,5.56,-243.89,199.89,-107.0,-112.56,49.39,-110,-110,-238,195,-102,-118,-108,-112,-250,205,-106,-114,-110,-110,-245,203,-105,-115,-110.0,-108.0,-235,200,-105,-115,-105,-105,-245,203,-102,-113,-110,-110,-245,205,-110,-110,-110,-110,-250,200,-113,-108,-110,-110,-242,183,-110,-110,100,-120,-245,205,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,36ad2fa722f4915ef23d2c81351261de,Houston Texans,Cincinnati Bengals,No,897.7,No,AFC,South,AFC,North,-14.89,-115.56,-2.94,2.94,-152.22,127.67,-110.56,-108.89,46.5,-102,-118,-148,124,-108,-112,-102,-120,-152,128,-115,-105,100,-120,-148,128,-110,-110,-118.0,-102.0,-150,125,-112,-108,105,-116,-148,128,-107,-107,100,-120,-160,135,-110,-110,-107,-114,-157,130,-113,-108,-110,-110,-157,122,-110,-110,100,-120,-150,129,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,0636ebff776d43f8c829a36713c80b22,Tampa Bay Buccaneers,Cleveland Browns,No,933.8,No,NFC,South,AFC,North,-61.67,-113.0,-8.61,8.61,-437.11,331.67,-110.67,-108.56,41.0,-112,-108,-410,320,-115,-105,-104,-118,-460,360,-112,-108,-102,-118,-420,330,-110,-110,-108.0,-110.0,-450,340,-110,-108,103,-114,-420,330,-107,-107,-110,-110,-430,320,-110,-110,-112,-109,-455,335,-112,-109,-110,-110,-469,320,-110,-110,100,-120,-420,330,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,4aeee070bb6ec60bdfae4dede61b9014,New York Jets,Green Bay Packers,No,755.6,No,AFC,East,NFC,North,-109.89,-109.0,3.72,-3.72,169.22,-203.0,-109.11,-110.11,44.72,-118,-102,170,-205,-112,-108,-102,-120,172,-205,-110,-110,-110,-110,174,-200,-107,-113,-112.0,-105.0,165,-200,-110,-108,-105,-105,174,-200,-104,-110,-110,-110,165,-195,-110,-110,-112,-109,170,-210,-109,-112,-110,-110,163,-212,-110,-110,-110,-110,170,-200,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,9d14f87600f6edc74dbcb5c74edf6246,New England Patriots,Pittsburgh Steelers,No,469.3,No,AFC,East,AFC,North,-110.11,-108.78,-5.33,5.33,-240.33,197.33,-110.22,-109.11,41.72,-110,-110,-230,190,-112,-108,-120,-102,-250,205,-102,-120,-110,-110,-240,200,-113,-107,-108.0,-110.0,-235,195,-112,-105,-103,-107,-240,200,-110,-104,-110,-110,-240,200,-110,-110,-110,-110,-240,195,-113,-108,-110,-110,-248,188,-110,-110,-110,-110,-240,203,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 13:00,fafc649c455e32a0f2ba1bd06e2039bc,Tennessee Titans,Philadelphia Eagles,No,682.7,No,AFC,South,NFC,East,-108.0,-110.78,7.06,-7.06,273.11,-345.0,-110.56,-108.56,39.39,-110,-110,245,-305,-110,-110,-110,-110,295,-370,-112,-108,-107,-113,274,-340,-113,-107,-108.0,-110.0,270,-325,-110,-108,-102,-108,274,-340,-110,-104,-105,-115,270,-340,-110,-110,-115,-106,285,-375,-110,-110,-110,-110,270,-370,-110,-110,-105,-115,275,-340,-110,-110
NFL,2026-09-15 10:36:45,2026-09-20 16:05,1fd6628c781f556a7a19638e97d7107f,Denver Broncos,Jacksonville Jaguars,No,1470.2,No,AFC,West,AFC,South,-110.22,-86.33,-2.44,2.44,-138.44,116.22,-109.0,-110.22,44.39,-110,-110,-135,114,-102,-118,-108,-112,-134,114,-110,-110,-110,-110,-140,120,-110,-110,-110.0,-108.0,-140,115,-108,-110,-105,-105,-140,120,-107,-107,-110,-110,-135,115,-115,-105,-109,-112,-139,116,-109,-112,-110,-110,-143,112,-110,-110,-120,100,-140,120,-110,-110
