League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-17 19:55:28,2026-09-17 20:15,56e8897681915f7ec92baeee952bb1ae,Buffalo Bills,Detroit Lions,No,219.4,Yes,AFC,East,NFC,North,-107.38,-110.12,-5.38,5.38,-245.25,202.12,-113.75,-107.0,54.56,-105,-115,-238,195,-118,-102,-105,-115,-240,198,-115,-105,-110,-110,-257.0,212.0,-115,-105,-108.0,-102.0,-235.0,200.0,-110.0,-120.0,-101,-109,-257.0,212.0,-113,-102,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-110,-110,-245,190,-114,-107,-110.0,-110.0,-250.0,210.0,-115.0,-105.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,aee7eae1849ebb103b9bf233e9741392,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,NFC,South,NFC,South,-79.62,-114.25,2.44,-2.44,122.38,-144.12,-111.0,-108.12,43.81,-102,-118,124,-148,-115,-105,-110,-110,120,-142,-115,-105,-105,-115,125.0,-145.0,-110,-110,-105.0,-115.0,120.0,-145.0,-108.0,-110.0,-104,-106,125.0,-145.0,-107,-107,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-106,-115,120,-143,-113,-108,100.0,-120.0,120.0,-140.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,2143ade9684fd876b68a4e8cbf451f05,Baltimore Ravens,New Orleans Saints,No,998.8,No,AFC,North,NFC,South,-32.62,-86.12,-8.38,8.38,-406.25,317.88,-106.12,-113.38,46.44,-115,-105,-395,310,-110,-110,-105,-115,-400,315,-104,-118,101,-121,-410.0,324.0,-105,-115,-110.0,-108.0,-375.0,310.0,-110.0,-108.0,106,-117,-410.0,324.0,-102,-113,-125.0,105.0,-415.0,310.0,-105.0,-115.0,-113,-108,-435,325,-108,-113,100.0,-120.0,-410.0,325.0,-105.0,-115.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,0283a29e1b38ef78b29b904fd56a16dd,Chicago Bears,Minnesota Vikings,Yes,355.8,No,NFC,North,NFC,North,-109.0,-109.5,-4.44,4.44,-218.0,181.0,-110.75,-108.62,48.06,-108,-112,-198,164,-110,-110,-110,-110,-220,184,-120,-102,-108,-112,-218.0,185.0,-110,-110,-108.0,-110.0,-220.0,180.0,-110.0,-108.0,-103,-107,-218.0,185.0,-107,-107,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-110,-110,-230,185,-109,-112,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,36ad2fa722f4915ef23d2c81351261de,Houston Texans,Cincinnati Bengals,No,897.7,No,AFC,South,AFC,North,-114.12,-54.88,-2.44,2.44,-146.38,124.62,-107.75,-111.5,45.94,-118,-102,-142,120,-105,-115,-105,-115,-136,118,-114,-106,-118,-102,-150.0,130.0,-105,-115,-115.0,-105.0,-145.0,120.0,-108.0,-110.0,-114,103,-150.0,130.0,-102,-113,-115.0,-105.0,-150.0,130.0,-105.0,-115.0,-108,-113,-148,120,-113,-108,-120.0,100.0,-150.0,129.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,0636ebff776d43f8c829a36713c80b22,Tampa Bay Buccaneers,Cleveland Browns,No,933.8,No,NFC,South,AFC,North,-29.62,-114.38,-8.5,8.5,-435.62,334.88,-108.25,-111.38,41.5,-108,-112,-455,350,-110,-110,100,-122,-460,360,-102,-120,-105,-115,-415.0,327.0,-110,-110,-108.0,-110.0,-450.0,340.0,-108.0,-112.0,107,-118,-415.0,327.0,-107,-107,-110.0,-110.0,-420.0,315.0,-110.0,-110.0,-113,-108,-455,330,-109,-112,100.0,-120.0,-415.0,330.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,4aeee070bb6ec60bdfae4dede61b9014,New York Jets,Green Bay Packers,No,755.6,No,AFC,East,NFC,North,-83.0,-110.75,3.38,-3.38,155.62,-184.62,-109.62,-109.38,44.56,-105,-115,164,-198,-110,-110,-106,-114,164,-198,-110,-110,-115,-105,152.0,-173.0,-110,-110,-110.0,-108.0,155.0,-190.0,-110.0,-108.0,101,-112,152.0,-173.0,-107,-107,-105.0,-115.0,145.0,-170.0,-110.0,-110.0,-109,-112,163,-200,-110,-110,-115.0,-105.0,150.0,-175.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,9d14f87600f6edc74dbcb5c74edf6246,New England Patriots,Pittsburgh Steelers,No,469.3,No,AFC,East,AFC,North,-110.0,-108.75,-5.06,5.06,-236.62,196.38,-109.62,-109.38,41.5,-105,-115,-218,180,-112,-108,-120,-102,-240,198,-110,-110,-110,-110,-240.0,200.0,-110,-110,-110.0,-108.0,-235.0,195.0,-108.0,-110.0,-105,-105,-240.0,200.0,-107,-107,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-110,-110,-240,195,-110,-110,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 13:00,fafc649c455e32a0f2ba1bd06e2039bc,Tennessee Titans,Philadelphia Eagles,No,682.7,No,AFC,South,NFC,East,-106.75,-112.0,7.0,-7.0,269.75,-336.25,-110.12,-109.0,39.5,-110,-110,250,-310,-110,-110,-110,-110,280,-350,-110,-110,-107,-113,274.0,-340.0,-110,-110,-105.0,-115.0,270.0,-325.0,-110.0,-108.0,-102,-108,274.0,-340.0,-107,-107,-105.0,-115.0,270.0,-340.0,-115.0,-105.0,-110,-110,265,-345,-109,-112,-105.0,-115.0,275.0,-340.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 16:05,1fd6628c781f556a7a19638e97d7107f,Denver Broncos,Jacksonville Jaguars,No,1470.2,No,AFC,West,AFC,South,-61.88,-57.38,-2.62,2.62,-152.38,130.25,-108.88,-110.25,45.44,-118,-102,-148,124,-108,-112,-120,-102,-148,126,-105,-115,-120,100,-154.0,134.0,-110,-110,-118.0,-102.0,-145.0,125.0,-108.0,-110.0,107,-118,-154.0,134.0,-107,-107,100.0,-120.0,-160.0,135.0,-110.0,-110.0,-106,-115,-155,130,-113,-108,-120.0,100.0,-155.0,134.0,-110.0,-110.0
