League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NFL,2026-09-21 12:10:22,2026-09-21 20:15,32367f882fac1a0c20a6335619922025,Los Angeles Rams,New York Giants,No,2454.7,Yes,NFC,West,NFC,East,-67.67,-62.89,-6.67,6.67,-310.11,252.0,-108.89,-110.22,47.44,-115,-105,-290,235,-110,-110,100,-120,-300,250,-110,-110,-120,100,-320,260,-110,-110,-116,105,-320,260,-107,-107,-120,-102,-300,245,-105,-115,-118,-104,-315,250,-110,-110,-115.0,-105.0,-300,250,-108,-110,100.0,-120.0,-306.0,248.0,-110.0,-110.0,-105.0,-115.0,-340.0,270.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-24 20:15,e5fbd3b3953b896b1bf897ddadb3cc4b,Green Bay Packers,Atlanta Falcons,No,766.7,Yes,NFC,North,NFC,South,-84.78,-89.67,-6.94,6.94,-326.11,261.0,-108.78,-110.56,43.94,-105,-115,-340,270,-115,-105,-105,-115,-315,258,-105,-115,-105,-115,-315,256,-105,-115,100,-110,-315,256,-102,-113,-122,100,-350,280,-105,-115,-106,-115,-345,265,-114,-107,-105.0,-112.0,-325,270,-108,-110,-110.0,-110.0,-330.0,244.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-115.0,-105.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,b225458a282e140c44c45651255f2f6c,Buffalo Bills,Los Angeles Chargers,No,2210.2,No,AFC,East,AFC,West,-110.44,-108.44,-7.0,7.0,-336.67,268.0,-107.33,-112.0,50.33,-112,-108,-310,250,-105,-115,-110,-110,-330,270,-105,-115,-110,-110,-330,267,-105,-115,-105,-105,-330,267,-102,-113,-112,-108,-370,295,-105,-115,-115,-107,-375,285,-114,-107,-110.0,-108.0,-325,270,-110,-108,-110.0,-110.0,-340.0,248.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,613b8cd3a5fab58f7be4e3fd6f76223e,Cleveland Browns,Carolina Panthers,No,435.7,No,AFC,North,NFC,South,-115.22,-37.22,2.94,-2.94,127.56,-151.33,-110.89,-108.44,42.0,-118,-102,130,-155,-108,-112,-120,100,129,-150,-110,-110,-118,-102,130,-150,-115,-105,-114,103,130,-150,-113,-102,-105,-115,124,-146,-115,-105,-114,-107,128,-155,-109,-112,-118.0,-102.0,125,-150,-108,-110,-110.0,-110.0,122.0,-156.0,-110.0,-110.0,-120.0,100.0,130.0,-150.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,71123be049587b6facce3a20c53e5d09,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,AFC,North,AFC,North,-109.75,-108.88,3.5,-3.5,154.44,-184.33,-110.11,-109.22,42.33,-105,-115,154,-185,-110,-110,-110,-110,159,-185,-110,-110,-110,-110,160,-183,-112,-108,-105,-105,160,-183,-109,-105,-115,-105,150,-178,-110,-110,-108,-113,148,-182,-110,-110,-110.0,-108.0,150,-185,-110,-110,,,149.0,-193.0,-110.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,07f552badfa8a565d1be22123713e4da,Detroit Lions,New York Jets,No,476.5,No,NFC,North,AFC,East,-113.38,-105.88,-6.5,6.5,-302.0,243.11,-110.89,-108.44,47.89,-110,-110,-278,225,-105,-115,-115,-105,-295,245,-110,-110,-112,-108,-295,241,-115,-105,-107,-103,-295,241,-113,-102,-120,-102,-335,270,-115,-105,-118,-104,-305,240,-112,-109,-115.0,-105.0,-325,260,-108,-110,,,-300.0,226.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,17a730b7d399feeab6a78c30767c29d2,Indianapolis Colts,Houston Texans,Yes,870.3,No,AFC,South,AFC,South,-64.67,-110.0,2.89,-2.89,130.56,-154.67,-111.11,-108.11,43.72,-112,-108,130,-155,-115,-105,-110,-110,134,-155,-110,-110,-114,-106,133,-153,-113,-107,-109,-101,133,-153,-110,-104,100,-122,132,-156,-105,-115,-117,-105,123,-150,-114,-107,-110.0,-108.0,135,-160,-108,-110,100.0,-120.0,125.0,-160.0,-110.0,-110.0,-110.0,-110.0,130.0,-150.0,-115.0,-105.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,1f3cfd315a24d1a7dd5859a8e6b88e18,Jacksonville Jaguars,New England Patriots,No,995.4,No,AFC,South,AFC,East,-85.89,-66.33,-2.89,2.89,-153.89,129.11,-111.89,-107.67,44.67,-105,-115,-155,130,-115,-105,-105,-115,-150,129,-110,-110,-105,-115,-150,130,-115,-105,100,-110,-150,130,-113,-102,-122,100,-154,130,-118,-104,-106,-115,-148,120,-108,-113,-105.0,-112.0,-160,135,-108,-110,-120.0,100.0,-158.0,123.0,-110.0,-110.0,-105.0,-115.0,-160.0,135.0,-110.0,-110.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,0339a0e41bcee12820eb3e64bb5fadb4,Miami Dolphins,Kansas City Chiefs,No,1223.9,No,AFC,East,AFC,West,-109.0,-109.78,11.11,-11.11,511.44,-739.67,-111.0,-108.11,45.72,-108,-112,550,-800,-115,-105,-110,-110,485,-670,-110,-110,-110,-110,534,-750,-110,-110,-107,-103,534,-750,-107,-107,-110,-110,490,-670,-115,-105,-108,-113,475,-715,-112,-109,-108.0,-110.0,525,-700,-105,-112,-110.0,-110.0,460.0,-752.0,-110.0,-110.0,-110.0,-110.0,550.0,-850.0,-115.0,-105.0
NFL,2026-09-21 12:10:22,2026-09-27 13:00,555afd4a27aaa392662881cffa8f2eef,New York Giants,Tennessee Titans,No,758.3,No,NFC,East,AFC,South,-108.38,-110.38,-6.06,6.06,-274.12,220.5,-83.5,-110.62,43.0,-110,-110,-278,225,100,-120,-110,-110,-260,218,-110,-110,-110,-110,-260,215,-110,-110,-105,-105,-260,215,-107,-107,-104,-118,-290,235,-115,-105,-110,-110,-295,230,-108,-113,-108.0,-110.0,-275,220,-108,-110,-110.0,-110.0,-275.0,206.0,-110.0,-110.0,,,,,,
