League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
NFL,2026-09-21 20:36:43,2026-09-21 20:16,32367f882fac1a0c20a6335619922025,Los Angeles Rams,New York Giants,No,2454.7,Yes,NFC,West,NFC,East,-117.5,-112.0,-7.08,7.08,-361.0,264.83,-113.0,-114.5,42.83,-107,-123,-371,269,-116,-113,-130,-102,-350,255,-106,-122,-120,-109,-385,280,-110,-118,-115.0,-112.0,-300,240,-120,-108,-118.0,-111.0,-400,290,-111,-111,-115,-115,-360,255,-115,-115,,,,,,,,,,,,,,,,,,
NFL,2026-09-21 20:36:43,2026-09-24 20:15,e5fbd3b3953b896b1bf897ddadb3cc4b,Green Bay Packers,Atlanta Falcons,No,766.7,Yes,NFC,North,NFC,South,-85.67,-111.11,-6.44,6.44,-283.22,229.67,-108.67,-110.56,44.11,-108,-112,-290,235,-102,-118,-104,-118,-275,225,-105,-115,-109,-112,-305,235,-114,-107,-110.0,-108.0,-295,240,-110,-108,-110.0,-110.0,-275,216,-110,-110,-115,-105,-280,230,-110,-110,-110.0,-110.0,-275.0,230.0,-110.0,-110.0,-105.0,-115.0,-277.0,228.0,-110.0,-110.0,100.0,-110.0,-277.0,228.0,-107.0,-107.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,b225458a282e140c44c45651255f2f6c,Buffalo Bills,Los Angeles Chargers,No,2210.2,No,AFC,East,AFC,West,-110.44,-108.44,-7.0,7.0,-337.78,269.89,-106.56,-112.78,50.39,-112,-108,-325,260,-105,-115,-112,-108,-360,290,-105,-115,-115,-107,-360,285,-107,-114,-110.0,-108.0,-325,270,-110,-108,-110.0,-110.0,-350,255,-110,-110,-110,-110,-330,265,-110,-110,-110.0,-110.0,-330.0,270.0,-105.0,-115.0,-110.0,-110.0,-330.0,267.0,-105.0,-115.0,-105.0,-105.0,-330.0,267.0,-102.0,-113.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,613b8cd3a5fab58f7be4e3fd6f76223e,Cleveland Browns,Carolina Panthers,No,435.7,No,AFC,North,NFC,South,-91.22,-16.78,2.89,-2.89,127.22,-150.44,-110.89,-108.44,42.17,100,-120,130,-155,-108,-112,-105,-115,124,-146,-115,-105,-114,-107,123,-150,-109,-112,-120.0,100.0,125,-145,-108,-110,-110.0,-110.0,122,-156,-110,-110,-120,100,130,-150,-105,-115,-120.0,100.0,129.0,-150.0,-115.0,-105.0,-118.0,-102.0,131.0,-151.0,-115.0,-105.0,-114.0,103.0,131.0,-151.0,-113.0,-102.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,71123be049587b6facce3a20c53e5d09,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,AFC,North,AFC,North,-111.0,-82.88,3.5,-3.5,152.67,-182.44,-109.33,-109.78,42.33,-105,-115,154,-185,-110,-110,-115,-105,144,-172,-110,-110,-108,-113,148,-182,-110,-110,-110.0,-110.0,150,-185,-108,-110,,,149,-193,-110,-110,-115,-105,160,-185,-105,-115,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-115.0,-105.0,157.0,-180.0,-112.0,-108.0,-110.0,100.0,157.0,-180.0,-109.0,-105.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,07f552badfa8a565d1be22123713e4da,Detroit Lions,New York Jets,No,476.5,No,NFC,North,AFC,East,-113.89,-82.89,-6.5,6.5,-307.56,249.11,-111.11,-108.22,47.94,-110,-110,-298,240,-105,-115,-120,-102,-335,270,-115,-105,-117,-105,-335,260,-109,-112,-112.0,-105.0,-300,260,-108,-110,-120.0,100.0,-300,222,-110,-110,-110,-110,-300,250,-115,-105,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-113.0,-107.0,-300.0,245.0,-115.0,-105.0,-108.0,-102.0,-300.0,245.0,-113.0,-102.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,17a730b7d399feeab6a78c30767c29d2,Indianapolis Colts,Houston Texans,Yes,870.3,No,AFC,South,AFC,South,-89.56,-18.67,2.78,-2.78,124.22,-147.67,-109.56,-109.56,43.61,-105,-115,120,-142,-110,-110,100,-122,128,-152,-105,-115,-114,-107,125,-152,-112,-109,-120.0,100.0,130,-155,-112,-105,-105.0,-115.0,119,-152,-110,-110,-105,-115,120,-140,-110,-110,-120.0,100.0,120.0,-140.0,-110.0,-110.0,-120.0,100.0,128.0,-148.0,-110.0,-110.0,-117.0,106.0,128.0,-148.0,-107.0,-107.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,1f3cfd315a24d1a7dd5859a8e6b88e18,Jacksonville Jaguars,New England Patriots,No,995.4,No,AFC,South,AFC,East,-112.67,-62.11,-2.83,2.83,-157.44,131.78,-109.11,-110.0,45.44,-108,-112,-162,136,-112,-108,-120,-102,-148,126,-105,-115,-106,-115,-152,120,-110,-110,-125.0,105.0,-160,130,-108,-110,-125.0,105.0,-161,126,-110,-110,-110,-110,-165,140,-110,-110,-105.0,-115.0,-155.0,134.0,-110.0,-110.0,-110.0,-110.0,-157.0,137.0,-110.0,-110.0,-105.0,-105.0,-157.0,137.0,-107.0,-107.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,0339a0e41bcee12820eb3e64bb5fadb4,Miami Dolphins,Kansas City Chiefs,No,1223.9,No,AFC,East,AFC,West,-109.0,-110.0,11.28,-11.28,534.22,-781.67,-111.56,-107.67,45.78,-112,-108,575,-850,-115,-105,-104,-118,540,-770,-115,-105,-108,-113,490,-715,-112,-109,-110.0,-108.0,550,-750,-110,-108,-110.0,-110.0,480,-800,-110,-110,-110,-110,575,-900,-115,-105,-110.0,-110.0,530.0,-750.0,-110.0,-110.0,-110.0,-110.0,534.0,-750.0,-110.0,-110.0,-107.0,-103.0,534.0,-750.0,-107.0,-107.0
NFL,2026-09-21 20:36:43,2026-09-27 13:00,2a529c108305ffa049d8b6cfdbaa4d36,Washington Commanders,Seattle Seahawks,No,2335.3,No,NFC,East,NFC,West,-112.0,-40.0,6.72,-6.72,234.78,-291.67,-109.0,-110.33,40.17,-105,-115,225,-278,-102,-118,-110,-110,240,-295,-105,-115,-110,-110,220,-278,-108,-113,-112.0,-105.0,240,-295,-108,-110,-110.0,-110.0,234,-319,-110,-110,-105,-115,240,-290,-110,-110,-120.0,100.0,240.0,-290.0,-110.0,-110.0,-120.0,100.0,237.0,-290.0,-115.0,-105.0,-116.0,105.0,237.0,-290.0,-113.0,-102.0
