Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,49,11860,43.7,88.1,.496,14.1,35.3,.398,29.6,52.8,.561,20.8,25.5,.814,9.5,33.7,43.2,28.5,7.0,4.2,12.8,19.2,122.2
2,Boston Celtics,48,11570,44.7,95.2,.469,16.3,44.3,.368,28.4,51.0,.558,15.6,19.7,.791,13.1,33.7,46.8,24.9,8.2,5.5,12.6,21.0,121.2
3,New York Knicks,48,11520,43.5,92.5,.470,15.3,40.4,.378,28.2,52.1,.542,17.8,22.5,.792,13.9,33.4,47.4,27.3,8.3,4.3,14.2,20.9,120.0
4,Oklahoma City Thunder,49,11885,43.2,88.3,.490,13.1,36.5,.358,30.2,51.8,.582,19.8,24.0,.827,8.9,34.4,43.3,25.3,9.8,5.9,12.2,19.8,119.4
5,Houston Rockets,46,11215,44.2,93.0,.475,11.7,31.5,.370,32.5,61.5,.529,18.9,25.2,.753,16.6,33.8,50.4,25.5,9.0,5.9,15.9,19.2,119.0
6,Los Angeles Lakers,47,11280,42.3,85.0,.498,12.1,34.4,.353,30.2,50.6,.597,21.2,27.5,.773,10.0,31.9,41.9,25.5,8.3,4.1,15.1,19.4,118.0
7,Charlotte Hornets,49,11835,41.9,90.2,.464,15.5,41.6,.373,26.4,48.6,.543,18.7,23.0,.811,12.4,33.9,46.3,27.1,6.8,4.7,16.0,19.3,117.9
8,Cleveland Cavaliers,50,12050,42.7,90.5,.472,14.5,40.7,.356,28.2,49.7,.567,17.6,22.5,.780,12.0,32.2,44.2,28.0,8.7,5.0,14.3,20.0,117.4
9,Minnesota Timberwolves,49,11835,42.2,87.7,.481,14.0,37.5,.374,28.2,50.2,.561,19.0,25.3,.748,11.1,33.2,44.4,26.3,8.6,5.6,14.4,21.1,117.4
10,San Antonio Spurs,47,11305,42.0,88.8,.472,13.0,37.5,.347,29.0,51.3,.564,20.2,25.7,.786,11.4,34.9,46.3,25.9,7.7,4.9,13.7,19.2,117.1
11,Los Angeles Clippers,47,11355,40.9,86.0,.475,13.6,37.2,.366,27.3,48.8,.559,21.3,25.2,.844,10.0,32.0,42.0,24.4,9.1,4.8,15.6,19.6,116.7
