season,pfr_id,player,team_level
2000,AdamSa00,Sam Adams,2
2000,AlleLa00,Larry Allen,1
2000,ArmsJe00,Jessie Armstead,2
2000,ArmsTr00,Trace Armstrong,2
2000,BailCh00,Champ Bailey,2
2000,BateMi00,Michael Bates,1
2000,BennDa20,Darren Bennett,1
2000,BirkMa00,Matt Birk,1
2000,BishBl00,Blaine Bishop,2
2000,BoydSt00,Stephen Boyd,2
2000,BrooDe00,Derrick Brooks,1
2000,BrowRu00,Ruben Brown,2
2000,BurnRo00,Rob Burnett,2
2000,CowaSa00,Sam Cowart,2
2000,CulpDa00,Daunte Culpepper,1
2000,DougHu00,Hugh Douglas,1
2000,FaulMa00,Marshall Faulk,1
2000,GannRi00,Rich Gannon,1
2000,GardCh20,Chris Gardocki,2
2000,GeorEd00,Eddie George,1
2000,GlovLa00,La'Roi Glover,1
2000,GodfRa20,Randall Godfrey,2
2000,GonzTo00,Tony Gonzalez,1
2000,HakiAz00,Az-Zahir Hakim,1
2000,HamiKe20,Keith Hamilton,2
2000,HarrMa00,Marvin Harrison,2
2000,HopkBr00,Brad Hopkins,1
2000,HowaDe00,Desmond Howard,1
2000,IzzoLa00,Larry Izzo,1
2000,JameEd00,Edgerrin James,2
2000,JohnJo04,Joe Johnson,1
2000,LechSh20,Shane Lechler,1
2000,LewiCh00,Chad Lewis,2
2000,LewiMo00,Mo Lewis,2
2000,LewiRa00,Ray Lewis,1
2000,LyncJo00,John Lynch,1
2000,MadiSa00,Sam Madison,1
2000,MannPe00,Peyton Manning,2
2000,MariBr00,Brock Marion,1
2000,MasoDe00,Derrick Mason,1
2000,MattBr00,Bruce Matthews,1
2000,MawaKe00,Kevin Mawae,2
2000,MitcKe00,Keith Mitchell,1
2000,MossRa00,Randy Moss,1
2000,NaleTo00,Tom Nalen,1
2000,OgdeJo00,Jonathan Ogden,1
2000,OwenTe00,Terrell Owens,1
2000,PaceOr00,Orlando Pace,2
2000,PlaySc20,Scott Player,1
2000,PrycTr00,Trevor Pryce,1
2000,RoafWi00,Willie Roaf,2
2000,RollSa00,Samari Rolle,1
2000,SappWa00,Warren Sapp,1
2000,SeauJu00,Junior Seau,1
2000,SharDa00,Darren Sharper,1
2000,SmitRo00,Robert Smith,2
2000,SmitRo01,Rod Smith,2
2000,StonRo00,Ron Stone,1
2000,TaylJa03,Jason Taylor,1
2000,TrotJe00,Jeremiah Trotter,1
2000,TurlKy20,Kyle Turley,1
2000,VaugDa20,Darrick Vaughn,2
2000,VincTr00,Troy Vincent,1
2000,WisnSt00,Steve Wisniewski,2
2000,WoodCh00,Charles Woodson,2
2000,WoodRo01,Rod Woodson,2
2000,WychFr00,Frank Wycheck,2
2000,gramamar01,Martin Gramatica,2
2000,stovemat01,Matt Stover,1
2001,AbraJo00,John Abraham,1
2001,AdamSa00,Sam Adams,1
2001,AlleLa00,Larry Allen,1
2001,ArriLa00,LaVar Arrington,2
2001,BarbRo00,Ronde Barber,1
2001,BellKe20,Kendrell Bell,2
2001,BostDa00,David Boston,1
2001,BrooDe00,Derrick Brooks,2
2001,BrowMi99,Mike Brown,1
2001,BrowRa00,Ray Brown,2
2001,BrowTr00,Troy Brown,1
2001,ConwEr00,Ernie Conwell,2
2001,DawkBr00,Brian Dawkins,1
