season,rank,player,pfr_id
2011,1.0,Tom Brady,BradTo00
2011,2.0,Peyton Manning,MannPe00
2011,3.0,Adrian Peterson,PeteAd00
2011,4.0,Ray Lewis,LewiRa00
2011,5.0,Ed Reed,ReedEd00
2011,6.0,Troy Polamalu,PolaTr99
2011,7.0,Andre Johnson,JohnAn20
2011,8.0,Darrelle Revis,ReviDa99
2011,9.0,Drew Brees,BreeDr00
2011,10.0,Julius Peppers,PeppJu99
2011,11.0,Aaron Rodgers,RodgAa00
2011,12.0,DeMarcus Ware,WareDe99
2011,13.0,Chris Johnson,JohnCh25
2011,14.0,Larry Fitzgerald,FitzLa00
2011,15.0,Dwight Freeney,FreeDw00
2011,16.0,Charles Woodson,WoodCh00
2011,17.0,Haloti Ngata,NgatHa20
2011,18.0,Nnamdi Asomugha,AsomNn20
2011,19.0,Clay Matthews,MattCl00
2011,20.0,Michael Vick,VickMi00
2011,21.0,James Harrison,HarrJa23
2011,22.0,Antonio Gates,GateAn00
2011,23.0,Patrick Willis,WillPa98
2011,24.0,Roddy White,WhitRo00
2011,25.0,Arian Foster,FostAr00
2011,26.0,Philip Rivers,RivePh00
2011,27.0,Calvin Johnson,JohnCa00
2011,28.0,Jake Long,LongJa20
2011,29.0,DeSean Jackson,JackDe00
2011,30.0,Maurice Jones-Drew,DrewMa00
2011,31.0,Reggie Wayne,WaynRe00
2011,32.0,Devin Hester,HestDe99
2011,33.0,Jamaal Charles,CharJa00
2011,34.0,Jahri Evans,EvanJa21
2011,35.0,Vince Wilfork,WilfVi20
2011,36.0,Jason Witten,WittJa00
2011,37.0,Jonathan Vilma,VilmJo99
2011,38.0,Steven Jackson,JackSt00
2011,39.0,Logan Mankins,MankLo20
2011,40.0,Terrell Suggs,SuggTe99
2011,41.0,Ben Roethlisberger,RoetBe00
2011,42.0,Michael Turner,TurnMi00
2011,43.0,Joe Thomas,ThomJo04
2011,44.0,Robert Mathis,MathRo20
2011,45.0,Dwayne Bowe,BoweDw00
2011,46.0,Tony Gonzalez,GonzTo00
2011,47.0,Nick Mangold,MangNi20
2011,48.0,Champ Bailey,BailCh00
2011,49.0,Brian Urlacher,UrlaBr00
2011,50.0,Wes Welker,WelkWe00
2011,51.0,Ndamukong Suh,SuhxNd99
2011,52.0,Matt Ryan,RyanMa00
2011,53.0,Marques Colston,ColsMa00
2011,54.0,Asante Samuel,SamuAs20
2011,55.0,Carl Nicks,NickCa20
2011,56.0,Ray Rice,RiceRa00
2011,57.0,Andre Gurode,GuroAn20
2011,58.0,Brandon Lloyd,LloyBr00
2011,59.0,Jeff Saturday,SatuJe55
2011,60.0,Justin Tuck,TuckJu20
2011,61.0,Brandon Marshall,MarsBr00
2011,62.0,Jerod Mayo,MayoJe99
2011,63.0,Cameron Wake,WakeCa00
2011,64.0,Tamba Hali,HaliTa20
2011,65.0,Vonta Leach,LeacVo00
