season,team,week,n_first_rounders,n_top2_rounders,pct_drafted,roster_size,allpro_score,n_probowlers,n_top100
2002,ARI,1,2,9,0.6153846153846154,39,1.0,1,
2002,ARI,2,2,9,0.6410256410256411,39,1.0,1,
2002,ARI,3,3,10,0.6666666666666666,39,1.0,1,
2002,ARI,4,3,10,0.6666666666666666,39,1.0,1,
2002,ARI,5,3,10,0.6410256410256411,39,1.0,1,
2002,ARI,6,3,10,0.6410256410256411,39,1.0,1,
2002,ARI,7,3,10,0.6410256410256411,39,1.0,1,
2002,ARI,8,3,10,0.6410256410256411,39,1.0,1,
2002,ARI,9,3,10,0.625,40,1.0,1,
2002,ARI,10,3,10,0.6097560975609756,41,1.0,1,
2002,ARI,11,3,10,0.5952380952380952,42,1.0,1,
2002,ARI,12,3,10,0.5909090909090909,44,1.0,1,
2002,ARI,13,3,10,0.5909090909090909,44,1.0,1,
2002,ARI,14,3,10,0.5869565217391305,46,1.0,1,
2002,ARI,15,3,11,0.5833333333333334,48,1.0,1,
2002,ARI,16,3,11,0.5714285714285714,49,1.0,1,
2002,ARI,17,3,11,0.5283018867924528,53,1.0,1,
2002,ATL,1,9,15,0.8723404255319149,47,0.0,2,
2002,ATL,2,9,15,0.8695652173913043,46,0.0,2,
2002,ATL,3,9,15,0.8478260869565217,46,0.0,2,
2002,ATL,4,9,15,0.8478260869565217,46,0.0,2,
2002,ATL,5,9,15,0.8478260869565217,46,0.0,2,
2002,ATL,6,9,15,0.8478260869565217,46,0.0,2,
2002,ATL,7,9,15,0.8541666666666666,48,0.0,2,
2002,ATL,8,9,15,0.8541666666666666,48,0.0,2,
2002,ATL,9,9,15,0.8571428571428571,49,0.0,2,
2002,ATL,10,9,15,0.8571428571428571,49,0.0,2,
2002,ATL,11,9,15,0.8571428571428571,49,0.0,2,
2002,ATL,12,9,15,0.86,50,0.0,2,
2002,ATL,13,9,15,0.8627450980392157,51,0.0,2,
2002,ATL,14,9,15,0.8627450980392157,51,0.0,2,
2002,ATL,15,9,15,0.8627450980392157,51,0.0,2,
2002,ATL,16,9,15,0.8627450980392157,51,0.0,2,
2002,ATL,17,9,15,0.8627450980392157,51,0.0,2,
2002,ATL,18,9,15,0.8461538461538461,52,0.0,2,
2002,ATL,19,9,15,0.8301886792452831,53,0.0,2,
2002,BAL,1,7,9,0.7209302325581395,43,2.0,2,
2002,BAL,2,7,9,0.7111111111111111,45,2.0,2,
2002,BAL,3,7,9,0.7111111111111111,45,2.0,2,
2002,BAL,4,7,9,0.6956521739130435,46,2.0,2,
2002,BAL,5,7,9,0.6956521739130435,46,2.0,2,
2002,BAL,6,7,9,0.6956521739130435,46,2.0,2,
2002,BAL,7,7,9,0.6666666666666666,48,2.0,2,
2002,BAL,8,7,9,0.6666666666666666,48,2.0,2,
2002,BAL,9,7,9,0.6666666666666666,48,2.0,2,
2002,BAL,10,7,9,0.6666666666666666,48,2.0,2,
2002,BAL,11,7,9,0.6530612244897959,49,2.0,2,
2002,BAL,12,7,9,0.6530612244897959,49,2.0,2,
2002,BAL,13,7,9,0.6666666666666666,51,2.0,2,
2002,BAL,14,8,10,0.660377358490566,53,2.0,2,
2002,BAL,15,8,10,0.660377358490566,53,2.0,2,
2002,BAL,16,8,10,0.660377358490566,53,2.0,2,
2002,BAL,17,8,10,0.660377358490566,53,2.0,2,
2002,BUF,1,7,13,0.7346938775510204,49,1.0,3,
2002,BUF,2,7,13,0.7346938775510204,49,1.0,3,
2002,BUF,3,7,13,0.7346938775510204,49,1.0,3,
2002,BUF,4,7,13,0.7346938775510204,49,1.0,3,
2002,BUF,5,7,13,0.74,50,1.0,3,
2002,BUF,6,7,13,0.74,50,1.0,3,
2002,BUF,7,7,13,0.7254901960784313,51,1.0,3,
2002,BUF,8,7,13,0.7254901960784313,51,1.0,3,
2002,BUF,9,7,13,0.7254901960784313,51,1.0,3,
2002,BUF,10,7,13,0.7254901960784313,51,1.0,3,
