logged_at,season,week,game_id,gameday,pick_team,opp_team,prob,market_prob,model
2026-08-01 05:58 UTC,2026,1,2026_01_ARI_LAC,2026-09-13,LAC,ARI,0.8254,0.8271,logistic_hl6
2026-08-01 05:58 UTC,2026,1,2026_01_CLE_JAX,2026-09-13,JAX,CLE,0.7598,0.76,logistic_hl6
2026-08-01 05:58 UTC,2026,1,2026_01_NO_DET,2026-09-13,DET,NO,0.737,0.7335,logistic_hl6
2026-09-16 08:23 UTC,2026,2,2026_02_MIA_SF,2026-09-20,SF,MIA,0.8469,0.8677,logistic_hl6
2026-09-16 08:23 UTC,2026,2,2026_02_LV_LAC,2026-09-20,LAC,LV,0.7588,0.718,logistic_hl6
2026-09-16 08:23 UTC,2026,2,2026_02_NYG_LA,2026-09-21,LA,NYG,0.7516,0.7478,logistic_hl6
2026-09-19 07:54 UTC,2026,2,2026_02_NO_BAL,2026-09-20,BAL,NO,0.7706,0.7659,logistic_hl6
2026-09-23 08:23 UTC,2026,3,2026_03_KC_MIA,2026-09-27,KC,MIA,0.8208,0.863,logistic_hl6
2026-09-23 08:23 UTC,2026,3,2026_03_ARI_SF,2026-09-27,SF,ARI,0.7684,0.7958,logistic_hl6
2026-09-23 08:23 UTC,2026,3,2026_03_NYJ_DET,2026-09-27,DET,NYJ,0.7448,0.7221,logistic_hl6
