league,season,club,spend_eur_m,sales_eur_m,net_eur_m,arrivals,departures
bundesliga,2010-11,1. FC Kaiserslautern,4.6,0.1,4.5,19,20
bundesliga,2010-11,1. FC Köln,4.6,0.05,4.55,18,13
bundesliga,2010-11,1. FC Nürnberg,1.15,2.75,-1.6,20,18
bundesliga,2010-11,1. FSV Mainz 05,3.8,5.12,-1.32,17,20
bundesliga,2010-11,Bayer 04 Leverkusen,5.7,6.55,-0.85,14,15
bundesliga,2010-11,Borussia Dortmund,5.25,4.3,0.95,12,12
bundesliga,2010-11,Borussia Mönchengladbach,7.0,2.0,5.0,11,11
bundesliga,2010-11,Eintracht Frankfurt,2.45,1.15,1.3,10,15
bundesliga,2010-11,FC Bayern München,17.0,6.0,11.0,8,10
bundesliga,2010-11,FC Schalke 04,36.1,20.05,16.05,22,26
bundesliga,2010-11,FC St. Pauli 1910,0.2,0.0,0.2,5,7
bundesliga,2010-11,Hamburger SV,15.2,15.55,-0.35,11,12
bundesliga,2010-11,Hannover 96,1.0,0.55,0.45,11,16
bundesliga,2010-11,SC Freiburg,1.45,0.21,1.24,13,13
bundesliga,2010-11,SV Werder Bremen,16.24,21.5,-5.26,15,12
bundesliga,2010-11,TSG 1899 Hoffenheim,22.45,45.4,-22.95,15,16
bundesliga,2010-11,VfB Stuttgart,13.1,20.5,-7.4,13,15
bundesliga,2010-11,VfL Wolfsburg,56.15,59.65,-3.5,18,16
bundesliga,2011-12,1. FC Kaiserslautern,6.63,4.45,2.18,14,16
bundesliga,2011-12,1. FC Köln,5.88,2.88,3.0,16,20
bundesliga,2011-12,1. FC Nürnberg,4.15,5.5,-1.35,16,16
bundesliga,2011-12,1. FSV Mainz 05,10.9,17.95,-7.05,21,16
bundesliga,2011-12,Bayer 04 Leverkusen,25.81,16.06,9.75,16,15
bundesliga,2011-12,Borussia Dortmund,9.72,12.14,-2.42,8,11
bundesliga,2011-12,Borussia Mönchengladbach,2.65,3.83,-1.18,17,21
bundesliga,2011-12,FC Augsburg,1.18,0.26,0.92,13,12
bundesliga,2011-12,FC Bayern München,52.1,5.0,47.1,8,5
bundesliga,2011-12,FC Schalke 04,7.3,34.08,-26.78,13,16
bundesliga,2011-12,Hamburger SV,13.9,17.35,-3.45,21,18
bundesliga,2011-12,Hannover 96,4.2,0.0,4.2,9,7
bundesliga,2011-12,Hertha BSC,1.4,1.0,0.4,13,10
bundesliga,2011-12,SC Freiburg,3.5,15.3,-11.8,16,16
bundesliga,2011-12,SV Werder Bremen,8.8,20.25,-11.45,17,19
bundesliga,2011-12,TSG 1899 Hoffenheim,5.9,7.5,-1.6,16,14
bundesliga,2011-12,VfB Stuttgart,11.1,18.1,-7.0,10,12
bundesliga,2011-12,VfL Wolfsburg,48.8,12.12,36.67,27,19
bundesliga,2012-13,1. FC Nürnberg,2.7,7.0,-4.3,13,15
bundesliga,2012-13,1. FSV Mainz 05,4.18,5.95,-1.77,10,13
bundesliga,2012-13,Bayer 04 Leverkusen,20.9,14.68,6.22,19,18
bundesliga,2012-13,Borussia Dortmund,26.65,34.0,-7.35,12,12
bundesliga,2012-13,Borussia Mönchengladbach,33.4,24.05,9.35,13,12
bundesliga,2012-13,Eintracht Frankfurt,8.15,3.0,5.15,21,19
bundesliga,2012-13,FC Augsburg,2.85,0.15,2.7,16,17
bundesliga,2012-13,FC Bayern München,70.3,0.5,69.8,10,7
bundesliga,2012-13,FC Schalke 04,6.5,6.85,-0.35,18,21
bundesliga,2012-13,Fortuna Düsseldorf,3.05,0.0,3.05,25,21
bundesliga,2012-13,Hamburger SV,27.0,9.6,17.4,11,17
bundesliga,2012-13,Hannover 96,9.55,3.17,6.38,12,11
bundesliga,2012-13,SC Freiburg,1.5,0.2,1.3,9,10
bundesliga,2012-13,SV Werder Bremen,14.73,13.1,1.63,13,15
bundesliga,2012-13,SpVgg Greuther Fürth 1903,3.85,2.34,1.51,22,17
bundesliga,2012-13,TSG 1899 Hoffenheim,26.3,20.25,6.05,28,21
bundesliga,2012-13,VfB Stuttgart,2.4,9.7,-7.3,12,7
bundesliga,2012-13,VfL Wolfsburg,27.1,21.85,5.25,21,28
bundesliga,2013-14,1. FC Nürnberg,7.32,6.75,0.57,18,17
bundesliga,2013-14,1. FSV Mainz 05,14.2,11.55,2.65,14,14
bundesliga,2013-14,Bayer 04 Leverkusen,24.98,35.57,-10.6,18,16
bundesliga,2013-14,Borussia Dortmund,52.6,47.38,5.23,13,11
bundesliga,2013-14,Borussia Mönchengladbach,7.9,3.25,4.65,9,9
bundesliga,2013-14,Eintracht Braunschweig,1.8,0.0,1.8,10,10
bundesliga,2013-14,Eintracht Frankfurt,7.48,0.5,6.98,15,11
bundesliga,2013-14,FC Augsburg,4.55,0.6,3.95,15,14
bundesliga,2013-14,FC Bayern München,62.0,40.0,22.0,8,7
bundesliga,2013-14,FC Schalke 04,26.05,8.1,17.95,13,14
bundesliga,2013-14,Hamburger SV,2.35,13.75,-11.4,12,10
bundesliga,2013-14,Hannover 96,10.5,4.7,5.8,16,18
bundesliga,2013-14,Hertha BSC,1.3,0.35,0.95,10,13
bundesliga,2013-14,SC Freiburg,6.93,12.2,-5.27,16,14
bundesliga,2013-14,SV Werder Bremen,10.25,13.6,-3.35,10,12
bundesliga,2013-14,TSG 1899 Hoffenheim,9.9,4.0,5.9,23,25
bundesliga,2013-14,VfB Stuttgart,7.2,7.2,0.0,14,19
bundesliga,2013-14,VfL Wolfsburg,50.6,16.05,34.55,28,30
bundesliga,2014-15,1. FC Köln,8.4,0.1,8.3,12,15
bundesliga,2014-15,1. FSV Mainz 05,9.12,6.6,2.52,19,17
bundesliga,2014-15,Bayer 04 Leverkusen,37.8,18.35,19.45,20,25
bundesliga,2014-15,Borussia Dortmund,65.2,4.8,60.4,9,8
bundesliga,2014-15,Borussia Mönchengladbach,12.75,17.9,-5.15,10,9
bundesliga,2014-15,Eintracht Frankfurt,6.5,5.92,0.58,15,19
bundesliga,2014-15,FC Augsburg,12.45,6.9,5.55,15,14
bundesliga,2014-15,FC Bayern München,53.4,48.7,4.7,9,10
bundesliga,2014-15,FC Schalke 04,4.4,8.6,-4.2,14,11
