league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
championship,Southampton FC,332.48,,41.0,25.0,24.0,8.11
championship,Leeds United,244.5,,39.0,24.6,23.0,6.27
championship,Leicester City,242.85,,37.0,25.7,23.0,6.56
championship,Hull City,126.73,,49.0,24.5,26.0,2.59
championship,Middlesbrough FC,107.58,,48.0,24.5,18.0,2.24
championship,Sunderland AFC,96.45,,47.0,23.1,18.0,2.05
championship,Norwich City,94.13,,41.0,25.8,26.0,2.3
championship,Blackburn Rovers,91.7,,47.0,23.3,19.0,1.95
championship,Coventry City,87.33,,37.0,25.1,19.0,2.36
championship,Swansea City,78.83,,51.0,23.7,29.0,1.55
championship,Stoke City,74.1,,43.0,25.5,28.0,1.72
championship,Watford FC,72.6,,36.0,24.4,21.0,2.02
championship,Ipswich Town,69.1,,40.0,26.3,23.0,1.73
championship,West Bromwich Albion,64.85,,45.0,25.6,18.0,1.44
championship,Cardiff City,58.75,,61.0,23.9,42.0,0.963
championship,Plymouth Argyle,53.15,,38.0,23.9,10.0,1.4
championship,Birmingham City,50.05,,37.0,25.8,13.0,1.35
championship,Bristol City,46.9,,39.0,24.4,18.0,1.2
championship,Preston North End,42.13,,34.0,25.5,20.0,1.24
championship,Millwall FC,41.35,,35.0,26.3,14.0,1.18
championship,Queens Park Rangers,34.95,,37.0,25.9,23.0,0.945
championship,Huddersfield Town,34.58,,44.0,25.4,19.0,0.786
championship,Sheffield Wednesday,26.43,,41.0,26.3,23.0,0.645
championship,Rotherham United,20.83,,41.0,26.5,14.0,0.508
epl,Manchester City,1460.0,,36.0,25.7,21.0,40.63
epl,Arsenal FC,1200.0,,40.0,24.6,24.0,30.08
epl,Chelsea FC,1010.0,,56.0,22.2,27.0,18.1
epl,Liverpool FC,955.65,,45.0,24.2,30.0,21.24
epl,Tottenham Hotspur,838.5,,41.0,25.6,29.0,20.45
epl,Manchester United,808.35,,46.0,24.9,28.0,17.57
epl,Aston Villa,709.65,,45.0,25.0,23.0,15.77
epl,Newcastle United,652.25,,45.0,26.3,21.0,14.49
epl,Brighton & Hove Albion,524.4,,49.0,24.2,33.0,10.7
epl,Nottingham Forest,501.35,,46.0,26.6,36.0,10.9
epl,West Ham United,487.5,,36.0,26.6,20.0,13.54
epl,Crystal Palace,446.58,,40.0,25.1,18.0,11.16
epl,Wolverhampton Wanderers,442.73,,47.0,23.9,32.0,9.42
epl,Brentford FC,428.78,,42.0,25.0,30.0,10.21
epl,AFC Bournemouth,401.75,,42.0,25.7,26.0,9.57
epl,Everton FC,391.75,,34.0,26.8,16.0,11.52
epl,Fulham FC,384.35,,35.0,26.9,31.0,10.98
epl,Burnley FC,273.48,,39.0,25.3,30.0,7.01
epl,Sheffield United,152.35,,45.0,24.7,27.0,3.39
epl,Luton Town,140.9,,46.0,25.7,22.0,3.06
ligue_1,Paris Saint-Germain,1020.0,,36.0,24.9,21.0,28.36
ligue_1,AS Monaco,398.55,,40.0,24.0,22.0,9.96
ligue_1,Stade Rennais FC,375.35,,36.0,24.8,18.0,10.43
ligue_1,LOSC Lille,328.9,,41.0,23.8,26.0,8.02
ligue_1,Olympique Marseille,311.4,,49.0,24.4,31.0,6.36
ligue_1,Olympique Lyon,305.95,,39.0,25.5,25.0,7.84
ligue_1,OGC Nice,268.78,,38.0,24.5,23.0,7.07
ligue_1,RC Lens,205.6,,38.0,25.9,19.0,5.41
ligue_1,RC Strasbourg Alsace,157.7,,39.0,24.0,25.0,4.04
ligue_1,Montpellier HSC,145.58,,37.0,24.8,20.0,3.93
ligue_1,FC Toulouse,145.2,,39.0,23.3,27.0,3.72
ligue_1,Stade Reims,134.55,,39.0,23.9,28.0,3.45
ligue_1,FC Lorient,131.85,,45.0,24.7,27.0,2.93
ligue_1,FC Nantes,125.9,,43.0,25.2,22.0,2.93
ligue_1,Stade Brestois 29,115.15,,31.0,25.9,10.0,3.71
ligue_1,Le Havre AC,72.5,,35.0,25.1,22.0,2.07
ligue_1,FC Metz,65.4,,37.0,25.5,27.0,1.77
ligue_1,Clermont Foot 63,61.35,,36.0,25.2,21.0,1.7
ligue_2,AS Saint-Étienne,47.2,,39.0,25.2,18.0,1.21
ligue_2,Angers SCO,42.05,,33.0,24.9,17.0,1.27
ligue_2,AJ Auxerre,31.7,,30.0,25.4,18.0,1.06
ligue_2,Amiens SC,29.3,,44.0,24.4,27.0,0.666
ligue_2,FC Girondins Bordeaux,28.85,,38.0,23.2,22.0,0.759
ligue_2,ESTAC Troyes,27.65,,42.0,24.1,21.0,0.658
ligue_2,SM Caen,27.4,,29.0,26.9,11.0,0.945
ligue_2,Paris FC,22.25,,43.0,24.7,22.0,0.517
ligue_2,Valenciennes FC,19.7,,48.0,24.0,26.0,0.41
ligue_2,SC Bastia,17.9,,35.0,26.4,12.0,0.511
ligue_2,EA Guingamp,16.55,,33.0,27.3,13.0,0.502
ligue_2,Rodez AF,16.15,,31.0,24.7,10.0,0.521
ligue_2,USL Dunkerque,16.15,,41.0,25.3,20.0,0.394
ligue_2,Pau FC,15.88,,39.0,26.3,22.0,0.407
ligue_2,AC Ajaccio,15.25,,44.0,25.8,20.0,0.347
ligue_2,FC Annecy,13.75,,32.0,27.0,9.0,0.43
ligue_2,Grenoble Foot 38,13.35,,30.0,26.3,17.0,0.445
ligue_2,Quevilly - Rouen Métropole,13.2,,33.0,25.9,16.0,0.4
ligue_2,Stade Lavallois,12.3,,31.0,28.4,10.0,0.397
