league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Inter Miami CF,92.35,,31.0,25.3,23.0,2.98
mls,New York City FC,69.4,,35.0,24.7,20.0,1.98
mls,FC Cincinnati,57.65,,27.0,26.2,17.0,2.14
mls,Los Angeles FC,57.23,,25.0,28.1,14.0,2.29
mls,Orlando City SC,55.35,,27.0,25.2,20.0,2.05
mls,Vancouver Whitecaps FC,55.2,,29.0,25.8,22.0,1.9
mls,San Diego FC,52.4,,30.0,25.8,20.0,1.75
mls,Portland Timbers,51.9,,26.0,27.0,17.0,2.0
mls,Columbus Crew,50.7,,31.0,27.3,19.0,1.64
mls,Chicago Fire FC,49.65,,29.0,26.6,15.0,1.71
mls,Real Salt Lake City,47.48,,36.0,24.4,19.0,1.32
mls,Nashville SC,46.08,,29.0,26.1,19.0,1.59
mls,Toronto FC,45.65,,30.0,26.2,24.0,1.52
mls,New England Revolution,45.38,,27.0,25.7,13.0,1.68
mls,Red Bull New York,44.7,,29.0,24.0,16.0,1.54
mls,Charlotte FC,44.63,,29.0,26.4,16.0,1.54
mls,Los Angeles Galaxy,44.6,,26.0,27.5,15.0,1.72
mls,Seattle Sounders FC,44.13,,26.0,27.8,10.0,1.7
mls,FC Dallas,42.73,,36.0,24.5,19.0,1.19
mls,Minnesota United FC,41.85,,29.0,25.9,16.0,1.44
mls,Atlanta United FC,41.4,,25.0,26.8,19.0,1.66
mls,Austin FC,40.95,,25.0,27.4,15.0,1.64
mls,Colorado Rapids,40.7,,28.0,24.2,16.0,1.45
mls,Philadelphia Union,40.25,,28.0,24.3,10.0,1.44
mls,Houston Dynamo FC,36.95,,27.0,28.0,18.0,1.37
mls,Sporting Kansas City,36.15,,25.0,24.7,13.0,1.45
mls,St. Louis CITY SC,34.4,,29.0,25.6,16.0,1.19
mls,San Jose Earthquakes,32.03,,31.0,26.1,11.0,1.03
mls,CF Montréal,31.88,,28.0,24.8,24.0,1.14
mls,D.C. United,31.55,,26.0,25.4,14.0,1.21
